entity;label;popularity
Q259727;Amanohashidate;22
Q228628;Zuiderduintjes;17
Q1070604;Chesil Beach;12
Q1851272;Richel;11
Q900453;Brauerplate;10
Q987764;Sand Cay;10
Q27724573;Green Jacket Shoal;10
Q2881982;banc de Bilho;10
Q20625215;Warkumerwaard;9
Q890078;Luconia Shoals;9
Q3563518;Alice Shoal;9
Q21836079;Banco del Pueblo;9
Q31988055;Eitzensand;9
Q5641730;Half Moon Shoal;9
Q21470991;Franklin Shoal;9
Q2514279;Roggenplaat;9
Q52556663;Kish Bank;8
Q6078742;Playa de España;8
Q6415597;Kirkby Shoal;8
Q32284892;Luvan;8
Q21975833;Merikivi;8
Q34792658;Bragança;8
Q34791174;Banco do Norte;8
Q7351980;Roberts Bank;8
Q5380668;Entrance Shoal;8
Q2645550;Lady Denison-Pender Shoal;8
Q41436109;Benlen Sandbar;8
Q21831313;Banco del Sur;8
Q24302781;Pellonia;8
Q20630;Jungnamensand;8
Q34800773;Lysbotn;8
Q34800765;Lysbotn;8
Q49614778;Cerberus Shoal;8
Q2743204;Zuiderhaaks;8
Q6078733;Playa de El Puntal;8
Q21754547;Char Sannyari;7
Q25019904;Babi;7
Q21904677;Prudhoe Shoal;7
Q21754546;Paglar Char;7
Q21754545;Char Horichandi;7
Q22394293;Salmon Rock;7
Q21754505;Char Kamra;7
Q25019961;Taka Pinjing;7
Q21910941;Ferguson Spit;7
Q21896692;Packman Shoal;7
Q21896691;Iron Whyalla Shoal;7
Q21754548;Dakatia Char;7
Q31484030;Banilad Shoals;7
Q21754554;Bulbulir Char;7
Q22510959;Q22510959;7
Q31825067;Mobo Shoal;7
Q25020135;Bone Tedo;7
Q25020133;Gosong Panganga;7
Q32095551;Lieps;7
Q31514636;Buansa Shoal;7
Q34791275;Bankje van Zoutelande;7
Q22647851;Hub Rock;7
Q31489770;Batan Bar;7
Q25295224;Q25295224;7
Q21895833;Waratah Shoal;7
Q21754551;Lankar Char;7
Q21754550;Purba Algar Char;7
Q34795248;Friesche Vlaak;7
Q21754549;Char Choumohan;7
Q32179567;Neuer Luechtergrund;7
Q21896698;Hardstaff Shoals;7
Q21896739;Helen Shoal;7
Q21896699;Landing Shoal;7
Q24570717;Q24570717;7
