entity;label;popularity
Q18155537;Our Lady of Pompeii Church;41
Q1791841;Imam Reza shrine;39
Q805446;Christ the King statue;33
Q55375417;Sanctuary of the Vergine dei Martiri, Fonni;21
Q20745419;Santuario de Santa Gema;20
Q490497;Jongmyo;19
Q607880;Holy Hill National Shrine of Mary, Help of Christians;19
Q841388;Lapis Niger;19
Q10368318;Santuário do Senhor Jesus da Piedade;18
Q138388;Blue Mosque, Mazar-i-Sharif;18
Q2223805;Convento da Penha;17
Q9067091;Royal Sanctuary of Saint Joseph of the Mountain.;17
Q309484;Al-Askari Shrine;17
Q26419122;Cambridge Bharat Bhavan;17
Q7738354;The Grotto;16
Q10375573;Santuário de São Bento da Porta Aberta;16
Q12258757;Sanctuary of Virgen de Guadalupe, Hondarribia;16
Q10368324;Santuário do Senhor Jesus da Pedra;16
Q10368313;Santuário de Nossa Senhora de Porto de Ave;16
Q3471744;Chapel of Nossa Senhora da Lapa;16
Q6917310;Mother Cabrini Shrine;15
Q56042469;Q56042469;15
Q3481204;Shah-Abdol-Azim shrine;15
Q7080184;Santuari de la Serra de Montblanc;15
Q10300581;Igreja de Nossa Senhora dos Remédios (Peniche);15
Q30225898;Q30225898;15
Q39999251;Santuário de Nossa Senhora de Aires;14
Q10368299;Church of Vila Viçosa (Évora);14
Q10368317;Santuário de São Torcato;14
Q1195941;Seonangdang;13
Q10368312;Santuário de Nossa Senhora do Pilar;13
Q42882014;Phanthai Norasing Shrine;13
Q10368300;Santuário de Nossa Senhora da Assunção da Boa Nova (Alandroal);13
Q10368306;Santuário de Nossa Senhora da Peneda;12
Q1296963;Q1296963;12
Q55094346;Phanthai Norasing Shrine;12
Q66813642;Povoado fortificado e Santuário de Endovélico;12
Q10368305;Santuário de Nossa Senhora da Piedade de Tábuas;12
Q2219940;San Phra Kan;11
Q1235886;Erawan Shrine;10
Q6631976;San Chaopho Suea (Sao Chingcha);10
Q909203;Saint Mary of Help Church, Doroslovo;10
Q4217616;Kaup;10
Q28062735;Q28062735;10
Q65088539;Igreja de Nossa Senhora da Misericórdia (Moita dos Ferreiros);10
Q5116389;Chungnyeolsa;9
Q626043;Dongmyo;9
Q13024171;Mae Thorani shrine;9
Q6978433;National Shrine of Our Lady of the Snows;9
Q458166;Q458166;9
Q25543751;Kuan An Keng Shrine;9
Q52515315;Santuario de Guadalupe;9
Q1860175;Our Lady of Walsingham;9
Q2223783;Santuari de Nostra Senyora de Gràcia;9
Q76448717;Q76448717;9
Q10566870;Kaohsiung Martyrs' Shrine;9
Q13021410;Thai Pheng Uangkong Shrine;8
Q10368323;Q10368323;8
Q10493731;Taichung Martyrs' Shrine;8
Q13501905;Taoyuan Martyrs' Shrine;8
Q14682056;Grand Island Shrine;8
Q52148040;Wat Noi;8
Q18483838;Santuário de Nossa Senhora da Rocha;8
Q19240826;Q19240826;8
Q54870606;Kromluang Chumphon Khetudomsak Shrine;8
Q7085031;Old St. Ferdinand Shrine;8
Q26235271;Shrine of Osun at Afin Ataja;8
Q50820106;Shrine to the teachers Jinadatta Suri and Jinakushala Suri;8
Q26515800;Wayside Shrine At Sk 0070 7525;8
Q11735325;Q11735325;8
Q5039241;Carfin Grotto;7
Q11735330;Q11735330;7
Q42606157;Tano Abenamu Subunu Shrine;7
Q42606300;Kentinkrono Shrine;7
Q42606076;Tano Yaw Shrine;7
Q7504062;Shrine of Our Lady of Guadalupe;7
Q13010634;Bhairavakona;7
Q2898390;Our Lady of Lebanon;7
Q251160;Ōgamiyama Shrine;7
Q36698317;Q36698317;7
Q59602401;Lakshmi Shrine;7
Q13023414;Ho Phra Khantara Rat;7
Q18156293;Roman Catholic Shrine of Solmoe;7
Q64711910;Madonna della Pace;7
Q2483682;Q2483682;7
Q26235272;Shrine of Osun in the King's market;7
Q20396694;Ja'far ibn Abi Talib Mosque;7
Q251353;Sanctuary on San Cristóbal Hill;7
Q28686772;Q28686772;6
Q26235275;Sungbo's Shrine at Oke-Eri;6
Q42606253;Atuo Kosua Shrine;6
Q19867376;Hachiman Jinja;6
Q42606213;Tano Kwadwo Shrine;6
Q69812739;Oakland Buddha Shrine;6
Q68679849;Lucus Stimulae;6
Q7605169;Ste Anne des Lacs;6
Q28417873;Biyun Chan Temple;6
Q3462242;Sungin Hall;6
Q56561898;Put Cho shrine;6
Q66614476;Q66614476;6
Q56394604;Pyramidal shrine;6
Q1214760;Our Lady Church (Máriakéménd);6
Q3210990;Sungryong Hall;6
Q56394585;Nava-grah shrine;6
Q13031859;Q13031859;5
Q12732310;Qubbas of the seven daughters;5
Q63107728;Chao Pho Khao Yai Shrine, Sichang;5
Q52185680;Chong Ling Shrine;5
Q30899338;Q30899338;5
Q1102719;Shrine of Our Lady of Good Help;5
Q495592;Egbert schrine;5
Q30082979;The Shrine of Yahya Abu al-Qasim;5
Q22688578;shrine of Abo El Hussein El Nouri;5
Q13479654;Chinjusha;5
Q61368242;The Four Lokapala Shrine, Gaysorn Village;5
Q42606435;Asenemaso Shrine;5
Q42606122;Kwasi Kuma Shrine;5
Q7587922;St. Frances Cabrini Shrine;5
Q51583175;Святилище Трёхостровское;5
Q42606368;Tano Odomankoma Shrine;5
Q42606400;Tano Banie Shrine;5
Q7504067;Shrine of Our Lady of Matara;4
Q68165501;Q68165501;4
Q68164740;Q68164740;4
Q24944754;Manikeswaram;4
