entity;label;popularity
Q326204;Helge å;34
Q258116;Ätran;31
Q1367814;Eskilstunaån;25
Q5004924;Bällstaån;23
Q2025017;Skjern River;21
Q426988;Lagan;20
Q473857;Gavleån;20
Q1779104;Kolbäcksån;20
Q2370591;Svartån;19
Q1349937;Nyköpingsån;19
Q1333418;Stångån;18
Q1857538;Mörrumsån;18
Q1537948;Viskan;18
Q586586;Suså River;17
Q2166040;Vidå;17
Q7446221;Sege River;15
Q5767687;Varde River;15
Q1339836;Emån;15
Q4803847;Gothemsån;14
Q1501168;Höje River;14
Q630136;Arboga River;14
Q747186;Bolmån;14
Q1353865;Tämnarån;14
Q729801;Trosaån;14
Q38152762;Råå river;13
Q6843979;Mieån;13
Q315952;Arlau;13
Q5511767;Füsinger Au;13
Q1567622;Lilleå;13
Q601987;Delångersån;13
Q1353928;Testeboån;12
Q7689053;Tavelån;12
Q1636516;Ronneby River;12
Q6978278;Skräbeån;12
Q12340648;Vejle River;12
Q1443875;Falu River;12
Q5562795;Gimån;12
Q5950110;Husån;11
Q5964711;Hörnån;11
Q23749560;Brede Å;11
Q325067;Husumer Mühlenau;11
Q297977;Q297977;11
Q6979909;Bräkneån;11
Q697088;Arån;11
Q550372;Alsterån;11
Q55589705;Suseån;11
Q1720622;Svartån;11
Q1639460;Högvadsån;11
Q1353318;Nätraån;11
Q32301502;Nävraån;11
Q10605454;Näveån;10
Q10689229;Sörmjöleån;10
Q7534249;Skeboån;10
Q10700361;Torshagsån;10
Q10707937;Q10707937;10
Q6977407;Svärtaån;10
Q10716398;Q10716398;10
Q7626062;Strömsån;10
Q32221620;Aspan;10
Q5511236;Fylleån;10
Q5211063;Dalkarlsån;10
Q1358402;Hedströmmen;10
Q1358418;Sagån;10
Q2255220;Altersundet;10
Q32239111;Gallån;10
Q23747569;Fribrødreå;10
Q23746963;Q23746963;10
Q15057482;Q15057482;10
Q12301114;Alling Å;10
Q5004941;Bäveån;10
Q6979862;Leduån;10
Q23745068;Q23745068;9
Q23746220;Køge Å;9
Q10688551;Söderhamnsån;9
Q23738242;Sneum Å;9
Q10534457;Q10534457;9
Q10526427;Q10526427;9
Q21995145;Nivå;9
Q32261483;Kabusaån;9
Q10714195;Q10714195;9
Q6980679;Lärjeån;9
Q35393924;Stockaån;9
Q66393717;Q66393717;9
Q2512704;Q2512704;9
Q5638574;Hagbyån;9
Q4991975;Lyckebyån;9
Q6453934;Köping River;9
Q6406532;Kilaån;9
Q2348603;Rosån;9
Q5987766;Idbyån;9
Q5991648;Igelbäcken;9
Q6978227;Saxån;9
Q32250596;Q32250596;8
Q7928428;Vierydsån;8
Q32250902;Henån;8
Q10682183;Strömarån;8
Q894759;Botorpsströmmen;8
Q10602919;Norrmjöleån;8
Q23753265;Giber Å;8
Q10550088;Kumlaån;8
Q12315850;Havmølle Å;8
Q1979019;Jävreån;8
Q10485134;Enångersån;8
Q23750447;Bjerndrup Mølleå;8
Q10726244;Q10726244;8
Q4981896;Brömsebäck;8
Q7547889;Snoderån;8
Q6978264;Selångersån;8
Q6979930;Nybroån;8
Q2789445;Alån;8
Q7024089;Nianån;8
Q23747127;Holme Å;8
Q7071404;Nättrabyån;8
Q6977442;Söderköpingsån;8
Q6660999;Ljungby River;8
Q18552272;Q18552272;8
Q15879955;Närkån;8
Q23751062;Alte Au;7
Q23748957;Elling Å;7
Q23744939;Linding Å;7
Q32259236;Inviksån;7
Q12329742;Q12329742;7
Q23745004;Q23745004;7
Q32292520;Mjöån;7
Q12333214;Remstrup Å;7
Q23746166;Q23746166;7
Q23747193;Hove Å;7
Q2291206;Vitån;7
Q2637799;Keräsjoki;7
Q12343627;Usserød Å;7
Q23747140;Holtum Å;7
Q6979821;Olandsån;7
Q24347333;Finnån;7
Q32283757;Loftaån;7
Q32283055;Listerbyån;7
Q6981094;Rolfsån;7
Q6980036;Himleån;7
Q10425792;Q10425792;7
Q57699621;Hedenlundaån;7
Q10572813;Löftaån;7
Q7053234;Norralaån;7
Q60636030;Q60636030;7
Q7935320;Virån;7
Q10420447;Q10420447;7
Q47535894;Wellspanger Au;7
Q6950016;Mångby River;7
Q1353876;Harmångersån;7
Q6979880;Norrtälje River;7
Q4976989;Bruatorpsån;6
Q23732845;Q23732845;6
Q2694140;Rok River;6
Q7538187;Skärjån;6
Q23732926;Voers Å;6
Q12323556;Q12323556;6
Q23732950;Q23732950;6
Q23732935;Q23732935;6
Q23747284;Q23747284;6
Q23734852;Q23734852;6
Q23734854;Tude Å;6
Q23746845;Q23746845;6
Q6978243;Skena River;6
Q23741672;Q23741672;6
Q23744945;Q23744945;6
Q7607932;Stensån;6
Q23747385;Q23747385;6
Q23744873;Q23744873;6
Q23744917;Q23744917;6
Q34888512;Sörån;6
Q7620504;Storån;6
Q5470607;Forsmarksån;6
Q5625931;Gådeån;6
Q5646387;Hamrångeån;6
Q7819045;Tommarp River;6
Q12719444;Vindån;6
Q10686344;Svintunaån;6
Q12336955;Q12336955;6
Q805171;Ballbek;6
Q12338790;Q12338790;6
Q23746863;Q23746863;5
Q1492825;Q1492825;5
Q23747296;Q23747296;5
Q50339603;Q50339603;5
Q23747196;Hover Å;5
Q58001053;Q58001053;5
Q23748251;Fåre Mølleå;5
Q23747663;Gram Å;5
Q23747138;Q23747138;5
Q65230213;Q65230213;5
Q23747536;Flynder Å;5
Q23746962;Q23746962;5
Q6978986;Vege River;5
Q19800018;Q19800018;5
Q23732905;Q23732905;5
Q12341805;Q12341805;5
Q12301176;Q12301176;5
Q4992849;Q4992849;5
Q10590733;Muskån;5
Q18552217;Idom Å;5
Q23743391;Q23743391;5
Q20755984;Q20755984;5
Q23732825;Q23732825;5
Q23732899;Q23732899;5
Q19562283;Q19562283;5
Q23741707;Q23741707;5
Q10475306;Q10475306;5
Q23736526;Q23736526;5
Q23736575;Q23736575;5
Q7515351;Sillerboån;5
Q23738255;Q23738255;5
Q55749069;Q55749069;4
Q12334068;Q12334068;4
Q12332640;Q12332640;4
Q12329721;Q12329721;4
Q12329516;Q12329516;4
Q12316641;Q12316641;4
Q42749699;Q42749699;4
Q10502312;Q10502312;4
Q47001227;Q47001227;4
Q50252637;Q50252637;4
Q6774015;Marströmmen;4
Q55749050;Q55749050;4
Q30156402;Lippingau;4
Q23744933;Q23744933;4
Q28960894;Bottenån;4
Q16323266;Q16323266;4
Q16324098;Q16324098;4
Q12341778;Q12341778;4
Q12341290;Q12341290;4
Q12339464;Tjele Å;4
Q16324608;Q16324608;4
Q17165679;Q17165679;4
Q18586666;Q18586666;4
Q23732940;Q23732940;4
Q23746918;Q23746918;4
Q23734868;Q23734868;4
Q2731529;Hemmingsmarkån;4
Q4975420;Broströmmen;4
Q15102681;Q15102681;4
Q5533058;Genevadsån;3
Q16324276;Q16324276;3
Q12315057;Q12315057;3
Q12325202;Q12325202;3
Q12328099;Q12328099;3
Q12329741;Q12329741;3
Q12339298;Q12339298;3
Q12333781;Q12333781;3
Q12334699;Q12334699;3
Q28960897;Q28960897;3
Q28960896;Q28960896;2
Q6453561;Kålaboda River;2
Q12337839;Q12337839;2
