entity;label;popularity
Q1882316;Maaspoort Sports end Events;128
Q6124456;Jakarta Convention Center;117
Q16632633;Winter Sports Palace;117
Q159884;Stadio Olimpico;115
Q5376846;Energia Areena;113
Q15108473;Istora Gelora Bung Karno;112
Q5530496;Gelora Bung Karno Sports Complex;109
Q1130746;Earls Court Exhibition Centre;109
Q17051742;Jakabaring Sport City;105
Q7814362;Tollcross International Swimming Centre;102
Q28121649;Sports hall of TJ Spoje Praha;101
Q2209214;Saarlandhalle;100
Q7622040;Strathclyde Country Park;90
Q1141915;Crucible Theatre;89
Q7603544;State Sports Centre;84
Q1848810;Manchester Velodrome;82
Q1058641;Sydney International Aquatic Centre;81
Q3044701;Torwar Hall;78
Q56886569;Sport Hall Borisova Gradina;78
Q12329870;Odense Idrætshal;75
Q7949225;WFCU Centre;74
Q2634267;Heydar Aliyev Sports and Exhibition Complex;72
Q1782828;Vikingskipet;72
Q2413840;Ankara Arena;71
Q7862365;Töölö Sports Hall;71
Q5184963;Cricket Club of India;71
Q66087766;Duinwijckhal;69
Q254650;Alexandra Palace;69
Q4263361;Kezar Stadium;66
Q2454084;Aspire Zone;66
Q16133244;Gan Nachum Arena;65
Q497430;Incheon Asiad Main Stadium;65
Q7579621;Sportovní hala Vodova;65
Q482589;Busan Asiad Main Stadium;65
Q392086;Seoul Olympic Main Stadium;65
Q4750878;Anaheim Convention Center;64
Q1996947;IMPACT Arena;64
Q3277433;Riocentro;63
Q7309158;Rajiv Gandhi Indoor Stadium;60
Q14681789;Cox Stadium;60
Q200684;Dignity Health Sports Park;59
Q70829713;Badminton Centrum Pécs;58
Q712836;Clairefontaine;58
Q28121567;Sporthalle Glückauf;57
Q808694;Espoo Metro Areena;57
Q1554267;Kuala Lumpur Badminton Stadium;57
Q816241;London Velopark;56
Q2228393;Melbourne Park;56
Q30197891;Complexul Sportiv Banu Sport;55
Q32023532;Budaörs Sportshall;55
Q1108329;Bishan Stadium;54
Q3267286;Yuanshen Sports Centre Stadium;54
Q15261954;New Beaver Field;53
Q75034013;Coventry S.C.;52
Q1961383;Atletion;51
Q4891648;Piscines Bernat Picornell;51
Q902726;Athens Olympic Aquatic Centre;50
Q1053761;Eisschnellaufbahn Innsbruck;50
Q839071;Doug Mitchell Thunderbird Sports Centre;50
Q1849318;Sun Devil Stadium;49
Q48990312;Gold Coast Sports and Leisure Centre;49
Q28121499;Drill Hall of The London Regiment;49
Q2866182;Maurice Richard Arena;49
Q872847;Olympic Sliding Centre Innsbruck;48
Q12841927;National Gymnastics Arena;48
Q6148264;Jamsil Indoor Swimming Pool;48
Q654100;Sears Centre;47
Q34720649;Kibbutz Hatzor Sport Hall;47
Q5001263;Busan Gudeok Stadium;47
Q66087880;Pabellón Municipal de Deportes Huelva;47
Q5547831;Georgia Tech Campus Recreation Center;46
Q73517446;Jotunhallen;46
Q32020284;Baldoyle Badminton Centre;46
Q14683818;Riverside City College;46
Q7634547;Suffolk County Community College;46
Q2707712;Ano Liosia Olympic Hall;45
Q1798386;Rot-Weiss Tennis Club Berlin;45
Q1971579;Luzhniki Palace of Sports;45
Q7661100;BOK Sports Center;44
Q12646050;Športska Dvorana Gospino Polje;44
Q2246085;Scotstoun Stadium;43
Q7244008;Prince George's Stadium;43
Q14682222;Heritage Park Aquatic Center;43
Q947065;Arizona Stadium;43
Q30113959;Tianhe Gymnasium;42
Q4350644;Chizhovka-Arena;42
Q70845783;PalaBadminton;42
Q5337622;Edgbaston Priory Club;42
Q5017791;Cairo Stadium Indoor Halls Complex;42
Q707537;Deutsche Hochschule für Körperkultur;41
Q18662559;Lahti Sports Center;41
Q63433082;Ken Kay Ballarat Badminton Stadium;41
Q71134581;Sport Hall Intersport;40
Q5639785;Haixia Olympic Center Stadium;40
Q2326215;Axiata Arena;40
Q4923737;Indoor Stadium Huamark;40
Q6418047;Kitchener Memorial Auditorium Complex;40
Q3143296;Lillehammer Olympic Bobsleigh and Luge Track;39
Q10317955;Escola Secundária Pedro Nunes;39
Q5436521;Farum Arena;38
Q551837;Sportforum Hohenschönhausen;38
Q1111563;Soldier Hollow;38
Q3305513;David Booth Kansas Memorial Stadium;37
Q328200;Eisstadion Inzell;37
Q37284555;Sport Hall Medvode;36
Q2048142;Palma Arena;36
Q5163738;Constantin Jude Hall;36
Q18357007;Ganghwa Dolmens Gymnasium;36
Q2873102;Autzen Stadium;36
Q10957376;Hong Kong Velodrome;35
Q6715011;MCU Park;35
Q52082323;Juara Stadium;35
Q4063545;Rosa Khutor Extreme Park;35
Q31882018;Sport Hall Olympic Vladivostok;34
Q63856946;Olympic Youth Development Centre;34
Q1132478;Pafiako Stadium;34
Q75044655;Norwich Sports Village;34
Q30204583;Pavilhão Rainha D. Leonor;34
Q18154984;Little Caesars Arena;34
Q7929512;U.S. Bank Stadium;34
Q371585;Caja Mágica;33
Q3432289;Circus Building;33
Q5329186;East Potomac Park Golf Course;33
Q2512571;Velodrome Suisse;33
Q6552579;Lindner Family Tennis Center;33
Q7295515;Ratcliffe College;33
Q1610404;Hermann-Gieseler-Halle;32
Q866648;Beidahu;32
Q18128224;Soldatskoe Valley Cross Country Skiing and Biathlon Stadium;32
Q30114090;Sudirman Badminton Hall;32
Q6352233;Kalevi Spordihall;31
Q7059671;Northrop Field;31
Q482441;Daegu Stadium;31
Q7825672;Torero Stadium;31
Q5567033;Glass Bowl;31
Q74452340;Sportovní Hala města Mostu;30
Q1131230;Norfolk Scope;30
Q7056679;North Shore Events Centre;30
Q3361140;Palais des Sports Orléans;30
Q3565475;Wallace Wade Stadium;30
Q7346228;Robert K. Kraft Field at Lawrence A. Wien Stadium;30
Q3365677;TipsArena Linz;30
Q926373;Oulu Ice Hall;29
Q1165024;Winnipeg Arena;29
Q945223;Kyle Field;29
Q75036583;The Triangle;29
Q125290;Stadio dei Marmi;29
Q3495641;Jarry Park Stadium;29
Q1887677;Malmö Isstadion;29
