entity;label;popularity
Q191164;Bolívar;494
Q191174;Miranda;395
Q190922;Anzoátegui;351
Q202071;Falcón;324
Q165582;Mérida;311
Q205796;Lara;280
Q190687;Aragua;263
Q202075;Guárico;257
Q41144;Táchira;219
Q43269;Zulia;210
Q205843;La Guaira state;174
Q205824;Sucre;168
Q170453;Amazonas;161
Q205776;Monagas;160
Q205784;Portuguesa;139
Q205460;Cojedes;130
Q191186;Carabobo;121
Q201121;Yaracuy;115
Q202068;Trujillo;111
Q43271;Barinas;111
Q204876;Nueva Esparta;109
Q41146;Apure;95
Q201137;Delta Amacuro;70
Q130343;Federal Dependencies of Venezuela;45
