entity;label;popularity
Q7190604;Piceance Basin;80
Q8022146;Williston Basin;51
Q15135715;Q15135715;34
Q4524214;Shirak Plain;31
Q4411879;Göyçə;30
Q18534595;Q18534595;28
Q18564572;Q18564572;25
Q17151509;Q17151509;23
Q17138585;Q17138585;19
Q17541589;Q17541589;19
Q656985;Great Artesian Basin;17
Q18113378;Q18113378;17
Q17151543;Q17151543;15
Q2887490;Los Angeles Basin;15
Q50821227;Q50821227;14
Q2094387;Sofia Valley;13
Q12273933;Q12273933;12
Q2444821;Baydar Valley;12
Q12292956;Q12292956;12
Q4207669;Kazanlak Valley;11
Q50484898;Q50484898;11
Q50821253;Q50821253;11
Q18193475;Q18193475;11
Q18193527;Q18193527;11
Q27865793;Big Muddy Bottom;11
Q4067938;Апаранская котловина;11
Q54921489;Q54921489;11
Q6807;Döhlen Basin;10
Q18249544;Q18249544;10
Q18249675;Q18249675;10
Q2887494;San Juan Basin;10
Q4906955;Bighorn Basin;10
Q12282670;Karnobat Valley;10
Q2212996;Lower Rhine graben;10
Q11177328;Q11177328;10
Q43387629;Gevgelija-Valandovo Basin;10
Q20497371;Sliven Valley;10
Q14126284;Q14126284;9
Q29020497;Vilyui river basin;9
Q33001526;Q33001526;9
Q11744333;Q11744333;9
Q14184137;Q14184137;9
Q14541820;Q14541820;9
Q15119865;Q15119865;9
Q20499063;Q20499063;9
Q43402093;Debar-Reka Basin;9
Q18564523;Q18564523;9
Q20500037;Q20500037;9
Q27062799;Q27062799;9
Q7236057;Powell Basin;9
Q3083451;Q3083451;9
Q3508624;Q3508624;9
Q5091713;Chepino Valley;9
Q10883263;Kyoto Basin;9
Q13416088;Q13416088;8
Q18564608;Q18564608;8
Q1660812;Ina Basin;8
Q12282665;Karlovo Valley;8
Q12284531;Q12284531;8
Q1800666;Ljubljana Basin;8
Q12292925;Самоковская котловина;8
Q5385738;Erewhon Basin;8
Q15074158;Q15074158;8
Q43388298;Q43388298;8
Q13437051;Basin of the Roode Beek;8
Q7931627;Vincennes Subglacial Basin;8
Q7713619;The Amphitheatre;8
Q12274037;Burel Valley;8
Q17395681;Q17395681;8
Q4822612;Aurora Subglacial Basin;8
Q27193904;Mai;8
Q18564490;Q18564490;8
Q18564423;Q18564423;8
Q12273829;Botevgrad Depression;8
Q12275859;Q12275859;8
Q17277101;Q17277101;8
Q5550950;Gerlovo;7
Q50594316;Q50594316;7
Q18193615;Q18193615;7
Q7209052;Polar Subglacial Basin;7
Q15262460;Nordenskjold Basin;7
Q54910711;Q54910711;7
Q15229079;JOIDES Basin;7
Q18193576;Q18193576;7
Q43402418;Ohrid-Struga Basin;7
Q4342929;Памбакская котловина;7
Q16370543;Q16370543;7
Q6792258;Maud Subglacial Basin;7
Q18534593;Q18534593;7
Q21697178;Q21697178;7
Q43304330;Q43304330;7
Q12272986;Q12272986;7
Q27733584;El Knébis;7
Q9267520;Gerlachovský kotol;7
Q1772013;Q1772013;7
Q50821442;Manětínská kotlina;7
Q12273355;Q12273355;7
Q20498307;Q20498307;7
Q31947866;Makoto;7
Q43360802;Mariovo Basin;7
Q758012;Q758012;7
Q42731412;Goshen Hole;7
Q12280529;Zlatitsa Valley;7
Q43388680;Kriva Palanka Basin;7
Q29157473;Q29157473;7
Q54920394;Q54920394;6
Q54927765;Q54927765;6
Q29643917;Jarandol basin;6
Q54920409;Q54920409;6
Q54927310;Q54927310;6
Q54920369;Q54920369;6
Q54920380;Q54920380;6
Q43360468;Tikveš Basin;6
Q43376308;Q43376308;6
Q54920403;Q54920403;6
Q54912767;Q54912767;6
Q54909299;Q54909299;6
Q50549485;Q50549485;6
Q43402644;Poreče Basin;6
Q54554802;Q54554802;6
Q54909247;Q54909247;6
Q54908446;Q54908446;6
Q54909392;Q54909392;6
Q54907797;Q54907797;6
Q54860631;Q54860631;6
Q54860630;Q54860630;6
Q54860616;Q54860616;6
Q54860572;Q54860572;6
Q54803618;Q54803618;6
Q54803591;Q54803591;6
Q54803587;Q54803587;6
Q54803520;Q54803520;6
Q54909973;Q54909973;6
Q54911510;Q54911510;6
Q50821823;Q50821823;6
Q50821506;Q50821506;6
Q50821270;Q50821270;6
Q54910709;Q54910709;6
Q50801928;Q50801928;6
Q50797408;Q50797408;6
Q50796527;Q50796527;6
Q50595058;Q50595058;6
Q50549824;Q50549824;6
Q54909295;Q54909295;6
Q50420087;Q50420087;6
Q54910713;Q54910713;6
Q51203441;Q51203441;6
Q20497743;Q20497743;6
Q20499546;Q20499546;6
Q20500805;Q20500805;6
Q12292980;Sarantsi Valley;6
Q12279054;Q12279054;6
Q20498634;Tvarditsa Valley;6
Q17107632;Michigan Basin;6
Q12271268;Aytos Valley;6
Q3032249;Visok;6
Q20500438;Q20500438;6
Q20500548;Q20500548;6
Q6813826;Melut Basin;6
Q12279706;Q12279706;6
Q13229816;Munster Basin;6
Q2106899;Powder River basin;6
Q12273168;Q12273168;6
Q12275893;Q12275893;6
Q12282467;Kamartsi Valley;6
Q20515207;Q20515207;6
Q12909863;Q12909863;6
Q1000302;Limburg Basin;6
Q4388618;Razlog Valley;6
Q54859779;Q54859779;5
Q54859974;Q54859974;5
Q54805255;Q54805255;5
Q21696766;Гомери дзор;5
Q54805247;Q54805247;5
Q54803729;Q54803729;5
Q54803661;Q54803661;5
Q12277265;Q12277265;5
Q54803589;Q54803589;5
Q54803586;Q54803586;5
Q54803584;Q54803584;5
Q12290185;Q12290185;5
Q54859979;Q54859979;5
Q54909346;Q54909346;5
Q54861850;Q54861850;5
Q54920368;Q54920368;5
Q54945010;Q54945010;5
Q54927308;Q54927308;5
Q54926907;Q54926907;5
Q1044729;Carpentaria Basin;5
Q1103385;Kalahari Basin;5
Q2887451;Algerian-Provençal Basin;5
Q54912727;Q54912727;5
Q54861862;Q54861862;5
Q54912713;Q54912713;5
Q54911911;Q54911911;5
Q54911765;Q54911765;5
Q54911763;Q54911763;5
Q54910666;Q54910666;5
Q11744336;Чешская котловина;5
Q50821511;Q50821511;5
Q50821814;Q50821814;5
Q50821496;Q50821496;5
Q50601670;Q50601670;5
Q20516310;Q20516310;5
Q20501027;Q20501027;5
Q20500968;Q20500968;5
Q43376480;Demir Hisar Basin;5
Q20497206;Q20497206;5
Q49338139;Major Basin;5
Q50421793;Q50421793;5
Q50421808;Q50421808;5
Q50421852;Q50421852;5
Q16396353;Q16396353;5
Q14705083;Dixie Valley;5
Q13445130;Broad Fourteens Basin;5
Q50595100;Q50595100;5
Q54945421;Q54945421;5
Q50601733;Q50601733;5
Q50602250;Q50602250;5
Q50602360;Q50602360;5
Q13437050;Basin of Heerlen;5
Q50797331;Q50797331;5
Q50804789;Q50804789;5
Q50804805;Q50804805;5
Q813673;Q813673;4
Q24576759;Q24576759;4
Q12292004;Q12292004;4
Q20500557;Q20500557;4
Q20500249;Q20500249;4
Q20500190;Q20500190;4
Q20498219;Q20498219;4
Q20497239;Q20497239;4
Q5329638;East Warburton Basin;4
Q15783196;Amundsen-Ganswindt Basin;4
Q12279224;Q12279224;4
Q12277074;Q12277074;3
Q13421868;Q13421868;3
Q28492386;Kristianstad Basin;3
Q12277771;Debar Basin;3
Q12756292;Q12756292;3
Q11493814;Ayashi basin;3
Q15873938;Q15873938;3
Q28232148;Chester Basin;3
Q27865941;Q27865941;3
Q20497334;Q20497334;3
Q20497264;Q20497264;3
Q12293792;Q12293792;3
Q12281960;Q12281960;3
Q25552299;Ohrid Basin;3
Q19932926;Q19932926;3
Q12278966;Q12278966;2
Q20521066;Pivka Basin;2
Q11654242;Nagano Basin;2
Q2198358;Centralian Superbasin;2
Q13053645;Q13053645;2
Q9350921;Q9350921;2
Q12101377;Dnieper-Donetsk Basin;2
Q2511541;Q2511541;1
Q18326489;Q18326489;1
