entity;label;popularity
Q1421389;Fitzroy;339
Q47002;Carlton;319
Q823531;St Kilda;318
Q1012076;Richmond;313
Q3965520;South Melbourne;284
Q83726;Ealing;284
Q5328965;East Melbourne;283
Q926728;Bromma;269
Q5501469;Fremantle;219
Q7417154;Sandy Bay;217
Q5685475;Hawthorn;217
Q72216;Kew;208
Q1594002;Heidelberg;206
Q1109698;Collingwood;199
Q509716;Manly;196
Q3427921;Parkville;188
Q1733565;Prahran;185
Q7053663;North Adelaide;182
Q915776;Brighton;168
Q21319;Parramatta;166
Q994135;Brunswick;161
Q1027823;Paddington;159
Q2304617;South Yarra;158
Q2376216;Clifton;157
Q7962191;Walker;154
Q1011478;Darlinghurst;150
Q146705;Sidcup;147
Q7056074;North Melbourne;144
Q1012058;Williamstown;140
Q6745046;Malvern;139
Q5466574;Footscray;136
Q2443083;Toorak;132
Q5054509;Caulfield;124
Q1535327;Mosman;123
Q909858;Randwick;121
Q1623026;Port Melbourne;120
Q2934668;Camberwell;120
Q1531184;Glenview;117
Q1368694;Essendon;117
Q647356;Coburg;114
Q5647672;Handsworth;111
Q2881464;Balmain;106
Q766353;Hampton;105
Q2918802;Camperdown;102
Q1373658;Charlottenlund;100
Q591771;Albert Park;99
Q1471471;Preston;98
Q1851145;Newtown;97
Q769709;Kifisia;92
Q7057754;Northcote;92
Q3227602;Liverpool;91
Q3108740;Glenelg;91
Q5455716;Fitzroy North;90
Q815911;Bellerive;89
Q167179;Oerlikon;86
Q2236090;Bankstown;86
Q5043042;Carlton North;85
Q6272440;St Leonards;85
Q5133240;Clifton Hill;84
Q2296779;Glebe;84
Q306710;Abbotsford;83
Q3570246;Wythenshawe;83
Q4951523;Box Hill;83
Q4382582;Marrickville;82
Q2157505;Ashfield;82
Q985768;Norwood;82
Q1592322;Headingley;81
Q3108678;Glen Iris;80
Q5090177;Cheltenham;79
Q1026184;Redcliffe;77
Q6745056;Malvern East;77
Q1024118;Chorlton-cum-Hardy;77
Q2918297;Woollahra;75
Q2279903;Leichhardt;73
Q83475;Greenford;73
Q7959849;Wahroonga;73
Q1026829;Redfern;73
Q1586921;Moonee Ponds;73
Q4792515;Armadale;72
Q2379971;Ruislip;72
Q5367746;Elsternwick;72
