entity;label;popularity
Q910648;Spanish East Indies;215
Q3795;Kalimantan;184
Q675321;Kiautschou Bay concession;144
Q66568854;Q66568854;97
Q159626;Württemberg;94
Q155144;Alsace-Lorraine;92
Q188063;fiefdom;70
Q689837;Spanish Sahara;42
Q1968939;Monfragüe;34
Q1969050;Sierra Nevada National Park;31
Q1136962;Novorossiya;27
Q26879763;Napoleonic client state;26
Q1420336;Sierra de las Nieves Natural Park;25
Q738395;Rupert's Land;25
Q597320;Empordà;24
Q154681;Anschluss;22
Q1149081;Eastern world;18
Q999381;Jefferson Territory;18
Q617103;Banda Oriental;17
Q2748571;Dominion of New England;15
Q755001;Paris Basin;14
Q1249481;National Capital Region;13
Q9067094;Q9067094;13
Q30386;Alpenländeer;13
Q1151943;Southern Basque Country;12
Q26727498;Mirafiori;12
Q2593136;Senegambia and Niger;12
Q2062829;Domini di Terraferma;12
Q30900270;Spanish Empire in Europe;12
Q1998931;North-Western Territory;11
Q3811245;Arab Jund;11
Q21158991;Saint Andrew Skete (Solovki);11
Q4116014;Rumaithiya;11
Q7263490;Pyrgo Park;11
Q555185;Italian Aegean Islands;11
Q3128518;Upper Navarre;10
Q11944166;quadra;9
Q1614424;Herrschaft Pinneberg;9
Q11921525;Falernus Ager;9
Q940907;Cynosarges;8
Q6143339;Chauen;8
Q2053766;Jäniskoski-Niskakoski territory;8
Q4260340;Леушинка;7
Q3206533;La Baule – Presqu’île de Guérande;7
Q4206421;КС-6;7
Q1868135;Logudoro;7
Q921221;Q921221;7
Q4409086;Сатыга;7
Q396547;Agri Decumates;7
Q4448451;Setsen Khan Aimag;7
Q11944349;Q11944349;7
Q7041208;Nitaskinan;7
Q5389573;Erith Marshes;6
Q2859646;Арберу;6
Q16056123;Q16056123;6
Q28455099;Земщина;6
Q16950531;Basque señoríos;5
Q8242634;Q8242634;5
Q7705323;Teruni;5
Q495535;Nordalbingia;5
Q27943532;Mi'kma'ki;5
Q5959219;Kert;5
Q4696780;Aidhne;5
Q65131242;Culture Sainte-Catherine;5
Q12901778;Quarters of Constantinople;5
Q2511505;Vauvert;5
Q4284199;Массив Раглицы;5
Q52434788;Q52434788;5
Q16187969;castell termenat (Catalonia);5
Q637454;Nefzaoua;5
Q10779485;Q10779485;4
Q15815429;Q15815429;4
Q4214448;Карачай;4
Q3432234;Dutch Bengal;4
Q37152070;civitas Riedonum;4
Q20820384;Q20820384;3
Q20755176;Q20755176;3
Q25423115;Niger Military Territory;3
Q28670934;Q28670934;3
Q37684553;Q37684553;3
Q47516713;Ispahbads of Gilan;3
Q61952939;Armenia within the Kingdom of Georgia;3
Q3473124;Sapaudia;3
Q66626344;baronia d’Alemany;3
Q11904141;Q11904141;3
Q76562295;Bischofshöri;3
Q11929871;Q11929871;3
Q186791;Q186791;3
Q569011;Q569011;3
Q199210;Ziesarscher Kreis;3
Q11955110;Q11955110;2
Q441900;Q441900;2
Q11925003;Q11925003;2
Q11916644;Q11916644;2
Q10495584;Arm's Lapland;2
Q3575879;Q3575879;2
Q2887624;Q2887624;2
Q1017436;Q1017436;2
Q1025796;Southern Bessarabia;1
Q28927429;Q28927429;1
Q1019755;Q1019755;1
Q22247953;Antilles-Guyane;1
Q11913679;Q11913679;1
Q61588069;Q61588069;1
