entity;label;popularity
Q3078539;Fortuna Tessera;8
Q21038945;Meskhent Tessera;7
Q2869821;Atropos Tessera;6
Q21038938;Lachesis Tessera;6
Q21038968;Nemesis Tesserae;6
Q21038952;Tellus Tessera;6
Q21038950;Shimti Tessera;6
Q2979684;Clotho Tessera;6
Q73923610;Q73923610;6
Q3156017;Itzpapalotl Tessera;6
Q3216359;Laima Tessera;6
Q3319247;Moira Tessera;6
Q21031685;Athena Tessera;6
Q21038967;Nedolya Tesserae;5
Q21038958;Ustrecha Tesserae;5
Q21038959;Dou-Mu Tesserae;5
Q21038960;Giltine Tesserae;5
Q21038961;Kruchina Tesserae;5
Q21038962;Lahevhev Tesserae;5
Q21038963;Likho Tesserae;5
Q21038964;Mago-Halmi Tesserae;5
Q21038965;Mamitu Tesserae;5
Q21038966;Manzan-Gurme Tesserae;5
Q21038922;Ananke Tessera;5
Q21038956;Adrasthea Tesserae;5
Q21038969;Nortia Tesserae;5
Q21038970;Pasom-mana Tesserae;5
Q21038971;Senectus Tesserae;5
Q21038972;Snotra Tesserae;5
Q21038973;Sopdet Tesserae;5
Q21038974;Sudenitsa Tesserae;5
Q21038975;Tushita Tesserae;5
Q21038976;Vako-nana Tesserae;5
Q21038977;Verpeja Tesserae;5
Q21038978;Virilis Tesserae;5
Q21038979;Norna Tesserae;5
Q73923603;Q73923603;5
Q21038957;Husbishag Tesserae;5
Q21038954;Xi Wang-mu Tessera;5
Q21038955;Kutue Tessera;5
Q21038923;Haasttse-baad Tessera;5
Q21038924;Humai Tessera;5
Q21038926;Oddibjord Tessera;5
Q21038927;Urd Tessera Tessera;5
Q21038928;Bathkol Tessera;5
Q21038930;Chimon-mana Tessera;5
Q21038931;Clídna Tessera;5
Q21038932;Cocomama Tessera;5
Q21038933;Dēkla Tessera;5
Q21038934;Dolya Tessera;5
Q21038936;Gbadu Tessera;5
Q21038937;Gegute Tessera;5
Q21031797;Zirka Tessera;5
Q21038940;Lhamo Tessera;5
Q21038941;Mafdet Tessera;5
Q21038942;Magu Tessera;5
Q21038943;Manatum Tessera;5
Q21038944;Meni Tessera;5
Q21031794;Yuki-Onne Tessera;5
Q21038946;Minu-Anni Tessera;5
Q21038947;Nuahine Tessera;5
Q21038948;Salus Tessera;5
Q21038951;Sudice Tessera;5
Q21038953;Tyche Tessera;5
Q21038949;Shait Tessera;5
