entity;label
Q7127881;Pallikkara Gramapanchayath
Q7127901;Pallippadu panchayat
Q7130027;Panangad grama panchayat
Q7136008;Parassala Gramapanchayath
Q7148321;Pattanchery Gramapanchayath
Q7155901;Pavithreswaram Gramapanchayath
Q7195024;Pindimana Gramapanchayath
Q7197919;Pirayiri Gramapanchayath
Q7260453;Punnakayal Gram Panchayat
Q7260813;Purameri Gramapanchayath
Q7262274;Puthur Gramapanchayat
Q7585707;Sreekrishnapuram Grampanchayat
Q7689021;Tavanur
Q7690448;Tazhekkod
Q7699845;Thenhippalam Gramapanchayath
Q7708877;Thachampara
Q7709502;Thalakkulathur
Q7711580;Thazhakkara grama panchayat
Q7783603;Thevalakkara
Q7785398;Thirunelli Gramapanchayath
Q7785559;Thiruvilwamala Grama Panchayath
Q7798261;Thrippangottur Grampanchayat
Q7798860;Thumpamon Grampanchayat
Q7799248;Thuravoor Gramapanchayat
Q7877342;Udumbannoor Gramapanchayath
Q7908115;Vadakkekkad Gramapanchayath
Q7911829;Vallapuzha Gramapanchayat
Q7912419;Vallikkunnu Gramapanchayath
Q7917110;Vathikudy Gramapanchayath
Q7917600;Vazhakkad Gramapanchayath
Q7917616;Vazhikkadavu Gramapanchayat
Q7918059;Veedur Gram Panchayat
Q7919131;Vellanad Gramapanchayat
Q7919132;Vellamunda Gramapanchayath
Q7919482;Vembayam Gramapanchayat
Q7919892;Venganoor Gramapanchayat
Q7919896;Vangappalli Gramapanchayath
Q7930109;Vilavoorkkal Gramapanchayat
Q7930122;Vilayur
Q13007720;Rachavetivaripalle
Q13109815;Angadippuram Gramapanchayath
Q13109827;Ancharakandy Gramapanchayath
Q13109838;Anchal Gramapanchayath
Q13109858;Adimali Gramapanchayath
Q13109891;Athirampuzha Gramapanchayath
Q13109913;Atholi Gramapanchayath
Q13109935;Ananganadi Gramapanchayath
Q13109993;Anthikkad Grama panchayath
Q13110011;Annamanada Grama Panchayath
Q13110048;Amarambalam Gramapanchayath
Q13110063;Ambalapara Gramapanchayath
Q13110085;Ayiloor
Q13110089;Ayyankunnu Gramapanchayat
Q13110090;Ayyampuzha Gramapanchayath
Q13110092;Ayarkunnam Gramapanchayath
Q13110103;Arikkulam Gramapanchayath
Q13110115;Aryankavu Gramapanchayat
Q13110129;Alayaman Gramapanchayath
Q13110131;Alanallur Gramapanchayath
Q13110136;Alagappanagar Grama Panchayath
Q13110137;Azheekode Gramapanchayath
Q13110215;Athavanad Gramapanchayath
Q13110239;Anakkara Gramapanchayath
Q13110245;Anikkadu Gramapanchayath
Q13110253;Arakkuzha Gramapanchayath
Q13110254;Aryancode Gramapanchayath
Q13110270;Aryad gram panchayat
Q13110282;Alakode Gramapanchayat
Q13110284;Alakkode Grampanchayat
Q13110375;Edamulakkal Gramapanchayath
Q13110382;Ittiva Gramapanchayath
Q13110433;Eraviperoor Gramapanchayath
Q13110436;Erattayar Gramapanchayath
Q13110441;Irumbiliyum Gramapanchayath
Q13110450;Elakamon Gramapanchayath
Q13110464;Q13110464
Q13110486;East Eleeri Gramapanchayath
Q13110491;Unnikulam Gramapanchayat
Q13110504;Udayanapuram Gramapanchayath
Q13110519;Upputhara Gramapanchayath
Q13110532;Ummannoor Gramapanchayath
Q13110554;Uzhamalakkal Gramapanchayath
Q13110565;Oorakam Gramapanchayath
Q13110581;Urangattiri Gramapanchayath
Q13110663;Edathiruthy Grama panchayath
Q13110665;Edathala Gramapanchayath
Q13110666;Edakkara Gramapanchayath
Q13110667;Edapatta Gramapanchayath
Q13110669;Edappal Gramapanchayat
Q13110671;Edakkattuvayal Gramapanchayath
Q13110674;Edavanakad Gramapanchayath
Q13110676;Edavaka Gramapanchayath
Q13110680;Edarikkode Gramapanchayath
Q13110681;Edavilangu Grama panchayath
Q13110692;Elikkulam Gramapanchayath
Q13110703;Elamkunnapuzha Gramapanchayath
Q13110706;Elavally Grama panchayath
Q13110707;Ezhukone Gramapanchayath
Q13110763;Enadimangalam Gramapanchayath
Q13110766;Earathu Gramapanchayath
Q13110770;Elappara Gramapanchayath
Q13110771;Eramala Gramapanchayath
Q13110772;Yeroor Gramapanchayath
Q13110773;Eruvessi Grampanchayat
Q13110779;Ezhamkulam Gramapanchayath
Q13110803;Okkal Gramapanchayath
Q13110823;Ottasekaramangalam Gramapanchayath
Q13110828;Ottoor Grampachayat
Q13110838;Ozhoor Gramapanchayath
Q13110863;Omalloor Gramapanchayath
Q13110870;Kakkodi Gramapanchayath
Q13110882;Kanjikuzhi grama panchayat, Alappuzha district
Q13110885;Kanjikkuzhy Gramapanchayath
Q13110886;Kadangod Grama panchayath
Q13110889;Kadakarappally Grama Panchayat
Q13110892;Kadanadu Gramapanchayath
Q13110894;Kadaplamattom Gramapanchayath
Q13110896;Kadapra Gramapanchayath
Q13110897;Kadappuram Gram Panchayath
Q13110898;Kadamakkudy Gramapanchayath
Q13110899;Kadambanad Gramapanchayath
Q13110901;Kadamboor Gramapanchayat
Q13110905;Kadalundi Gramapanchayath
Q13110925;Kattippara Gramapanchayath
Q13110927;Kadinamkulam Gramapanchayath
Q13110930;Kanichar Gramapanchayath
Q13110940;Kannambra Gramapanchayath
Q13110944;Kannadi Gramapanchayath
Q13110970;Kappoor Gramapanchayath
Q13110996;Karavaloor Gramapanchayath
Q13111003;Karimkunnam Gramapanchayath
Q13111012;Karimpuzha Gramapanchayath
Q13111018;Karivelloor-Peralam Gramapanchayat
Q13111020;Karumkulam Gramapanchayath
Q13111021;Kareepra Gramapanchayath
Q13111023;Karunapuram Gramapanchayath
Q13111031;Karuvarakundu Gramapanchayat
Q13111032;Karuvatta Grama Panchayath
Q13111041;Kalanjoor Gramapanchayath
Q13111073;Kallooppara Gramapanchayath
Q13111076;Kalliassery Gramapanchayath
Q13111105;Kakkur Gramapanchayath
Q13111108;Kankole- Alapadamba Gramapanchayat
Q13111121;Kanjoor Gramapanchayath
