entity;label
Q64053;Efrat
Q152578;Beitar Illit
Q168140;Modi'in Illit
Q169310;Ariel
Q224721;Livna
Q246963;Shim'a
Q246979;Teneh Omarim
Q246986;Beit Hagai
Q285260;Afik
Q325455;Yitzhar
Q325708;Psagot
Q325876;Shavei Shomron
Q325882;Kokhav Ya'akov
Q325919;Kfar Tapuach
Q325924;Ma'ale Mikhmas
Q325928;Einav
Q368883;Beit Aryeh-Ofarim
Q370034;Karmei Tzur
Q430939;Beit El
Q502272;Ma'ale Adumim
Q598371;Odem
Q668897;Har Adar
Q810683;Bat Ayin
Q893215;Ramot, Jerusalem
Q985533;Merom Golan
Q990664;Gush Etzion
Q1018921;Tekoa
Q1028231;Pisgat Ze'ev
Q1120621;Har Gilo
Q1434029;Carmel, Har Hebron
Q1455257;French Hill
Q1524664;Gilo
Q1555352;Gush Katif
Q1584365;Har Homa
Q1629873;Kfar Adumim
Q1661181;Nokdim
Q1675212;Itamar
Q1681445;Yamit
Q1759887;Sa-Nur
Q1777470;Migdal Oz
Q1808579;Alfei Menashe
Q1882276;Ma'ale Amos
Q1956376;Eli
Q2117476;Alon Shvut
Q2160189;Kedumim
Q2326109;Elkana
Q2369607;Giv'at Ze'ev
Q2423990;Shomron Regional Council
Q2466712;Nimrod, Golan Heights
Q2504200;Ateret
Q2558902;Barkan
Q2568520;Nofim
Q2571864;Ma'ale Gamla
Q2590232;Kfar Eldad
Q2597135;Ofra
Q2612754;Talmon
Q2708346;Gitit
Q2708817;Mevo Horon
Q2776370;Ovnat
Q2776787;Tzofim
Q2776800;Matityahu, Mateh Binyamin
Q2776826;Neria, Mateh Binyamin
Q2776849;Na'ale
Q2776900;Mitzpe Yeriho
Q2777198;Beit HaArava
Q2777433;Nahliel
Q2777446;Nili, Mateh Binyamin
Q2777543;Etz Efraim
Q2777556;Beit Horon
Q2777666;Yakir
Q2777691;Hermesh
Q2777697;Hashmonaim
Q2777705;Alei Zahav
Q2777712;Rechelim
Q2777719;Nofei Prat
Q2777753;Kfar HaOranim
Q2777759;Almog
Q2777789;Kalya
Q2777883;Migdalim
Q2777888;Reihan
Q2777913;Alon, Mateh Binyamin
Q2777920;Ma'ale Levona
Q2777925;Kiryat Netafim
Q2777945;Giv'on HaHadasha
Q2777955;Ma'ale Shomron
Q2777960;Mevo Dotan
Q2777967;Tal Menashe
Q2777973;Revava
Q2777977;Sha'arei Tikva
Q2778124;Ramat Eshkol
Q2845667;Almon
Q2888647;Petza'el
Q2888768;Na'amah
Q2888807;Ro'i
Q2888816;Gilgal
Q2888849;Hemdat
Q2888855;Rotem, Bik'at HaYarden
Q2888871;Telem, Har Hebron
Q2888911;Mekhora
Q2888917;Yitav
Q2888924;Yafit
Q2888940;Beka'ot
Q2888960;Mehola
Q2889038;Masua
Q2889082;Ma'ale Hever
Q2889094;Adora, Har Hebron
Q2889103;Shadmot Mehola
Q2889134;Sansana
Q2889238;Eshkolot
Q2889286;Shaked
Q2889373;Avnei Hefetz
Q2889474;Beit Yatir
Q2889475;Niran
Q2889484;Brukhin
Q2889503;Har Brakha
Q2889523;Argaman
Q2889568;Otniel
Q2889637;Alonei HaBashan
Q2889675;Avnei Eitan
Q2889823;Keshet, Golan Heights
Q2889908;Geshur
Q2889939;El Rom
Q2890011;Peduel
Q2890206;Ortal
Q2890325;Ramot, Golan Heights
Q2890336;Netiv HaGdud
Q2890345;Sal'it
Q2890380;Nov, Golan Heights
Q2890400;Halamish
Q2890437;Elon Moreh
Q2890575;Geva Binyamin
Q2890625;Dolev
Q2890636;Metzar
Q2890654;Kfar Haruv
Q2890805;Mitzpe Shalem
Q2890872;Vered Yeriho
Q2891037;Kadim
Q2891229;Mevo'ot Yeriho
Q2893618;Aniam
Q2901273;Beit HaShalom
Q2903335;Givat HaMatos
Q2907364;Had Nes
Q2909325;Ganim
Q2909442;Sha'al
Q2909478;Kidmat Tzvi
Q2909681;Natur
Q2909730;Neot Golan
Q2909809;Givat Yoav
Q2909830;Bnei Yehuda
Q2909837;Kela Alon
Q2909965;Eli-ad
Q2909968;Kanaf
Q2909997;Ein Zivan
Q2910012;Yonatan, Golan Heights
Q2910942;Haspin
Q2915143;Immanuel
Q2915463;Kedar, Gush Etzion
Q2915548;Neve Daniel
Q2916342;Karnei Shomron
Q2916541;Kokhav HaShahar
Q2916610;Metzad
Q2916614;Rosh Tzurim
Q2916663;Hamra, Bik'at HaYarden
Q2917202;Maskiot
Q2918013;Neve Yaakov
Q2918216;Ma'ale Efrayim
Q2919662;Tomer
Q2920302;Mevo Hama
Q2920377;East Talpiot
Q2975755;Neve Ativ
Q2975875;Ramat Magshimim
Q3488346;Ma'ale Rehav'am
Q5764134;Hilltop Youth
Q6579915;Beit Yonatan
Q7047394;Nof Zion
Q7334726;Ring Neighborhoods, Jerusalem
Q7439738;Sdeh Bar Farm
Q7496987;Shimon HaTzadik
Q8052798;Yesha
Q20502294;Kerem Reim
Q20728762;Susya, Har Hebron
Q28220814;Ganei Modi'in
Q55649990;Tapuah West
Q65251436;Q65251436
