entity;label
Q547;Witterschlick
Q1153;Eppendorf
Q1807;Eilbek
Q2418;Hamburg-Reitbrook
Q2443;Vorhelm
Q2446;Dolberg
Q4606;Niederau
Q5423;Auritz
Q6352;Birkigt (Freital)
Q6358;Deuben
Q6366;Pesterwitz
Q6376;Somsdorf
Q6385;Weißig (Freital)
Q6392;Wurgwitz
Q6820;Zauckerode
Q8239;Schmiedeberg
Q8744;Nauwalde
Q8829;Tauscha
Q8888;Altfranken
Q8891;Schönfeld-Weißig
Q8893;Albertstadt
Q8894;Äußere Neustadt
Q8897;Blasewitz
Q8898;Coschütz
Q8899;Cotta
Q8904;Dölzschen
Q8909;Friedrichstadt
Q8912;Gittersee
Q8915;Gorbitz
Q8917;Großzschachwitz
Q8920;Hellerau
Q8922;Innere Altstadt
Q8924;Innere Neustadt
Q8925;Kleinpestitz
Q8926;Kleinzschachwitz
Q8931;Klotzsche
Q8933;Laubegast
Q8936;Leuben
Q8938;Leubnitz-Neuostra
Q8939;Loschwitz
Q8941;Meußlitz
Q8942;Mickten
Q8943;Mockritz
Q8944;Omsewitz
Q8945;Pieschen
Q8946;Pillnitz
Q8947;Pirnaische Vorstadt
Q8949;Plauen
Q8952;Seevorstadt
Q8955;Übigau
Q8956;Weisser Hirsch
Q8957;Zschertnitz
Q8960;Eschdorf
Q8964;Niederwartha
Q8966;Pappritz
Q8967;Pennrich
Q10712;Satzvey
Q10719;Lessenich
Q10728;Bergheim
Q10747;Deutzen
Q10749;Espenhain
Q10753;Narsdorf
Q10769;Kohren-Sahlis
Q10775;Kommern
Q12042;Belgern
Q12048;Schildau
Q15582;Brig
Q16061;Neukyhna
Q16071;Zinna
Q16074;Zwochau
Q19869;Breinigerberg
Q20209;Neu Gaarz
Q20212;Schwinkendorf
Q20214;Varchentin
Q20215;Vielist
Q20237;Grabow-Below
Q20252;Ludorf
Q20255;Massow
Q20275;Vipperow
Q20277;Wredenhagen
Q20279;Zepkow
Q20324;Roggentin
Q20558;Fahretoft
Q20574;Waygaard
Q20629;Morsum
Q20646;Tinnum
Q20648;Archsum
Q20649;Munkmarsch
Q20651;Deezbüll
Q20767;Keitum
Q21039;Rantum
Q22545;Hemshof
Q22550;Peterstal
Q22556;Ruchheim
Q22558;Schwarzenbach
Q22565;Wörschweiler
Q22572;Einöd
Q22597;Veltenhof
Q22601;Beeden
Q22829;Maudach
Q22834;Schwarzenacker
Q22836;Neumühle
Q22863;Erbach
Q22882;Blankenloch
Q25731;Weihenstephan
Q26107;Berlebeck
Q26133;Rathstock
Q26565;Damerow
Q28349;Frohnsdorf
Q28402;Jückelberg
Q28407;Ziegelheim
Q32802;Stadel bei Herrieden
Q45898;Cammin
Q45999;Eichhorst
Q46025;Genzkow
Q46031;Glienke
Q46753;Erlbach
Q46792;Reuth
Q46828;Zwota
Q46880;Mühltroff
Q46885;Mylau
Q46895;Pausa, Saxony
Q47037;Wildenbörten
Q47040;Nöbdenitz
Q48219;Heidenoldendorf
Q48220;Hakedahl
Q48223;Diestelbruch
Q48321;Gansheim
Q49414;Ramsberg am Brombachsee
Q49517;Sandsee castle
Q49584;Wülzburg
Q50894;Bad Münster am Stein-Ebernburg
Q50932;Helpt
Q50935;Mildenitz
Q50939;Petersdorf, Mecklenburg-Vorpommern
Q50950;Duckow
Q51978;Nöham
Q51980;Amsham
Q51981;Angerstorf
Q51982;Anzenberg
Q57711;Bad Schlema
Q57717;Bernsbach
Q57729;Borstendorf
Q57786;Hormersdorf
Q57817;Pfaffroda
Q57822;Pockau
Q57911;Lauter
Q57916;Lengefeld
Q57948;Aue
Q58000;Zöblitz
Q58011;Waldkirchen
Q58015;Venusberg
Q58019;Sosa
Q58022;Pobershau
Q58317;Mosebeck
Q58319;Loßbruch
Q62047;Wiebelsdorf
Q62074;Staitz
Q62123;Silberfeld
Q62170;Auma
Q62224;Merkendorf
Q62232;Göhren-Döhlen
Q62305;Braunsdorf
Q62325;Zadelsdorf
Q65159;Dörnsteinbach
Q65388;Hardthöhe
Q71002;Mochau
Q71017;Niederstriegis
Q73075;Lüchtringen
Q73091;Albaxen
Q73110;Stahle
Q73130;Allersheim
Q73151;Neuhaus im Solling
Q73179;Silberborn
Q73190;Bernterode
Q77346;Solalinden
Q80032;Eichenbarleben
Q80334;Niederschönhagen
Q83314;Mohlsdorf
Q83377;Teichwolframsdorf
Q86218;Oettern-Bremke
Q86474;Niewald
Q86480;Oberschönhagen
Q93243;Guttau
Q110653;Unkersdorf
Q112937;Banteln
Q112971;Konzenberg
Q113062;Großurleben
Q113624;Kleuelshöhe
Q114025;Q114025
Q114059;Wölferbütt
Q114300;Baierfeld
Q114335;Baimhofen
Q114379;Hoff
Q114652;Aiterbach
Q114663;Wolfsau
Q114812;Stöckendrebber
Q114836;Schwalenbach
Q114961;Qualburg
Q114988;Issel
Q116709;Heckendalheim
Q116744;Pödinghausen
Q117045;Dorlar
Q117231;Q117231
Q117576;Posthausen
Q117769;Schönemark
Q117777;Spork-Eichholz
Q117780;Remmighausen
Q117782;Vahlhausen
Q117898;Pivitsheide V. H.
Q117900;Pivitsheide V. L.
Q118571;Hohentramm
Q118603;Beelitz
Q119277;Mattstedt
Q119311;Brehna
Q119519;Schloen
Q119603;Kilchberg
Q120211;Beiertheim-Bulach
Q121540;Butzweiler
Q121919;Wolfert
Q122175;Eubach
Q122585;Plessenburg
Q122707;Schackstedt
Q122768;Gottmansdorf
Q123182;Soislieden
Q124705;Südstadt
Q124812;Q124812
Q126395;Weltewitz
Q126407;Theeßen
Q127223;Q127223
Q127709;Kirchilpe
Q127915;Großhartpenning
Q127917;Oberulrain
Q130096;Bühne
Q130629;Schönenberg
Q131819;Laumühlen
Q131827;Hittfeld
Q131951;Driewitz
Q132136;Mensfelden
Q132227;Riet
Q132476;Rüdesheim
Q136662;Zaatzke
Q136697;Zabakuck
Q136744;Zabeltitz
Q136745;Zabenstedt
Q138421;Dorndorf
Q139002;Zabitz
Q139370;Ihren
Q139402;Zachariae
Q139458;Q139458
Q139966;Q139966
Q140005;Zadel
Q140123;Baben
Q140340;Zagkwitz
Q140535;Q140535
Q140603;Zahlbach
Q140605;Zahlbach
Q140893;Zahmen
Q140926;Zahna
Q142350;Auerberg
Q142780;Wüllen
Q143320;Bombogen
Q144036;Liegau-Augustusbad
Q144204;Zahrensen
Q144222;Zahrensdorf
Q144338;Zailach
Q144448;Zaisenhausen
Q144873;Ostdorf
Q144902;Waßmannsdorf
Q144915;Leipe
Q145175;Lubochow
Q145219;Q145219
Q145259;Zeißholz
Q145549;Papitz
Q145556;Мальц
Q145733;Zamdorf
Q146731;Zandt
Q146733;Zandt
Q146738;Q146738
Q146815;Zang
Q146853;Zange
Q147479;Zappendorf
Q148114;Zartwitz
Q148183;Q148183
Q148186;Zaschendorf
Q148191;Q148191
Q148283;Zastler
Q148506;Zauchwitz
Q148978;Q148978
Q149713;Ostro
Q149899;Ahlbeck
Q150042;Q150042
Q151193;Büsbach
Q151243;Castrop
Q151266;Rott
Q151274;Q151274
Q151282;Zweifall
Q151292;Münsterau
Q151295;Vicht
Q151297;Фелау
Q151299;Q151299
Q151302;Mausbach
Q151306;Q151306
Q151308;Fleuth
Q151314;Steinfurt
Q151316;Q151316
Q151319;Wenau
Q151322;Q151322
Q151325;Atsch
Q151328;Q151328
Q151331;Q151331
Q151333;Mulartshütte
Q151342;Hamm
Q151418;Olpe
Q151442;Q151442
Q151448;Schelsen
Q151453;Westkirchen
Q151491;Marienthal
Q151535;Sachsenhausen
Q151680;Hersel
Q151725;Kirchhoven
Q152135;Köbach
Q152146;Vicht-Breinigerberg
Q152170;Horumersiel
Q152328;Breinig
Q152421;Altenrath
Q152443;Carolinensiel
Q152937;Niederaußem
Q153190;Q153190
Q153197;Kohlbusch
Q153203;Q153203
Q153206;Q153206
Q153209;Donnerberg
Q153218;Q153218
Q153223;Q153223
Q153225;Finsterau
Q153397;Dom-Esch
Q153419;Nothberg
Q153428;Weisweiler
Q153444;Kettwig
Q153736;Lessenich/Meßdorf
Q153747;Dottendorf
Q153751;Poppelsdorf
Q153754;Lengsdorf
Q153757;Graurheindorf
Q153759;Endenich
Q153765;Dransdorf
Q153774;Duisdorf
Q153782;Kessenich
Q153898;Q153898
Q153903;Dorff
Q153919;Zwillbrock
Q154048;Kornelimünster
Q157480;Ebersbach
Q159095;Brobergen
Q159828;Großdrebnitz
Q159867;Wehrsdorf
Q159982;Hosena
Q160130;Storcha
Q160158;Nostitz
Q160203;Podrosche
Q160207;Groß Särchen
Q160209;Weißkollm
Q160212;Straßgräbchen
Q160214;Klein Döbbern
Q160216;Kromlau
Q160222;Q160222
Q160224;Raddusch
Q160226;Q160226
Q160228;Q160228
Q160230;Schwarzkollm
