entity;label
Q7924;Arnsberg Government Region
Q7928;Kassel Government Region
Q7931;Giessen Government Region
Q7932;Darmstadt Government Region
Q10547;Lower Franconia
Q10551;Middle Franconia
Q10554;Upper Franconia
Q10555;Upper Palatinate
Q10557;Swabia
Q10559;Lower Bavaria
Q10562;Upper Bavaria
Q24174;Dresden Government Region
Q24186;Leipzig Government Region
Q24198;Chemnitz Government Region
Q165861;Dessau Government Region
Q316455;Halle Government Region
Q450521;Magdeburg Government Region
Q478866;Q478866
Q517363;Rheinhessen-Pfalz
Q573203;Trier Government Region
Q742380;South Badenia Government Region
Q827092;Oppeln (region)
Q896184;Zichenau
Q1485958;Цвикау
Q1749818;Q1749818
Q2137691;Nordwürttemberg Government Region
Q2137694;Montabaur Government Region
Q2137698;Нордбаден
Q2137712;Q2137712
Q2137716;Südwürttemberg-Hohenzollern Government Region
Q2137718;Rheinhessen Government Region
