entity;label
Q671266;Hearst Greek Theatre
Q1010349;Gibson Amphitheatre
Q1265153;Alpine Valley Music Theatre
Q1646054;Ancient Greek theatre of Pergamon
Q3106621;Pechanga Arena
Q4792362;Arlington Memorial Amphitheater
Q5148725;Colorado Amphitheater
Q5301581;Douglas Head Amphitheatre
Q5469118;Forest Theater
Q5473729;Foster Park Bowl
Q5507841;Fulfillment Amphitheater
Q5601897;Greek Theatre, Los Angeles
Q6421127;Klipsch Music Center
Q6821051;Mesa Amphitheatre
Q7122294;Pacific Amphitheatre
Q7269203;Quarry Amphitheatre
Q7303032;Recreation Center for the Utah State Hospital
Q7414785;Glen Helen Amphitheater
Q7419208;Santa Barbara Bowl
Q7501435;Shoreline Amphitheatre
Q7539726;North Island Credit Union Amphitheatre
Q7539730;Sleep Train Amphitheatre
Q7539731;Sleep Train Pavilion
Q7602072;Starlight Bowl
Q7902480;Utah State Training School Amphitheater and Wall
Q7921447;Verizon Wireless Amphitheatre at Encore Park
Q8024095;Windego Park Auditorium/Open Air Theater
Q9150002;Q9150002
Q9150005;Q9150005
Q9150008;Q9150008
Q9150009;Q9150009
Q13046666;Amphitheatre of Butrint
Q14689271;Oleson Park Music Pavilion
Q14875242;Kingswood Music Theatre
Q16515497;Q16515497
Q16895432;Mort Glosser Amphitheater
Q16896058;Oakwood Lake Amphitheatre
Q16911215;Cal Expo Amphitheatre
Q16973958;McIntire Amphitheatre
Q18158621;Tanner Amphitheater
Q20112429;Q20112429
Q24576199;Q24576199
Q26660161;Amphitheatre At Carmel College
Q27431323;Anfiteatro del Parque de la Exposición
Q29898196;Q29898196
Q31138966;Q31138966
Q31181943;Q31181943
Q33260974;Q33260974
Q38283307;Q38283307
Q38283532;Q38283532
Q42610940;Amphitheatre of Bulla Regia
Q42763554;Q42763554
Q42763661;Q42763661
Q55315860;Darien Lake Performing Arts Center
Q56276158;Du Arena
Q56547905;Q56547905
Q61233257;The Chrysalis
Q63039076;Serpentine Wall
Q63604281;South Campground Amphitheater
Q66127953;Hartwood Acres Ampitheater
Q66823611;Q66823611
Q67882995;Q67882995
Q73897402;America Gardens
Q78680466;O.C. Tanner Amphitheater
Q83695158;Q83695158
