entity;label
Q973833;Cumbe Mayo
Q4674749;Acqua Vergine
Q11637884;Tatsumi Canal
Q17641078;River Wey aqueduct, Headley Park
Q17641085;River Wey aqueduct, Bramshott Court
Q17641097;River Wey aqueduct, Radford Bridge, Liphook
Q17641671;Canal aqueduct
Q17642348;Sedgwick aqueduct
Q17644392;Engine Arm Aqueduct, Warley
Q17644950;Flash Road aqueduct
Q17647100;Roman aqueduct to Great Chesters from the Cawburn
Q17650956;Discontinuous surviving sections of Roman aqueduct
Q42567025;Horikawa Aqueduct
Q56401117;Mina de l'Arquebisbe
