entity;label
Q12919;Majuro
Q43296;Wake Island
Q127335;Tabuaeran
Q128654;Nukulaelae
Q131008;Johnston Atoll
Q152225;Bikini Atoll
Q152754;Ebon Atoll
Q153635;Knox Atoll
Q165594;Helen Reef
Q168576;Jaluit Atoll
Q174618;Nanumea
Q175931;Wotho Atoll
Q180547;Suwarrow
Q241074;Rocas Atoll
Q257734;Paraoa
Q260549;Aur Atoll
Q272768;Aldabra
Q304887;Abaiang
Q309172;Kwajalein
Q318446;Moruroa
Q370525;Arutua
Q400184;Ahe
Q403039;Ahunui
Q405164;Ailinginae Atoll
Q405165;Ailinglaplap Atoll
Q405378;Ailuk Atoll
Q417963;Akiaki
Q454545;Amanu
Q483126;Anaa
Q506815;Fangataufa
Q511859;Cargados Carajos
Q518210;Wotje Atoll
Q518353;Likiep Atoll
Q525380;Marutea Sud
Q542619;Rongelap Atoll
Q547997;Nui
Q567926;Maloelap Atoll
Q567984;Woleai
Q577784;Tuanake
Q584092;Motu One
Q591299;Makemo
Q601638;Tekokota
Q617923;Apataki
Q626477;Aratika
Q628625;Pukarua
Q632495;Vaitupu
Q649190;Enewetak Atoll
Q654148;Olimarao
Q661756;Tepoto
Q666634;Raroia
Q669590;Tikehau
Q671261;Tauere
Q686179;Kure Atoll
Q694057;Arno Atoll
Q697802;Ujae Atoll
Q697812;Bikar Atoll
Q697819;Namdrik Atoll
Q697826;Rongerik Atoll
Q700015;Utirik Atoll
Q700051;Mili Atoll
Q700138;Bokak Atoll
Q703587;Toke Atoll
Q703596;Ujelang Atoll
Q703618;Erikub Atoll
Q703627;Namu Atoll
Q741121;Lae Atoll
Q745924;Nukufetau
Q757399;Rangiroa
Q757549;atoll of the Maldives
Q761944;Pinaki
Q866033;Bombay Reef
Q867455;Makin
Q911028;Starbuck Island
Q941936;Farquhar Atoll
Q949513;Baa Atoll
Q953358;Tatakoto
Q956168;Tupai
Q968883;Nukutavake
Q969412;Fakahina
Q980013;Hiti
Q1059267;Tabiteuea
Q1090917;Erica Reef
Q1122663;Ducie Island
Q1135240;Tetiaroa
Q1136170;Cosmoledo
Q1166015;Maupihaa
Q1236765;Nakanshi
Q1255016;Fangatau
Q1256953;Takume
Q33155331;Ulithi Atoll
Q55564837;Q55564837
Q55564999;Q55564999
Q55565000;Q55565000
Q55565001;Q55565001
Q55565002;Q55565002
Q55565697;Q55565697
Q59334234;North Reef
Q59343244;South Reef
Q64399663;Atolls d’Entrecasteaux
Q64399664;Atoll d’Ouvéa et Beautemps-Beaupré
Q82071777;Q82071777
Q82080367;Q82080367
Q1284345;Haraiki
Q1325019;Elato
Q1340719;Manuae
Q1346999;Fakarava
Q1357927;Pearl and Hermes Atoll
Q1369630;Sorol
Q1420078;Budi Budi Atoll
Q1440742;Navatu Islands
Q1457339;Providence Atoll
Q1469615;Hikueru
Q1471237;Puka-Puka
Q1518436;Каянгел
Q1531438;Tematangi
Q1569116;Piagailoe
Q1606236;Kaukura
Q1629997;Katiu
Q1631412;Toau
Q1636470;Hereheretue
Q1651519;Nihiru
Q1670474;Takaroa
Q1722302;Taiaro
Q1736995;Kauehi
Q1753453;Manihi
Q1767201;Morane
Q1801630;Ламолиор
Q1811103;Manuhangi
Q1811458;Vairaatea
Q1811472;Vahitahi
Q1811479;Napuka
Q1814565;Tikei
Q1814571;Nukutepipi
Q1859984;Reao
Q1884707;Q1884707
Q1890425;Haddhunmathi Atoll
Q1893801;Kolhumadulu Atholhu
Q1895885;Maria Est
Q1906015;Marutea Nord
Q1936216;Swallow Reef
Q1937584;Minto Reef
Q1939041;Poivre Atoll
Q1950151;Motutunga
Q1977396;Nengonengo
Q1984650;Niau
Q2001296;Thiladhunmathi Atoll
Q2005554;St. François Atoll
Q2031580;Tureia
Q2031599;Tepoto
Q2031608;Rekareka
Q2035579;Vanavana
Q2035608;Raraka
Q2035647;Reitoru
Q2046082;Q2046082
Q2117842;Turneffe islands
Q2207843;Faadhippolhu Atoll
Q2212513;St. Joseph Atoll
Q2281741;De Schelp
Q2300319;Tahanea
Q2300550;Taenga
Q2310064;Saba Bank
Q2608235;Mulaku Atoll
Q2666742;Q2666742
Q2773847;Nalongo and Nupani
Q2869549;Southern Maalhosmadulhu Atoll
Q2869551;Northern Maalhosmadulu Atoll
Q2869553;Huvadhu Atoll
Q2955315;Q2955315
Q3454564;Q3454564
Q3966162;Addu Atholh
Q5139900;Cocos Lagoon
Q5265227;Felidhu Atoll
Q6344047;Kaben
Q6842037;Middleton Reef
Q10742295;Sabina Shoal
Q10871651;Thitu Island and Reefs
Q10878982;Union banks
Q12766396;Q12766396
Q13402431;Southern Nilandhe Atoll
Q13402679;Kolhumadulhu Atoll
Q14942518;Howland and Baker islands
Q18663251;Loai-ta Bank and Reefs
Q19646448;Tizard Bank
Q20190833;Q20190833
Q21891953;Clarke Reef
Q23006055;Pukapuka Atoll
Q24573434;Faraulep Atoll
Q25183813;Merapi
Q27577603;Q27577603
Q31892920;Atoll de Providence
Q31914186;Bens Place
Q31928801;Atoll Marutea
Q31928827;Atoll Tupai
Q31955305;Midway Atoll
