entity;label
Q115179;Libněves
Q169183;Q169183
Q227144;Zpupná Lhota
Q339238;Q339238
Q339313;Černá Říčka
Q365223;Adolfov
Q392178;Šmelcovna
Q482143;Q482143
Q659861;Q659861
Q967927;Q967927
Q1284650;Znojmo-Hradiště
Q1392705;Q1392705
Q1398182;Podhůří
Q1419580;Jelení
Q1422545;Javoří Pila
Q1473338;Fukov
Q1490647;Gabrielina Huť
Q1501045;Q1501045
Q1502301;Gruň
Q1558335;Q1558335
Q1566704;Habartice
Q1632618;Hrádeček
Q1635377;Q1635377
Q1636224;Hukovice
Q1640750;Hynčice pod Sušinou
Q1676639;Nové Zvolání
Q1734314;Q1734314
Q1782626;Mohelnice
Q1916652;Medlice
Q1926401;Mezihorská (Jindřichovice)
Q1977912;Neratov v Orlických horách
Q2003249;Q2003249
Q2178482;Q2178482
Q2428381;Strahov
Q3501763;Černý Kříž
Q4023621;Zadov
Q8311082;Kněžské Dvory
Q8311131;Nemanice (České Budějovice)
Q8311207;Q8311207
Q8311512;Havlíčkova kolonie
Q8311524;Pražské sídliště
Q8311538;Máj
Q8311553;Vltava
Q8311563;U Pekárenské
Q8557121;Hrachovy Hory
Q9263390;Q9263390
Q9294424;Q9294424
Q9346388;Strachovičky
Q9396987;Špindlerova bouda
Q10296571;Žáry
Q10400960;Šimška
Q10422709;Q10422709
Q10565884;Jenerálka
Q10815940;Divišova čtvrť
Q10815948;Q10815948
Q10817091;Q10817091
Q10817407;Pšovka
Q10856913;Xaverov (Prague)
Q10857084;Q10857084
Q10857313;Q10857313
Q10861582;Zvičina (Třebihošť)
Q10861704;Záběhlice
Q11066530;Bedřichov
Q11081269;Zátiší
Q11082304;Q11082304
Q11158808;Q11158808
Q11171031;Čenkov
Q11172079;Černá Hora
Q11174728;Q11174728
Q11175895;Červená Hospoda
Q11176275;Q11176275
Q11179175;Q11179175
Q11228781;Q11228781
Q11292580;Q11292580
Q11356505;Q11356505
Q11360420;Budov
Q11694625;Q11694625
Q11706394;Bzenec-Přívoz
Q11707034;Břve
Q11710099;Q11710099
Q11725049;Q11725049
Q11726332;Choltice
Q11726470;Q11726470
Q11727381;Chořelice
Q11738782;Kersko
Q11770745;Martinova bouda
Q11773752;Q11773752
Q11774133;Dalskabáty
Q11774503;Debrné (Trutnov)
Q11774853;Q11774853
Q11793336;Q11793336
Q11815872;Dolní Hluboká
Q11831232;Q11831232
Q11835167;Rokliny
Q11879224;Q11879224
Q11945009;Vyhnánov
Q12003588;Q12003588
Q12003631;Větrov
Q12016544;Chaloupky (Babice)
Q12019611;Heřmanice u Rouchovan
Q12019706;Q12019706
Q12019842;Hnidousy
Q12020033;Holé Vrchy
Q12020218;Q12020218
Q12020539;Hracholusky
Q12020885;Hudeč
Q12021283;Hřívová
Q12021298;Q12021298
Q12024379;Q12024379
Q12024667;Ječmeniště
Q12024701;Q12024701
Q12024711;Q12024711
Q12026915;Josefov (Křtinské údolí)
Q12028979;Kateřinky
Q12029282;Kladruby
Q12029582;Q12029582
Q12029989;Komárovské Chaloupky
Q12030218;Q12030218
Q12031854;Q12031854
Q12031924;Kunov
Q12032181;Q12032181
Q12032304;Křovice (Hobšovice)
Q12033637;Lipňany u Skryjí
Q12033694;Q12033694
Q12034583;Lázně svaté Markéty
Q12035515;Q12035515
Q12036316;Q12036316
Q12037405;Q12037405
Q12038263;Q12038263
Q12038316;Mlazice
Q12038352;Mlýnek
Q12038648;Q12038648
Q12041311;Q12041311
Q12041383;Q12041383
Q12041396;Q12041396
Q12042607;Q12042607
Q12043374;Q12043374
Q12043520;Pajzov
Q12043733;Q12043733
Q12044558;Peklo
Q12044580;Pelhřimov
Q12044627;Perknov
Q12046415;Porostliny
Q12046549;Q12046549
Q12047038;Q12047038
Q12047895;Přeborovice (Čejetice)
Q12047899;Q12047899
Q12049861;Q12049861
Q12049873;Q12049873
Q12050067;Q12050067
Q12050493;Q12050493
Q12050512;Q12050512
Q12050619;Q12050619
Q12054368;Skalička
Q12054485;Skochovice
Q12054519;Skryje nad Jihlavou
Q12055512;Sovolusky (Chuderov)
Q12055762;Spáleniště
Q12056169;Stará Pošta (Kovalovice)
Q12057083;Stříbrná Lhota
Q12057158;Q12057158
Q12057433;Svatý Tomáš
Q12058046;Q12058046
Q12058771;Teslíny
Q12060009;Tušovičky
Q12346644;Dubová
Q12856921;Trnová
Q12981949;Rýchory
Q13407045;Třebotovice
Q14541828;Q14541828
Q14566623;Q14566623
Q14789424;Q14789424
Q14806198;Q14806198
Q14806487;Q14806487
Q14970444;Léštnice
Q15089322;Q15089322
Q15116160;Q15116160
Q15119027;Q15119027
Q15124153;Q15124153
Q15132757;Q15132757
Q15534364;Q15534364
Q15618234;Q15618234
Q15618268;Q15618268
Q15618270;Q15618270
Q15618271;Q15618271
Q15618277;Podobora
Q15627066;Q15627066
Q15680028;Q15680028
Q15906190;Rejta
Q16515924;Q16515924
Q16862684;Keřkov
Q16862685;Hesov
Q16862686;Dvorek
Q16957271;Q16957271
Q17166275;Q17166275
Q17300517;Lhota (Lužany)
Q17317381;Horní Město
Q17317384;Q17317384
Q17317387;Q17317387
Q17317389;Q17317389
Q17317392;Q17317392
Q17317393;V rovinách
Q17434603;Q17434603
Q17455139;Q17455139
Q17467204;Q17467204
Q17467217;Q17467217
Q17467250;Q17467250
Q17467255;Vysoký kámen
Q17467258;Q17467258
Q17467271;Q17467271
Q17517365;Q17517365
Q17541656;Q17541656
Q18042799;Q18042799
Q18114486;České Křídlovice
Q18718616;Q18718616
Q18746084;Kodetka
Q18746154;Q18746154
Q18915505;Nový Les
Q18915578;Q18915578
Q18915821;Q18915821
Q19275665;Boušín
Q19305543;Krahulov (Nučice)
Q19601740;Antonínov
Q19602143;Q19602143
Q19602315;Královský vršek
Q19602439;Q19602439
Q19602646;Q19602646
Q19660701;Krupínské paseky
Q19660712;Q19660712
Q19800599;Q19800599
Q19941750;Q19941750
Q20057431;Q20057431
Q20057841;Q20057841
Q20755704;Q20755704
Q20799444;Q20799444
Q21029000;Pohledští Dvořáci
Q21150650;Q21150650
Q21490304;Q21490304
Q21874785;Q21874785
Q21899405;Janštejn
Q22332636;Q22332636
Q22333003;Q22333003
Q22583327;Q22583327
Q22670134;Q22670134
Q22670170;Q22670170
Q22978044;Q22978044
Q23015237;Rohy
Q23809146;Vlčice
Q23813265;Podhradí
Q23824376;Pod Krásnou
Q24877376;Q24877376
Q26197809;Kojkovice
Q26197814;Q26197814
Q26215775;Kolová
Q26215795;Mozolov
Q26807279;Dolní Černošice
Q27077332;Q27077332
Q27523410;Peklo
Q27555472;Q27555472
Q27555473;Q27555473
Q27644867;Q27644867
Q27645055;Q27645055
Q27645197;Q27645197
Q27645224;Q27645224
Q27645310;Q27645310
Q27645972;Q27645972
Q27654861;Q27654861
Q27654942;Q27654942
Q27914711;Šidloby
Q27914712;Svatý Petr
Q28867181;Q28867181
Q28937324;Q28937324
Q28974166;Q28974166
Q29056746;Benzinov
Q29515128;Q29515128
Q29563240;Q29563240
Q33076690;Bahna (Letovice)
Q33106182;Q33106182
Q35800917;Louka
Q36558471;Q36558471
Q38043205;Rozsíčky
Q40644509;Q40644509
Q40645583;Kněžičky (Jablonné v Podještědí)
Q40645941;Q40645941
Q40646935;Q40646935
Q40652508;Q40652508
Q40652655;Q40652655
Q40660143;Q40660143
Q40661105;Q40661105
Q40661422;Q40661422
Q40661667;Q40661667
Q41089082;Q41089082
Q41089278;Q41089278
Q41089441;Q41089441
Q41089861;Q41089861
Q41089947;Q41089947
Q41791803;Q41791803
Q41791809;Q41791809
Q41791821;Q41791821
Q41791825;Q41791825
Q41791911;Lukovsko
Q41791922;Malý Liběchov
Q41791929;Q41791929
Q41791939;Q41791939
Q41791942;Q41791942
Q41791958;Q41791958
Q41791969;Q41791969
Q41792025;Q41792025
Q41792042;Prostřední Libchavy
Q41792052;Q41792052
Q41792072;Q41792072
Q41792095;Rudeč
Q41792099;Q41792099
Q41792104;Q41792104
Q41792114;Q41792114
Q41792160;Havírna
Q41792165;Q41792165
Q41792194;Q41792194
Q41792213;Q41792213
Q41792230;Malý Hubenov
Q41792233;Q41792233
Q41792246;Q41792246
Q41792291;Q41792291
Q41793184;Q41793184
Q41793208;Q41793208
Q41793263;Q41793263
Q41805843;Q41805843
Q41805852;Q41805852
Q41805877;Q41805877
Q41805884;Q41805884
Q41805890;Q41805890
Q41805897;Q41805897
Q41805900;Q41805900
Q41805908;Raťkov
Q41805912;Q41805912
Q41805917;Q41805917
Q41806782;Q41806782
Q41806790;Q41806790
Q41857111;Dolní Mokropsy
Q41857681;Q41857681
Q41858046;Q41858046
Q41858328;Q41858328
Q41858858;Q41858858
Q41859204;Q41859204
Q41859297;Svinov (Pavlov)
Q41859530;Q41859530
Q41859931;Q41859931
Q41860686;Ostrov (Zápy)
Q41861210;Q41861210
Q41861537;Q41861537
Q42337382;Pastvisko
Q42403593;Q42403593
Q42403815;Nohavice
Q42586612;Q42586612
Q45404210;Q45404210
Q50399358;Q50399358
Q53672707;Q53672707
Q55474694;Q55474694
Q55708883;Kurovodice
Q55828719;Q55828719
Q55973679;Q55973679
Q55978823;Q55978823
Q55978901;Q55978901
Q56010377;Q56010377
Q56010406;Q56010406
Q58003120;Jakubský obvod
Q58003147;Haštalský obvod
Q58003169;Q58003169
Q59564869;Svaryšov
Q59564973;Janovka
Q60184782;Q60184782
Q60371025;Q60371025
Q60584984;Blata
Q60585382;Hořejší Chalupy
Q61314467;Q61314467
Q61746486;Vranín
Q61746586;Dvorce
Q61897202;Q61897202
Q62015504;Q62015504
Q62273802;Q62273802
Q63155155;Q63155155
Q63793147;Q63793147
Q63793218;Q63793218
Q63793266;Q63793266
Q64833414;Q64833414
Q67207132;Q67207132
Q67285930;Q67285930
Q67519598;Drnholec nad Lubinou
Q67591443;Q67591443
Q70431697;Q70431697
Q75695934;Q75695934
Q76431048;Q76431048
Q78071322;Q78071322
Q80781349;Q80781349
Q80781412;Q80781412
Q81300439;Q81300439
Q81604478;Q81604478
Q81829535;Q81829535
Q81968955;Q81968955
Q83526181;Q83526181
Q84399069;Q84399069
Q84499826;Q84499826
Q84544844;Q84544844
Q84550162;Q84550162
Q84770342;Q84770342
Q84770349;Q84770349
Q85219702;Q85219702
Q85615517;Q85615517
