entity;label
Q206588;Q206588
Q216622;Tarim Basin
Q306950;Eastern Upper Lusatia
Q383131;Canning Basin
Q567318;Thuringian Basin
Q688715;Vienna Basin
Q693284;Q693284
Q730295;Minusinsk Hollow
Q846489;Sokolov Basin
Q966943;Great Basin
Q973705;Q973705
Q1043899;Carnarvon Basin
Q1156656;Dzungar basin
Q1158111;Daly Basin
Q1275470;Murraba Basin
Q1297226;Q1297226
Q1396039;Třeboňská pánev
Q1430722;Tin Bider crater
Q1468587;Q1468587
Q1554824;Gunnedah Basin
Q1661714;North Bohemian Basin
Q1692075;Q1692075
Q1781206;Q1781206
Q2135871;Recôncavo
Q2502909;Utah Valley
Q2869612;Plateau Centrale
Q3034303;Suho Polje
Q4300261;Valley of the Gods
Q4708502;Alaska Basin
Q5034263;Canyons of the Escalante
Q5095498;Chicago Basin
Q5270939;Diamond Valley
Q5379396;Enonselkä Basin
Q7100153;Orca Basin
Q7457314;Seven Lakes Basin
Q7571655;Sovi Basin
Q7878106;Uinta Basin
Q8048740;Yankee Boy Basin
Q9212409;Q9212409
Q10855994;Q10855994
Q10939513;Q10939513
Q11356056;Q11356056
Q11411134;Furukawa-kokufu Basin
Q11465412;Q11465412
Q11542762;Q11542762
Q11556043;Q11556043
Q11580478;Hakuba Basin
Q11593179;Fukushima Basin
Q11596089;Hadano Basin
Q11744362;Ostrava Basin
Q11792453;Q11792453
Q12537156;Бухтарминская впадина
Q15118954;Q15118954
Q15269226;Punchbowl, Korea
Q17444454;Q17444454
Q17989638;Ono Basin
Q19600603;Bromide Basin
Q20064815;Bohemian Cretaceous Basin
Q20932399;Mala Rupa
Q21551666;Salina del Rollico
Q21582363;Q21582363
Q21583416;Q21583416
Q21583418;Q21583418
Q21583941;Q21583941
Q21585285;Q21585285
Q21586101;Q21586101
Q21586396;Q21586396
Q21589491;Al Juwayf
Q21590629;Q21590629
Q21591739;Q21591739
Q21591752;Q21591752
Q21591863;Q21591863
Q21591867;Q21591867
Q21591884;Q21591884
Q21591952;Khabrat at At Tanf
Q21591965;Q21591965
Q21592284;Q21592284
Q21592320;Q21592320
Q21592321;Q21592321
Q21592443;Q21592443
Q21592463;Q21592463
Q21592733;Q21592733
Q21592776;Q21592776
Q21592786;Q21592786
Q21592817;Q21592817
Q21593149;Q21593149
Q21593406;Q21593406
Q21593496;Nuqrat ad Damm
Q21593503;Q21593503
Q21593514;Q21593514
Q21593541;Q21593541
Q21593557;Q21593557
Q21594052;Q21594052
Q21594156;Q21594156
Q21594511;Q21594511
Q21594602;Q21594602
Q21595178;Al Huwwah
Q21595182;Q21595182
Q21595497;Q21595497
Q21595923;Q21595923
Q21595950;Q21595950
Q21595951;Q21595951
Q21595952;Al Jawbah
Q21595956;Q21595956
Q21595957;Q21595957
Q21595960;Q21595960
Q21595961;Q21595961
Q21596192;Q21596192
Q21596280;Q21596280
Q21596456;Q21596456
Q21596510;Q21596510
Q21596962;Q21596962
Q21596964;Q21596964
Q21596970;Q21596970
Q21597160;Q21597160
Q21597265;Q21597265
Q21597271;Q21597271
Q21597291;Q21597291
Q21597366;Q21597366
Q21597378;Q21597378
Q21597383;Q21597383
Q21597401;Q21597401
Q21597408;Q21597408
Q21597468;Q21597468
Q21715346;Q21715346
Q21715620;Struganica
Q21716565;Q21716565
Q21717874;Markove Doline
Q21717907;Kasapske Doline
Q21717922;Nova Uvala
Q21717934;Q21717934
Q21717982;Q21717982
Q21718011;Q21718011
Q21718012;Q21718012
Q21718056;Q21718056
Q21718541;Q21718541
Q21718544;Margulov Do
Q21718548;Klekov Do
Q21718863;Q21718863
Q21719573;Kupalica
Q21719578;Q21719578
Q21719647;Q21719647
Q21719650;Q21719650
Q21719652;Q21719652
Q21719676;Q21719676
Q21719684;Q21719684
Q21719708;Q21719708
Q21719814;Q21719814
Q21719821;Q21719821
Q21719825;Koritine
Q21719833;Q21719833
Q21719835;Q21719835
Q21719855;Q21719855
Q21719866;Q21719866
Q21719887;Q21719887
Q21719894;Q21719894
Q21719906;Q21719906
Q21719909;Q21719909
Q21719910;Q21719910
Q21719911;Mala Korita
Q21719913;Q21719913
Q21719914;Svilaje
Q21719917;Q21719917
Q21719960;Privil
Q21720026;Q21720026
Q21720093;Q21720093
Q21720109;Q21720109
Q21720189;Q21720189
Q21720235;Q21720235
Q21720309;Q21720309
Q21720337;Kajtezov Pod
Q21720692;Q21720692
Q21720715;Q21720715
Q21720792;Q21720792
Q21720821;Q21720821
Q21720953;Jazov Do
Q21720956;Q21720956
Q21720959;Q21720959
Q21720966;Q21720966
Q21720967;Q21720967
Q21720989;Q21720989
Q21721015;Q21721015
Q21721631;Q21721631
Q21721723;Tavanjak
Q21721843;Q21721843
Q21721962;Q21721962
Q21722012;Babina Dolina
Q21722069;Q21722069
Q21722207;Q21722207
Q21722224;Q21722224
Q21722226;Q21722226
Q21722243;Q21722243
Q21722475;Q21722475
Q21722529;Q21722529
Q21722580;Q21722580
Q21724655;Q21724655
Q21724662;Antina Jama
Q21725908;Q21725908
Q21725935;Q21725935
Q21725955;Q21725955
Q21726169;Q21726169
Q21726173;Q21726173
Q21726174;Paripova Dolina
Q21726217;Q21726217
Q21726236;Q21726236
Q21726245;Q21726245
Q21726247;Mujbinica
Q21726310;Q21726310
Q21726324;Q21726324
Q21726338;Q21726338
Q21726438;Q21726438
Q21727999;Q21727999
Q21728000;Q21728000
Q21728027;Vrliut Gomila
Q21728035;Q21728035
Q21728061;Q21728061
Q21728077;Drenove Doline
Q21728083;Crni Vali
Q21728162;Q21728162
Q21728201;Ljeljen Korito
Q21728233;Q21728233
Q21728234;Vrazijev Do
Q21728270;Q21728270
Q21728272;Velika Vala
Q21728273;Bugarski Pod
Q21728329;Kitni Doci
Q21728335;Ozrevac
Q21728432;Q21728432
Q21728440;Q21728440
Q21728446;Q21728446
Q21728466;Q21728466
Q21728500;Q21728500
Q21728519;Q21728519
Q21728566;Q21728566
Q21728578;Q21728578
Q21728639;Rud Do
Q21728640;Q21728640
Q21728660;Q21728660
