entity;label
Q642172;Badacsony
Q2892841;Bear Butte
Q2928964;Q2928964
Q3526050;Thunder Butte
Q5178508;Courthouse Butte
Q5431375;Fajada Butte
Q7083059;Olallie Butte
Q7155534;Pavant Butte
Q8536581;Newton Butte
Q14126231;Hegyestű
Q15431045;Q15431045
Q16534556;Q16534556
Q16740196;East Gros Ventre Butte
Q16984685;Boars Tusk
Q18150588;Fairmont Butte
Q18157934;Negro Butte
Q18378029;Muffin Butte
Q18394750;Tongue Butte
Q19865866;Condon Butte
Q19866063;Cookie Jar Butte
Q19866300;Bears Ears
Q19963730;Kallmünzerfeld am Steinberg bei Rinnenbrunn
Q20708688;Hosta Butte
Q20712516;Tittie Butte
Q21196349;Bare Butte
Q22060724;Rocking Chair Butte
Q22072820;Lolah Butte
Q22072829;Lolo Butte
Q22073367;Steele Butte
Q22361418;Butte Qarqakallaguluk
Q22997284;Q22997284
Q24061498;Castle Rock Butte
Q24061517;Grindstone Butte
Q24061613;Turtle Butte
Q24061636;Black Horse Butte
Q24061663;Deers Ears Butte
Q24061707;Hump Butte
Q25204317;White Butte
Q26203270;Q26203270
Q28456746;Dellenbaugh Butte
Q28912631;Dawson Butte
Q28912667;Bitsihuitsos Butte
Q37029747;Dog Butte
Q49017258;Butte Saint Paul
Q49031526;Gilson Butte
Q49033812;Gregory Butte
Q49033814;Gregory Butte
Q57574137;Q57574137
Q58459842;Serpentinithügel St. Nikolaus bei Floß
Q58459890;Sandheidehügel WNW von Obernzenn
Q58459977;Langer Köchel im Murnauer Moos
Q58462591;Burgberg Falkenstein
