entity;label
Q217043;Olduvai Gorge
Q668632;Schöllenen Gorge
Q682568;Rofla Gorge
Q997967;Buchberger Leite
Q1366229;Ihlara
Q1538251;Gorges du Tarn
Q1616742;Schnittlinger Loch
Q1895173;Margaretenschlucht
Q2012934;Q2012934
Q2227535;Saulochschlucht Deggendorf
Q2407088;Teufelskirche von Grünsberg
Q3110971;Q3110971
Q3110978;Q3110978
Q3111008;Montmaurin
Q6133415;Xiling Gorge
Q7994654;White Drin Canyon
Q8024823;Windy Canyon
Q14916370;Sil Canyon
Q15051456;Arak gorges
Q15843336;Rumpelbachschlucht
Q17592592;Felsentäle
Q19787598;Wolfsschlucht nördlich von Wallersberg
Q20771096;Bitterbachschlucht
Q24248552;Q24248552
Q57980543;Q57980543
Q57981951;Ammerschlucht an der Scheibum
Q58424611;Ringelbachschlucht NW von Gössenheim
Q58459827;Schlucht Salamandertal in Eckersdorf
Q58459969;Schlucht Arzloch NW von Mistelbach
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt
Q58462432;Weißach-Schichten an der Ammer bei der Echelsbacher Brücke
Q59160617;Schlucht NW von Taxöldern
Q59194271;Ehem. Steinbruch NE von Gumpersdorf
Q59194320;Steinbruch Wup ESE von Rettenberg
Q59265971;Schlucht SE von Schlierberg
Q59286841;Schlucht des Hermannsbachs NW von Mistelbach
Q59286843;Höll-Graben SE von Mitterbach
Q59286845;Teufelsgraben S von Hummenberg
Q59286847;Kesselbach-Schlucht mit Wasserfall
Q59286849;Schöne Gumpen des Pfanngrabens
Q59286851;Torgraben SW von Grassau
Q59286853;Schlucht Teufelsgesperr NW von Hirschling
Q59286855;Oligozän des Pötschgrabens ENE von Reit im Winkl
Q59286857;Klausenbachklamm SW von Blindau
Q59286864;Einmündung der Wolfsteiner Ohe in die Ilz bei Fürsteneck
Q59286866;Felsenschlucht der Kaisersäle an der Kampenwand
Q59286867;Schlucht Teufelsbackofen NW von Fiegenstall
Q59286869;Stelzenbachschlucht S vonr Burg Rothenfels
Q59286870;Kesselbachtobel S von Scheffau
Q59286871;Neuwiesgraben-Schlucht S von Dittlofsroda
Q59286874;Buntsandsteinschlucht Dörflinger Ruh SSW von Bad Brückenau
Q59286875;Schlucht NNE von Sendelbach
Q60054188;Teufelslochgraben N von Oberwaiz
