entity;label
Q498643;Catena Brigitte
Q498720;Catena Littrow
Q623467;Catena Abulfeda
Q623477;Catena Artamonov
Q640676;Goldstone Catena
Q3189798;Gomul Catena
Q3199567;Kraken Catena
Q3480620;Set Catena
Q3622076;Arecibo Catena
Q3783806;Haystack Catena
Q4801854;Artynia Catena
Q5379032;Enki Catena
Q7831655;Tractus Catena
Q9185196;Catena Davy
Q9185199;Catena Dziewulski
Q9185200;Catena Gregory
Q9185214;Catena Kurchatov
Q9185220;Catena Lucretius (RNII)
Q9185222;Catena Mendeleev
Q9185225;Catena Michelson (GIRD)
Q9185227;Catena Sylvester
Q9185230;Catena Taruntius
Q9185234;Catena Yuri
Q11689448;Catena Pierre
Q11689450;Catena Humboldt
Q11689451;Catena Leuschner (GDL)
Q11689453;Catena Sumner
Q11689455;Catena Timocharis
Q17564405;Nanshe Catena
Q17688692;Khnum Catena
Q17688734;Terah Catena
Q21850380;Gerber Catena
Q21850443;Samhain Catena
Q24059824;Catena Krafft
Q24064394;Acheron Catena
Q24064395;Alba Catena
Q24064396;Baphyras Catena
Q24064397;Ceraunius Catena
Q24064398;Coprates Catena
Q24064399;Cyane Catena
Q24064400;Elysium Catena
Q24064401;Ganges Catena
Q24064402;Hyblaeus Catena
Q24064403;Labeatis Catenae
Q24064404;Ophir Catenae
Q24064405;Phlegethon Catena
Q24064406;Stygis Catena
Q24064407;Tithoniae Catenae
Q25400498;Tintagil Catena
Q25907716;Eikin Catena
Q25907717;Fimbulthul Catena
Q25907718;Geirvimul Catena
Q25907719;Gipul Catena
Q25907720;Gunntro Catena
Q25907721;Sid Catena
Q25907722;Svol Catena
Q25907723;Baltay Catena
Q25907724;Junina Catenae
Q25907737;Pongal Catena
Q25907739;Aufidus Catena
Q25907740;Pactolus Catena
Q25907741;Pantagias Catenae
Q25907743;Koykamou Catena
Q25907744;Mouru Catena
Q25907745;Onokoro Catenae
Q25907746;Puchou Catenae
Q25907747;Thebeksan Catena
Q25907748;Wungaran Catenae
Q25907749;Albalonga Catena
Q25907750;Robigalia Catena
Q26884613;Q26884613
