entity;label
Q25632;Jabal al Gharbi District
Q25931;Butnan District
Q26000;Al Wahat District
Q26023;Marj District
Q26124;Derna District
Q26132;Sabha District
Q26153;Zawiya District
Q26161;Nuqat al Khams
Q26417;Sirte District
Q27659;Nalut District
Q32837;Tripoli District
Q32841;Jabal al Akhdar
Q32845;Misrata District
Q33507;Benghazi district
Q48200;Kufra District
Q48232;Wadi al Shatii District
Q48233;Wadi al Hayaa District
Q48236;Ghat District
Q48239;Murzuq District
Q48247;Jufra
Q185227;Ghadames District
Q209753;Tajura wa Arba‘ District
Q209772;Hizam al Akhdar District
Q209778;Murqub
Q329060;Jafara
Q965665;Yafran District
Q996865;Gharyan District
Q1366672;Quba District
Q1366684;Bani Walid District
Q1474013;Mizda
Q1544730;Sabratha wa Sorman District
Q1544750;Tarhuna wa Msalata District
Q1640928;Ajdabiya District
