entity;label
Q266444;Ocnița District
Q286646;Cimișlia District
Q611656;Rîșcani District
Q684183;Cantemir District
Q753795;Briceni District
Q769224;Anenii Noi District
Q854443;Ungheni District
Q860716;Glodeni District
Q865594;Drochia District
Q865639;Șoldănești District
Q865726;Florești District
Q865884;Taraclia District
Q878266;Nisporeni District
Q878278;Dubăsari District
Q878290;Edineț District
Q878297;Hîncești District
Q878308;Strășeni District
Q878317;Rezina District
Q878375;Fălești District
Q1061128;Dondușeni District
Q1796621;Sîngerei District
Q1826662;Leova District
Q1980044;Basarabeasca District
Q2112462;Orhei District
Q2128862;Criuleni District
Q2128868;Călărași District
Q2128869;Căușeni District
Q2128882;Cahul District
Q2128964;Ialoveni District
Q2129022;Soroca District
Q2129025;Telenești District
Q2129061;Ștefan Vodă District
