entity;label
Q33159617;Xankandi Sahari
Q33159643;Yevlakh City
Q33159678;Şuşa Rayonu
Q33159897;State of Chuuk
Q33159923;State of Pohnpei
Q33225335;Bungoma
Q33225395;Kep
Q33225410;Muḩāfaz̧at al ‘Aqabah
Q33225417;Nandi
Q33225425;Osh City
Q33225433;Provincia de San José de Ocoa
Q33836775;Parish of Saint Andrew
Q34625512;Tristan da Cunha
Q1435;Zagreb
Q1953;Yerevan
Q2841;Bogotá
Q3795;Kalimantan
Q3859;Kigali
Q5823;Ceuta
Q9361;Bishkek
Q11198;Federation of Bosnia and Herzegovina
Q18826;Autonomous Region of Bougainville
Q19660;Bucharest
Q23430;Ulaanbaatar
Q41066;North Chungcheong Province
Q131083;Nakhchivan Autonomous Republic
Q164819;Gagauzia
Q194483;Brčko District
Q200130;Azad Kashmir
Q200697;Gilgit-Baltistan
Q208270;Federally Administered Tribal Areas
Q208668;Rodrigues
Q484245;Karakalpakstan
Q494869;Barlavento Islands
Q498452;North Caribbean Coast Autonomous Region
Q509300;Federal Capital Territory
Q511859;Cargados Carajos
Q579240;Lima Province
Q648767;Transnistria autonomous territorial unit
Q658161;Neutral Municipality
Q661405;Arima
Q676724;Vacoas-Phoenix
Q697840;Ralik Chain
Q697946;Taihoku Prefecture
Q700048;Ratak Chain
Q786957;Point Fortin
Q813337;Beau Bassin-Rose Hill
Q848613;Islamabad Capital Territory
Q919017;Guna Yala
Q934644;Republic of Serbia
Q1002525;Curepipe
Q1050475;Western Area
Q1129783;Ngöbe-Buglé Comarca
Q1141041;Emberá-Wounaan Comarca
Q1150680;Republic of Montenegro
Q1324482;Don Soviet Republic
Q1341194;Quatre Bornes
Q1809806;Vale
Q2079353;Babīte Municipality
Q2268947;Ķekava Municipality
Q2391916;Saint Andrew
Q2499228;Distrito Nacional
Q3044818;Carriacou and Petite Martinique
Q3551781;District of Columbia
Q3685392;comune of Monaco
Q12102038;Донетчина
Q17176229;Chișinău Municipality
Q18088065;Bender Municipality
Q27487286;Q27487286
Q27488197;Q27488197
Q27764437;Cargados Carajos
Q29017181;Bălți Municipality
Q31498852;Saint George
Q31846969;National Capital Region
Q31890709;Ascension
Q33159282;Shaki city
Q33159296;Shusha
Q33159511;Sumqayit City
