entity;label
Q728745;Owen Fracture Zone
Q1737582;Ruschel
Q2553969;Enriquillo–Plantain Garden fault zone
Q3575786;Jan Mayen fracture zone
Q3575789;Q3575789
Q3774301;Mendocino Fracture Zone
Q4775118;Antipodes Fracture Zone
Q4851597;Balleny Fracture Zone
Q4924950;Blanco Fracture Zone
Q5084409;Charlie-Gibbs Fracture Zone
Q5098642;Chile Fracture Zone
Q5134386;Clipperton Fracture Zone
Q5270660;Diamantina Fracture Zone
Q5329883;Easter Fracture Zone
Q5367789;Eltanin Fault System
Q5370436;Emerald Fracture Zone
Q5700983;Heirtzler Fracture Zone
Q5873258;Hjort Fracture Zone
Q6433255;Kosminskaya Fracture Zone
Q6887530;Mocha Fracture Zone
Q7129926;Panama Fracture Zone
Q7460183;Shackleton Fracture Zone
Q7571559;Sovanco Fracture Zone
Q7932765;Vinogradov Fracture Zone
Q15223730;Hero Fracture Zone
Q15266888;Pitman Fracture Zone
Q17018361;Septentrional-Oriente fault zone
Q21471020;South Sandwich Fracture Zone
Q23581304;Kane Fracture Zone
Q28231753;Fifteen-Twenty Fracture Zone
Q49000670;Walton fault zone
Q53152076;Nansen Fracture Zone
Q55536132;Oceanographer Fracture Zone
Q55536400;Atlantis Fracture Zone
Q61609015;Murray Fracture Zone
Q65335579;Clarion Fracture Zone
Q73700647;Terror Fracture Zone
Q73701131;Saint-Exupéry Fracture Zone
