entity;label
Q81591;Great Rift Valley
Q643698;Rima Ariadaeus
Q765523;Olympica Fossae
Q971353;Norwegian trench
Q1572781;Oslo Graben
Q1615793;Q1615793
Q2251458;Roer Valley graben
Q3343343;Venlo graben
Q12778509;Q12778509
Q13635205;Q13635205
Q17009262;Makran Trench
Q17153451;Q17153451
Q20614595;Q20614595
Q20614615;Fosa de Jiloca
Q23580553;Sumatra Trench
Q23580616;Mangala Fossa
Q23835296;Beppu–Shimabara graben
Q25393198;Q25393198
Q25619858;Fosa de Daroca
Q59160411;Buchberg-Graben N des Stallauer Weihers
Q67015305;Q67015305
