entity;label
Q26625367;Grottos In Gardens Of Temple Guiting House
Q26637958;Grotto In Cleadon Recreation Park
Q26642368;Grotto To North East Of Park
Q26642419;Grotto At Frieston House
Q26648157;Grotto Approximately 300 Metres West Of Hardwick Hall
Q26649087;Grotto At Sj 7756 0290
Q26650123;Grotto And Rockery Approximately 40 Metres South Of Temple Of Flora
Q26658304;Grotto South Of Clandon Park
Q26667060;Grotto At Mill Bank
Q26671094;Grotto
Q26672647;Grotto At High Elms Country Park
Q26673541;Grotto Approx 30M N Of Lower Lodge To Prior Park
Q26674676;Grotto In Grounds Of The Bath Spa Hotel Approx. 40M To The West
Q26675757;Grotto Below South Terrace At Crowe Hall
Q26675937;Grotto Including Steps And South Boundary Wall At 6 Monk's Walk, Reigate
Q26677743;Grotto And Tunnel In The Gardens At Chilton Priory
Q26778482;Q26778482
Q27081872;Grotto
Q28360779;Grotto in Alexander Park, Tsarskoe Selo
Q28717662;Q28717662
Q29484481;Rotunda or Grotto
Q29496826;Remains of Grotto in Garden of Picton Castle
Q29497805;The Mill Folly Grotto including stone bridge, south of the Afon Llifon
Q29500022;Grotto in Gnoll Estate
Q29503857;Grotto in Wenvoe Castle Park
Q33120991;Blessed Virgin
Q55264733;Camões Grotto
Q59115867;Garden Chamber in Walled Garden of Brereton Hall
Q62512124;Stone Parlour in Grounds of Broxton Old Hall
Q62584607;Grotto in Garden of Churton Lodge
Q64759087;Q64759087
Q65464848;Pink Grotto
Q66493527;Dhokeshwar Caves
Q66814474;Gruta artificial em Ermigeira (época calcolítica)
Q71940036;Q71940036
Q72931239;Q72931239
Q184427;Ajanta Caves
Q197895;Zhongshan Grottoes
Q273834;Longmen Grottoes
Q308805;Yungang Grottoes
Q750102;Kumtura Thousand Buddha Caves
Q751622;Yulin Caves
Q980774;Bezeklik Thousand Buddha Caves
Q1234019;Kizil Caves
Q1266284;Dunsthöhle
Q1319390;Shizhongshan Grottoes
Q1387840;Gongxian Grottoes
Q1547625;Q1547625
Q1548275;Q1548275
Q1650601;Rosh HaNikra grottoes
Q1716800;Xumishan grottoes
Q1739801;Kesselgrotte
Q1954060;Q1954060
Q1964730;South Grotto Temple
Q2515778;Q2515778
Q4150349;Lermontov Grotto
Q6862398;Q6862398
Q10957976;Xiaonanhai Grottoes
Q12144128;Q12144128
Q12244382;Q12244382
Q12244383;Q12244383
Q12244388;Q12244388
Q12244391;Q12244391
