entity;label
Q1055048;Q1055048
Q1440664;highest point of Paris
Q2522361;Q2522361
Q13104720;Q13104720
Q26836936;highest point in Corse-du-Sud
Q26838739;Q26838739
Q26838787;Q26838787
Q26839021;Q26839021
Q26839024;Q26839024
Q26839027;highest point in Val-de-Marne
Q26839032;highest point in Seine-Saint-Denis
Q26842899;Q26842899
Q26842902;Q26842902
Q26842990;Q26842990
Q26842993;Q26842993
Q26843000;Q26843000
Q26844261;Q26844261
Q26846573;Q26846573
Q26860042;Q26860042
Q26868686;Q26868686
Q26875409;Q26875409
Q26876939;Q26876939
Q26882162;Q26882162
Q26885371;Q26885371
Q26885374;Q26885374
Q26885405;highest point in Haute-Loire
Q26885407;Q26885407
Q26885408;Q26885408
Q26885410;Q26885410
Q26887324;Q26887324
Q26896696;Q26896696
Q26897900;Q26897900
Q26897906;Q26897906
Q26898469;Q26898469
Q26898471;Q26898471
Q26898479;Q26898479
Q26898485;Q26898485
Q26898492;Q26898492
Q28110432;Q28110432
Q28745318;Niue Highest Point
Q67375865;Sasso del Diavolo
