entity;label
Q327;Brittany
Q11768;Ancient Egypt
Q11772;Ancient Greece
Q14688;Ingria
Q15878;Normandy
Q25763;Greater Iran
Q26167;Duchy of Schleswig
Q26857;Aetolia
Q32056;Badakhshan
Q38060;Gaul
Q39193;Bohemia
Q39731;Baltic States
Q41741;Thrace
Q42534;Indus Valley Civilization
Q61126;Pocerina
Q62646;Germania
Q62825;maritime republics
Q81011;Upper Silesia
Q83971;Tartary
Q104285;Occitania
Q104520;Pomerania
Q106652;Scottish Highlands
Q122443;Attica
Q126781;Cieszyn Silesia
Q131886;Ciociaria
Q139125;Zabulistan
Q140360;Q140360
Q150108;Western Pomerania
Q159626;Württemberg
Q167672;White Croatia
Q171393;Wallachia
Q173063;Castile
Q174994;Bessarabia
Q180086;Galicia
Q182660;Dobruja
Q183431;Orestis
Q184002;Rumelia
Q185573;Czech lands
Q187570;Boeotia
Q187995;Sarrabus-Gerrei
Q189863;Herzegovina
Q191607;Podolia
Q192273;Karelia
Q193214;Caria
Q207388;Muntenia
Q208629;Oltenia
Q209754;Western Moldavia
Q211371;Greater Poland
Q214662;Budjak
Q215695;Prekmurje
Q249561;Paeonia
Q252268;Sundgau
Q253018;Viking Age Norway
Q255325;Aeolis
Q258227;Outer Manchuria
Q268651;Barnim Plateau
Q269678;Ancient Near East
Q290971;Toxandria
Q316858;Prignitz
Q316883;Teltow
Q319270;Brokmerland
Q322218;East Elbia
Q330782;Ü
Q330785;Ü-Tsang
Q372726;Crusis
Q373189;Bithynia
Q374991;Фезансаге (виконтство)
Q378855;Bottiaea
Q385084;Great Perm
Q388954;Goceano
Q390143;Q390143
Q403130;Kamigata
Q410453;Aethiopia
Q416070;Acarnania
Q450303;Sasna
Q457094;Ambergau
Q472780;Canavese
Q1247667;Lynkestis
Q1280728;Abilene
Q1309492;Syrmia
Q1312454;Pokuttya
Q1316291;Parauaea
Q1317388;Kokang
Q1322562;Vaspurakan
Q1329498;Elimiotis
Q1346328;Eordaea
Q1349292;Q1349292
Q1370013;Codanus sinus
Q1378053;Wa
Q1398212;Rhodanic Republic
Q1408764;Circassia
Q1411476;Kresy
Q1429935;South Arabia
Q1435268;Chaonia
Q1435613;Krajna
Q1439588;Franquemont
Q1475472;Kabulistan
Q1481850;Severia
Q1494560;Q1494560
Q1521458;Imerina
Q1534506;Golaida
Q1537459;Q1537459
Q1540069;Q1540069
Q1541770;Q1541770
Q1564043;Tymphaea
Q1624813;Q1624813
Q1625297;Holwan
Q1632126;Turdetania
Q1645483;Parthia
Q1666007;Lüderitz territory
Q1684110;Repubblica delle Tre Pievi
Q1688937;Q1688937
Q1729457;Western Ukraine
Q1760587;Q1760587
Q1761310;Tauria
Q1791250;Q1791250
Q1793210;Upper Meinigen
Q1800885;Q1800885
Q1801987;Lauenburg and Bütow Land
Q1803487;Suwałki Region
Q1806743;Lasta
Q1818263;Great Russia
Q1821423;Dhundhar
Q1892261;Maragatería
Q1931186;Michelsamt
Q1947581;New Castile
Q1948779;Morvois
Q1953272;Anthemous
Q1964297;Pryazovia
Q1965642;Ligovo
Q1972259;Värend
Q1987711;Amphaxitis
Q2010712;Oberrheingau
Q2027176;Berestia
Q2084400;Q2084400
Q2087911;Slawiya
Q2089144;Achaea Phthiotis
Q2138196;Starkenburg
Q2250619;Trexenta
Q2313689;Barbagia di Seulo
Q2337514;Western Belorussia
Q2347909;East Bengal
Q2352322;Greater Khorasan
Q2353353;Lower Silesia
Q2360881;Moxoene
Q2370577;Ancient Libya
Q2420241;Bisaltia
Q2454671;Troad
Q2478838;Patani
Q2502354;Principality of Goroden
Q2509499;Q2509499
Q2534359;Q2534359
Q2534729;Tournaisis
Q2542709;Crestonia
Q2551267;Al-Yamama
Q2557254;Gugark
Q2563666;Q2563666
Q2565613;Westrich
Q2572110;Anglona
Q2577465;Ichkeria
Q2628446;Misiones Orientales
Q2629006;Langobardia Minor
Q2637650;Phocis
Q2640598;Kabardia
Q2650547;Upper Moldavia
Q2662372;Principality of Minsk
Q2713566;Langobardia Major
Q2723582;Abruzzi e Molise
Q2727505;Ayrarat
Q2748698;Lower Brittany
Q2790451;Achaea
Q2827120;Q2827120
Q2827314;Q2827314
Q6732880;Mahakoshal
Q6947287;Myelat
Q7139774;Parrhasia
Q7169613;Perrhaebia
Q7429971;Scandinavian Scotland
Q7540210;Sliabh gCua
Q7633275;Sudair
Q7666602;Sørenga
Q7800388;Q7800388
Q7899469;Upu
Q8016622;South Manchuria
Q9018746;La Montaña
Q9067840;Isle of Man in the Viking age
Q9079123;Sotuta
Q9352916;Land of Sądecka
Q9362460;Dyjský trojúhelník
Q9368178;Q9368178
Q9391103;Q9391103
Q9391112;Q9391112
Q9391113;Q9391113
Q9391116;Q9391116
Q9391119;Q9391119
Q9391120;Q9391120
Q9391121;Q9391121
Q9391130;Q9391130
Q9391131;Sieradz Land
Q9391140;Q9391140
Q10343838;Tōgoku
Q10436544;Bruttii
Q10685826;Viking Age Sweden
Q10749897;Ancient Hawaii
Q10938936;Q10938936
Q10979109;Deltuva
Q11627437;Saigoku
Q11655841;Kantō
Q11655842;Guandong
Q11783924;Q11783924
Q11838447;Q11838447
Q11904590;Аль-Алками
Q11906176;Q11906176
Q11925162;Halar
Q11931074;Laconia
Q11934734;Q11934734
Q11938381;Q11938381
Q11945494;Ribagorça
Q11954417;Vegueria de Montblanc
Q12034187;Q12034187
Q12170085;Черниговщина
Q12185205;Titteri
Q12273397;Q12273397
Q12277326;Q12277326
Q12280572;Q12280572
Q12282685;Q12282685
Q12291079;Q12291079
Q12315884;Hedebo
Q12379155;Q12379155
Q12405889;Daroma
Q12649101;Argolis
Q12723979;Cheve
Q12744704;Bjelice
Q12770910;Q12770910
Q12836408;Азербайджан
Q12878769;Q12878769
Q12885806;Phliasia
Q12899460;Corinthia
Q12907178;Q12907178
Q13031861;Q13031861
Q14203845;Заволочье
Q14472556;Pelasgiotis
Q14944091;Uplands, Norway
Q14947899;Wild West
Q15111398;Q15111398
Q15410773;Q15410773
Q15842463;Riesgau
Q16114261;Međimurje
Q16416059;Арасбар
Q16427214;Самоуправляемая Исландия
Q16432221;Altishahr
Q16611107;Q16611107
Q16828348;Craven
Q16896834;Merope
Q16977649;Q16977649
Q17021768;Q17021768
Q17043605;Persian Iraq
Q17301265;Deitania
Q18084832;Fürstenberger Werder
Q18357319;Upper Reka
Q18366588;Moldavia
Q18458061;Hatti
Q19658174;Самбия
Q19903213;Akkad
Q20107710;Q20107710
Q20725201;Laconia
Q20963720;Alentejo
Q21084376;Tamasna
Q21095201;Nesaea
Q21097836;Banadir
Q21235447;Baronia
Q21296192;Q21296192
Q474314;German Bohemia
Q476033;Low Countries
Q489817;Land Wursten
Q501768;Barbary Coast
Q512486;Q512486
Q513381;Lithuania Minor
Q523001;Land Hadeln
Q543065;Bardengau
Q556107;Q556107
Q559336;Ottoman Hungary
Q565751;Epirus
Q570659;Genevois
Q574098;Nepal Mandala
Q584624;Arsania
Q590497;Angria
Q597510;Drenica
Q598153;Kingdom of Hordaland
Q598803;Khandesh
Q599110;Raška
Q599939;Nurra
Q605714;Donets Basin
Q609309;Mauges
