entity;label
Q853364;South China Karst
Q1670250;Jenolan Caves
Q1765187;Akiyoshi Dai
Q3111639;Q3111639
Q5770633;Ciudad Encantada de Tamajón
Q8033529;Woodville Karst Plain
Q12358978;Q12358978
Q12359250;Q12359250
Q12359823;Q12359823
Q12362125;Q12362125
Q12362364;Q12362364
Q12363254;Q12363254
Q12363275;Q12363275
Q12364135;Q12364135
Q12366255;Q12366255
Q12366258;Q12366258
Q12366527;Q12366527
Q12366661;Q12366661
Q12366732;Q12366732
Q12366781;Q12366781
Q12366910;Q12366910
Q12367479;Q12367479
Q12367658;Q12367658
Q12367792;Q12367792
Q12367824;Q12367824
Q12367832;Q12367832
Q12367869;Q12367869
Q12367914;Q12367914
Q12367975;Q12367975
Q12368029;Q12368029
Q12368856;Q12368856
Q12369016;Q12369016
Q12369132;Q12369132
Q12369301;Q12369301
Q12370562;Q12370562
Q12370612;Q12370612
Q12371273;Q12371273
Q12371789;Q12371789
Q12371833;Q12371833
Q12371869;Q12371869
Q12371916;Q12371916
Q12371942;Q12371942
Q12373065;Q12373065
Q12374545;Q12374545
Q12374601;Q12374601
Q12374613;Q12374613
Q12374749;Q12374749
Q12376308;Q12376308
Q12377348;Q12377348
Q12377363;Q12377363
Q12377709;Q12377709
Q12378308;Q12378308
Q12378376;Q12378376
Q12378489;Q12378489
Q12378644;Q12378644
Q14329730;Q14329730
Q16408628;Q16408628
Q16408640;Q16408640
Q16409042;Q16409042
Q16409283;Q16409283
Q16409346;Q16409346
Q16409408;Q16409408
Q16409414;Q16409414
Q16409450;Q16409450
Q16409459;Q16409459
Q16409609;Q16409609
Q16409812;Q16409812
Q16409923;Q16409923
Q16410073;Q16410073
Q16411051;Q16411051
Q16411199;Q16411199
Q16411373;Kostivere Karst Area
Q16411643;Q16411643
Q16411682;Q16411682
Q16411713;Q16411713
Q16411975;Q16411975
Q16412104;Q16412104
Q16412256;Q16412256
Q16412641;Q16412641
Q16412707;Q16412707
Q16412888;Q16412888
Q16413428;Q16413428
Q18624614;Q18624614
Q18625653;Q18625653
Q18626392;Q18626392
Q18626522;Q18626522
Q18626686;Q18626686
Q20932195;Q20932195
Q20932352;Q20932352
Q20932406;Q20932406
Q20932719;Q20932719
Q20932721;Bara
Q20932722;Q20932722
Q20932723;Q20932723
Q20932724;Q20932724
Q20932737;Q20932737
Q20932738;Q20932738
Q20932742;Q20932742
Q20932743;Q20932743
Q20932754;Q20932754
Q20932756;Q20932756
Q20932795;Q20932795
Q20932813;Q20932813
Q20932869;Q20932869
Q20932872;Skala
Q20932873;Q20932873
Q20933073;Q20933073
Q20934147;Q20934147
Q20934926;Q20934926
Q20935792;Q20935792
Q20936119;Q20936119
Q20936807;Q20936807
Q20936835;Q20936835
Q20936843;Q20936843
Q20937060;Q20937060
Q20937069;Q20937069
Q20937072;Q20937072
Q20937076;Q20937076
Q20937200;Q20937200
Q20937211;Q20937211
Q20937213;Q20937213
Q20937215;Q20937215
Q20937218;Q20937218
Q20937227;Q20937227
Q20937228;Q20937228
Q20937229;Q20937229
Q20937242;Q20937242
Q20937264;Q20937264
Q20937270;Q20937270
Q20937271;Q20937271
Q20937360;Q20937360
Q20937387;Q20937387
Q20937390;Q20937390
Q20937408;Q20937408
Q20938180;Q20938180
Q20938198;Q20938198
Q20938275;Q20938275
Q20938351;Q20938351
Q20938404;Q20938404
Q20941361;Q20941361
Q20942931;Q20942931
Q20942957;Q20942957
Q20942958;Q20942958
Q20942960;Q20942960
Q20942963;Q20942963
Q20942969;Q20942969
Q20942971;Q20942971
Q20942984;Q20942984
Q20942990;Q20942990
Q20943013;Q20943013
Q20943097;Q20943097
Q20943101;Q20943101
Q20943436;Q20943436
Q20943437;Q20943437
Q20943438;Q20943438
Q20943442;Q20943442
Q20943458;Q20943458
Q20943468;Q20943468
Q20943472;Q20943472
Q20943473;Q20943473
Q20943486;Q20943486
Q20943488;Q20943488
Q20943540;Q20943540
Q20943541;Q20943541
Q20943542;Q20943542
Q20943558;Q20943558
Q20943590;Q20943590
Q20943598;Q20943598
Q20949206;Q20949206
Q20949209;Q20949209
Q20949239;Q20949239
Q20949240;Q20949240
Q20949478;Q20949478
Q21924193;Mole Creek karst
Q22032578;Sangkulirang – Mangkalihat Karts: Prehistoric rock art area
Q27925678;Dragoman Marsh Karst Complex
Q48911227;Shibing Karst
Q55423516;Gurio Lamanna
Q63622911;Q63622911
Q65966781;Guilin Karst - Putao Fenling Karst Section
Q65966782;Guilin Karst - Lijiang Fengcong Karst Section
Q65966784;Huanjiang Karst
Q65966790;Taishi Que Gates, Zhongue Temple
