entity;label
Q135274;Hukok
Q135484;Sha'ar HaAmakim
Q165623;Kadarim
Q166857;Gan Shmuel
Q166865;Ein Shemer
Q174275;Shoval
Q202898;Zikim
Q249491;Kissufim
Q257555;Nirim
Q261686;Kramim
Q269858;Hahotrim
Q285260;Afik
Q351620;Adamit
Q383280;Afikim
Q405280;Beit Kama
Q471949;Amir
Q476835;Givat Brenner
Q510685;Hamadia
Q536383;Lohamei HaGeta'ot
Q545232;Dafna
Q546343;Heftziba
Q550025;Tirat Zvi
Q567912;Ayelet HaShahar
Q586687;Yagur
Q591269;Kfar Ruppin
Q595509;Mishmar HaSharon
Q598607;Beit HaEmek
Q634253;Yotvata
Q647488;Nahshonim
Q690804;Mashabei Sadeh
Q731831;Sha'ar HaGolan
Q745981;Revivim
Q748670;Ruhama
Q830798;Beit Guvrin
Q924984;Ramat David
Q932073;Ramat HaKovesh
Q934250;Regavim
Q937128;Beit Keshet
Q941089;Gvat
Q942371;Netiv HaLamed-Heh
Q943058;Nir David
Q951336;Megiddo, Israel
Q955960;Gesher, Israel
Q960557;Sha'alvim
Q975999;Gezer
Q985533;Merom Golan
Q990653;Bror Hayil
Q991372;Dan
Q1000893;HaZore'a
Q1000900;Yifat
Q1000908;Geva
Q1000987;Ein Carmel
Q1000997;Dalia
Q1001622;Kfar Szold
Q1011470;Neot Semadar
Q1011482;Dvir
Q1011492;Lahav
Q1011502;Bar'am
Q1011505;Netzer Sereni
Q1011518;Revadim
Q1011531;Gal'ed
Q1011560;Nir Oz
Q1012741;Nahsholim
Q1018879;Hatzor
Q1018892;Urim
Q1018902;Hatzerim
Q1019154;Negba
Q1019478;Kfar Blum
Q1022506;Degania Bet
Q1026531;Sde Boker
Q1026806;Kerem Shalom
Q1026818;Mishmar HaNegev
Q1026824;Or HaNer
Q1026840;Na'an
Q1254405;Ramat HaShofet
Q1325255;Sdot Yam
Q1339887;Ein Harod
Q1339896;Ein Gev
Q1350054;Erez
Q1399050;Mesilot
Q1399102;Reshafim
Q1399108;Shluhot
Q1487392;Kfar Giladi
Q1525069;Ginosar
Q1678182;Yad Mordechai
Q1740782;Beth-El
Q1759981;Palmachim
Q1777470;Migdal Oz
Q1853103;Ashdot Ya'akov Ihud
Q1882183;Ma'agan Michael
Q1918793;Meirav
Q1938721;Mishmar HaEmek
Q2095906;Ein HaNatziv
Q2115397;Kfar HaNassi
Q2122843;Ma'ale Gilboa
Q2130036;Ramat Rachel
Q2296107;Kvutzat Kinneret
Q2339223;Kabri
Q2369693;Nahal Oz
Q2371396;Degania Alef
Q2392212;Kfar Menahem
Q2410542;Mahanayim
Q2418411;Kfar Glikson
Q2467005;Be'eri
Q2468110;Gal On
Q2469471;Ein Gedi
Q2497285;Givat HaShlosha
Q2564675;Elifaz
Q2573500;Beit Zera
Q2575555;Yad Hana
Q2606770;Ketura
Q2614813;Be'erot Yitzhak
Q2667322;Ramat Yohanan
Q2670809;Alonim
Q2776367;Lotan
Q2776798;Lahavot HaBashan
Q2776845;Ginegar
Q2776880;Misgav Am
Q2776930;Givat Haim
Q2776946;Sarid
Q2776997;Yas'ur
Q2777017;Snir
Q2777198;Beit HaArava
Q2777293;Ziv'on
Q2777328;Kfar HaMaccabi
Q2777329;Hanaton
Q2777361;Parod
Q2777371;Kvutzat Shiller
Q2777378;Gonen
Q2777452;Ma'anit
Q2777455;Kfar HaHoresh
Q2777524;Ein Harod
Q2777748;Yiftah
Q2777759;Almog
Q2777781;Hulata
Q2777785;Sde Nehemia
Q2777789;Kalya
Q2777935;Karmia
Q2839359;Alumot
Q2888533;Gesher HaZiv
Q2888546;Masada
Q2888564;Neve Eitan
Q2888639;Ma'ayan Tzvi
Q2888686;Lavi
Q2888729;Ein HaMifratz
Q2888752;Ashdot Ya'akov Meuhad
Q2888757;Matzuva
Q2888762;Shomrat
Q2888787;Sa'ar
Q2888816;Gilgal
Q2888861;Gevim
Q2888878;Shomria
Q2888904;Beit Oren
Q2888967;Dorot
Q2889024;Shamir
Q2889195;HaSolelim
Q2889225;HaOn
Q2889233;Ein Harod
Q2889247;Mishmarot
Q2889257;Yahel
Q2889411;Evron
Q2889414;Lotem
Q2889421;Sa'ad
Q2889431;Neve Harif
Q2889466;Samar
Q2889475;Niran
Q2889488;Gvar'am
Q2889500;Ein Tzurim
Q2889513;Nir Eliyahu
Q2889536;Mizra
Q2889548;Usha
Q2889599;Magen
Q2889745;Gadot
Q2889772;Tzova
Q2889781;Holit
Q2889794;HaOgen
Q2889806;Ga'ash
Q2889811;Ravid
Q2889835;Ma'ayan Baruch
Q2889847;Beit Rimon
Q2889861;Yehiam
Q2889873;Sde Eliyahu
Q2889893;Givat Haim
Q2889908;Geshur
Q2889939;El Rom
Q2889950;Neve Yam
Q2889953;Horshim
Q2889963;Lehavot Haviva
Q2889969;Ein HaHoresh
Q2890019;Tlalim
Q2890030;Neve Ur
Q2890174;Eshbal
Q2890180;Kfar Aza
Q2890190;Mefalsim
Q2890202;Harel
Q2890206;Ortal
Q2890213;Ein HaShofet
Q2890219;Tuval
Q2890256;Manara
Q2890264;Nir Yitzhak
Q2890277;Barkai
Q2890314;Sufa
Q2890353;Beit Nir
Q2890374;Pelekh
Q2890392;Hafetz Haim
Q2890402;Hanita
Q2890412;Ma'abarot
Q2890510;Metzer
Q2890527;Eilon
Q2890547;Kfar Masaryk
Q2890586;Gat
Q2890599;HaGoshrim
Q2890609;HaMa'apil
Q2890636;Metzar
Q2890654;Kfar Haruv
Q2890663;Givat Oz
Q2890692;Bahan
Q2890725;Gvulot
Q2890799;Gazit
