entity;label
Q251425;Burgkirche
Q253713;Herzog-Albrecht-Gedächtniskirche
Q1380063;Самарская кирха
Q1709057;Saint Paul's Lutheran Church (Vladivostok)
Q3917930;Костёл Рождества Пресвятой Девы Марии
Q4500965;Храм Святого Бруно (Черняховск)
Q8303087;Evangelical church (Dobříš)
Q8311702;Q8311702
Q8413692;Q8413692
Q8844992;Q8844992
Q9170730;Q9170730
Q9186233;Q9186233
Q9191636;Q9191636
Q9191644;Q9191644
Q9256962;Q9256962
Q9256964;Q9256964
Q9281275;Q9281275
Q9295864;Q9295864
Q9295866;Q9295866
Q9296036;Q9296036
Q9296038;Q9296038
Q9296039;Q9296039
Q9296041;Q9296041
Q9296043;Q9296043
Q9296044;Q9296044
Q9296045;Q9296045
Q9296047;Q9296047
Q9296412;Q9296412
Q9340549;Q9340549
Q9340550;Q9340550
Q9340553;Q9340553
Q9340554;Q9340554
Q9340555;Q9340555
Q9340556;Q9340556
Q9340557;Q9340557
Q9340558;Q9340558
Q9340559;Q9340559
Q9340560;Q9340560
Q9340561;Q9340561
Q9340562;Q9340562
Q9340563;Q9340563
Q9340564;Q9340564
Q9340565;Q9340565
Q9367143;Q9367143
Q9378104;Q9378104
Q9378435;Q9378435
Q9378445;Q9378445
Q9378447;Q9378447
Q9378448;Q9378448
Q9378450;Q9378450
Q9378451;Q9378451
Q9378452;Q9378452
Q9378453;Q9378453
Q9378454;Q9378454
Q9378457;Q9378457
Q9378458;Q9378458
Q9378459;Q9378459
Q9378460;Q9378460
Q9378461;Q9378461
Q9378462;Q9378462
Q9378464;Q9378464
Q9378465;Q9378465
Q9378466;Q9378466
Q9378467;Q9378467
Q9378468;Q9378468
Q9378477;Q9378477
Q9388851;Q9388851
Q9388852;Q9388852
Q9388853;Q9388853
Q9388854;Q9388854
Q9388856;Q9388856
Q9388858;Q9388858
Q9388859;Q9388859
Q9388860;Q9388860
Q9388861;Q9388861
Q9388864;Q9388864
Q9388865;Q9388865
Q9388866;Q9388866
Q9388868;Q9388868
Q9388869;Q9388869
Q9388870;Q9388870
Q9388871;Q9388871
Q9388872;Q9388872
Q9388873;Q9388873
Q9388874;Q9388874
Q9388875;Q9388875
Q9388876;Q9388876
Q9388878;Q9388878
Q9388879;Q9388879
Q9388880;Q9388880
Q9388881;Q9388881
Q9388882;Q9388882
Q9388883;Q9388883
Q9388884;Q9388884
Q9388885;Q9388885
Q9388886;Q9388886
Q9388887;Q9388887
Q9388888;Q9388888
Q9388889;Q9388889
Q9388890;Q9388890
Q9388891;Q9388891
Q9388892;Q9388892
Q9388893;Q9388893
Q9388894;Q9388894
Q9388895;Q9388895
Q9388896;Q9388896
Q9388897;Q9388897
Q9388898;Q9388898
Q9388899;Q9388899
Q9388900;Q9388900
Q9388901;Q9388901
Q9388902;Q9388902
Q9388903;Q9388903
Q9388904;Q9388904
Q9388906;Q9388906
Q9388907;Q9388907
Q9388908;Q9388908
Q9388909;Q9388909
Q9388910;Q9388910
Q9388911;Q9388911
Q9388912;Q9388912
Q9388913;Q9388913
Q9388914;Q9388914
Q9388916;Q9388916
Q9388917;Q9388917
Q9388918;Q9388918
Q9388919;Q9388919
Q9388920;Q9388920
Q9388921;Q9388921
Q9388922;Q9388922
Q9388923;Q9388923
Q9388924;Q9388924
Q9388925;Q9388925
Q9388926;Q9388926
Q9388927;Q9388927
Q9388928;Q9388928
Q9388929;Q9388929
Q9388930;Q9388930
Q9388931;Q9388931
Q9388932;Q9388932
Q9388934;Q9388934
Q9388935;Q9388935
Q9388936;Q9388936
Q9388937;Q9388937
Q9388938;Q9388938
Q9388939;Q9388939
Q9388940;Q9388940
Q9388941;Q9388941
Q9388942;Q9388942
Q9388943;Q9388943
Q9388944;Q9388944
Q9388945;Q9388945
Q9388946;Q9388946
Q9388947;Q9388947
Q9388948;Q9388948
Q9388949;Q9388949
Q9388950;Q9388950
Q9388951;Q9388951
Q9388952;Q9388952
Q9388953;Q9388953
Q9388954;Q9388954
Q9388955;Q9388955
Q9388956;Q9388956
Q9388957;Q9388957
Q9388958;Q9388958
Q9388959;Q9388959
Q9388960;Q9388960
Q9388961;Seventh-Day Adventist church in Zakopane
Q9388962;Q9388962
Q9388963;Q9388963
Q9388965;Q9388965
Q9388966;Q9388966
Q9388967;Q9388967
Q9388968;Q9388968
Q9388969;Q9388969
Q9388970;Q9388970
Q9388971;Q9388971
Q9388972;Q9388972
Q9388973;Q9388973
Q9388974;Q9388974
Q9388975;Q9388975
Q9388976;Q9388976
Q9388977;Q9388977
Q9388978;Q9388978
Q9388979;Q9388979
Q9388980;Q9388980
Q9388981;Q9388981
Q9388982;Q9388982
Q9388983;Q9388983
Q9388984;Q9388984
Q9388985;Q9388985
Q9388987;Baptist church in Bielsk Podlaski
Q9388988;Q9388988
Q9388989;Q9388989
Q9388990;Q9388990
Q9388991;Q9388991
Q9388992;Q9388992
Q9388993;Q9388993
Q9388994;Q9388994
Q9388996;Q9388996
Q9388997;Q9388997
Q9388998;Q9388998
Q9388999;Q9388999
Q9389000;Q9389000
Q9389001;Q9389001
Q9389002;Q9389002
Q9389003;Q9389003
Q9389004;Q9389004
Q9389005;Q9389005
Q9389006;Baptist church in Hajnówka
