entity;label
Q826132;Lajat
Q863737;Harrat Kishb
Q1000285;Dimmuborgir
Q1137348;Hallmundarhraun
Q4945147;Boring Lava Field
Q5984134;Ibkilwit Lava Bed
Q6502661;Lavic Lake volcanic field
Q7502370;Black Butte Crater Lava Field
Q17079539;Kanehekili Fluctus
Q27012261;Q27012261
Q27728740;Western Lava Fields
Q27728832;Lava Field
Q49298329;A. G. Aiken Lava Bed
Q49298338;Blackfoot Lava Field
Q49298343;Brockman Flat Lava Beds
Q49298347;Cinder Cone Lava Beds
Q49298353;Fantastic Lava Beds
Q49298364;Ibkikwit Lava Bed
Q49298439;Lambert Rocks
Q49298488;Lava Hills
Q49298506;Saddle Butte Lava Field
Q49298525;The Lava Beds
