entity;label
Q4937;Matachí
Q8972;San Cristóbal Ecatepec
Q26590;Ciudad Juárez
Q30610;Ake
Q40194;Mazatlán
Q53543;Ocosingo
Q61306;Silao Guanajuato
Q94758;Apatzingán
Q117485;Rayón
Q129915;La Brecha
Q131429;Oaxaca de Juárez
Q139242;Zacatecas
Q139255;Zacatepec de Hidalgo
Q147955;Ciudad Cuauhtémoc
Q160750;Pachuca
Q173121;Santiago de Querétaro
Q173270;Veracruz
Q179841;Ciudad Acuña
Q200252;Morelia
Q202831;Zihuatanejo
Q204245;Cuernavaca
Q207429;Tuxtla Gutiérrez
Q211760;Culiacán
Q214215;La Paz
Q229727;Zumpango del Río
Q273014;Tampico
Q322033;Ocotlán
Q325468;Kabah
Q331661;Ciudad Victoria
Q344513;Actopan
Q376541;Sahuaripa
Q387107;Chicxulub, Yucatán
Q388963;Carichí
Q427088;Agua Blanca de Iturbide
Q434225;Altamira
Q474420;Laguna del Rey
Q494231;Coquimatlán
Q510556;San Rafael
Q513016;Tepeapulco
Q517463;Sisal
Q522152;Santa Bárbara, Chihuahua
Q522315;Ixtapangajoya
Q524894;San Cristóbal de las Casas
Q528875;Ixtepec, Oaxaca
Q535078;Acambay
Q538031;Frontera Comalapa
Q558469;San Dionisio del Mar
Q576636;Huamantla
Q580649;Celaya
Q584751;San Buenaventura, Chihuahua
Q590052;Topolobampo, Sinaloa
Q612504;Nicolás Flores
Q613003;Kanasin
Q616757;Valle de Ignacio Allende
Q629479;Santo Domingo Tehuantepec
Q629805;Ocotlán, Jalisco
Q651396;Ostuacán
Q657637;Progreso
Q681340;Ciudad Obregon
Q689987;Tlaxcala de Xicoténcatl
Q736594;Ciudad Mante
Q738303;Reynosa
Q752460;Ahome, Los Mochis
Q753891;San Miguel de Allende
Q771214;Hidalgo del Parral
Q776233;Camarón de Tejeda
Q783395;Tepexpan, State of Mexico
Q847764;Tequila
Q853258;Puerto Vallarta
Q863021;Namiquipa
Q863131;Bachíniva
Q888954;Boca del Río, Veracruz
Q903792;Tlacotalpan
Q921976;Dzemul
Q932614;Tepich
Q939959;Cuautla
Q944292;Motul
Q947689;Acámbaro
Q952675;Pisté, Yucatán
Q957947;Maní, Yucatán
Q958809;Coahuayana
Q968058;Acatlán
Q971699;Tepatitlán de Morelos
Q985365;Ciudad Madero
Q986436;Misantla
Q989988;Playa del Carmen
Q990007;Monclova
Q992866;Cuatro Ciénegas
Q993904;Orizaba
Q1003595;Punta Allen
Q1005759;Huajuapan de León
Q1010503;Poza Rica
Q1020762;Izamal
Q1020789;Creel
Q1024929;Caborca, Sonora, México
Q1027590;Telchac Puerto
Q1033117;Xcambó
Q1061542;Chamula
Q1104455;Coatepec
Q1135979;Cosalá
Q1141799;Texcoco de Mora
Q1142987;Cucá
Q1144317;Ejutla de Crespo
Q1168902;Altamirano
Q1173637;San Andrés Larráinzar
Q1324181;El Fuerte
Q1419214;Sayil
Q1436709;San Francisco de Conchos
Q1437107;San Andrés
Q1456280;Atotonilco de Tula
Q1465498;Metztitlán
Q1470224;Fronteras
Q1552698;Guamúchil
Q1552895;Badiraguato
Q1573453;Palenque
Q1633919;Huejutla de Reyes
Q1636457;Tequisquiapan
Q1640231;Santa Rosalía
Q1656580;San Felipe Tejalápam
Q1658489;Todos los Santos
Q1658592;Nazareno Etla
Q1675800;Tecolutla
Q1709140;Bacalar, Quintana Roo
Q1709669;San Juan de los Lagos
Q1710837;Juchitán de Zaragoza
Q1752991;Puerto Escondido
Q1754440;San Miguel Peras
Q1754447;Coatecas Altas
Q1770500;Komchen
Q1775128;Gómez Palacio
Q1782406;Apodaca
Q1798559;Tonalá
Q1801321;Salamanca
Q1815099;San Juan del Río
Q1815414;Yaxuna
Q1835597;San Salvador Atenco
Q1856408;Piedras Negras
Q1858643;El Rosario
Q1858936;Nuevo Casas Grandes
Q1861513;Parras de la Fuente
Q1880859;Tekax
Q1892048;Mapimí
Q1917547;Celestún
Q1921059;Pedro Meoqui
Q1949370;Peto
Q1953046;Manuel Benavides
Q1960354;Ciudad Hidalgo, Chiapas
Q1961680;Comitán
Q1962159;Tantoyuc
Q1962248;Ciudad Hidalgo
Q1962265;San Martín Texmelucan
Q1962285;Tlajomulco de Zuñiga
Q1962295;Lagos de Moreno
Q1962484;San Luis de la Paz
Q1962619;Las Margaritas
Q1962715;Puebla
Q1962777;Papantla
Q1963359;San Juan Bautista Tuxtepec
Q1971351;Ojinaga
Q1972455;Santa Ana
Q1978638;Palaú
Q1997045;Acteal
Q1997268;Guachochi
Q1997424;Muna
Q1997462;Ticul
Q1997497;Calpulalpan
Q1997509;Uruachi
Q1997768;Coyame
Q1998700;Atitalaquía
Q1999195;Santa Eulalia
Q1999532;Nadadores
Q1999618;Viesca
Q1999633;Uayma
Q1999963;Tixkokob
Q2000074;Ocampo
Q2000092;Ciudad Altamirano
Q2000119;Maxcanú
Q2000131;Sierra Mojada
Q2000148;Ciudad Tula
Q2001148;Nativitas
Q2002665;Tula de Allende
Q2005039;Cintalapa
Q2007922;La Concordia
Q2010445;Sabinas
Q2014880;Nueva Rosita
Q2071648;Perote
Q2080118;Tapijulapa
Q2085574;Chiapa de Corzo
Q2093673;Abalá
Q2105593;Zumpango de Ocampo
Q2117481;Puerto Morelos
Q2199354;Oxkutzcab
Q2270558;Tapalpa
Q2277969;Ciudad Serdán
Q2282743;Jalpan de Serra
Q2312679;Calvillo
Q2346154;Misantla
Q2377929;Sásabe (Sonora)
Q2411306;Cotija
Q2427917;La Gloria, Veracruz
Q2447269;Ciudad Madera
Q2447301;Chavinda
Q2447536;Jala
Q2447563;Cerritos, San Luis Potosí
Q2447707;Magdalena Tequisistlán
Q2447764;Matías Romero
Q2447804;Chínipas de Almada
Q2448200;Soledad Atzompa
Q2448212;Ezequiel Montes
Q2448224;Doctor Mora
Q2448272;Allende
Q2448820;San Gabriel Chilac
Q2449120;Xico
Q2449192;Puente Nacional
Q2449332;San Miguel Panixtlahuaca
Q2449386;San Pedro coahuila mx
Q2450325;Ascensión
Q2450385;Juan Aldama
Q2450443;Almoloya
Q2455181;Temósachic
Q2466603;San Francisco Javier de Satevó
Q2475217;Huasca de Ocampo
Q2477628;Zinacantán
Q2483481;Asunción Nochixtlán
Q2498642;Santa Cruz Xoxocotlán
Q2523090;Suchiapa
Q2528602;Santa Rosalía de Camargo
Q2529720;Elota
Q2571410;Pijijiapan
Q2595443;Totolapa
Q2604977;Tenango del Aire
Q2607140;San Andrés Duraznal
Q2640187;Calnali
Q2651188;Saucillo
Q2651295;Urique
Q2651304;San José Iturbide
Q2651632;Valparaíso
Q2651815;Actopan
Q2651855;Ajalpan
Q2651955;San Diego de la Unión
Q2652055;San Andrés Tuxtla
Q2652096;Tlaxiaco
Q2652196;Tetela del Volcán
Q2652273;El Arenal
Q2652340;Cusihuiriachi
Q2652465;Yanga Municipality
Q2652472;Fortín de las Flores
Q2686100;Izúcar de Matamoros
Q2718942;Berriozábal
Q2835905;San Francisco Manzanilla
Q2837228;Xucú
Q2837278;Metepec
Q2838482;Chochoh
Q2842741;Mahi-Cab
Q2844093;Amozoc de Mota
Q2876105;Anikabil
Q2876743;Q2876743
Q2877380;Miramar, Tamaulipas
Q2878559;Cadereyta de Montes
Q2882673;Q2882673
Q2885203;Q2885203
Q2886792;Xcumpich
Q2887461;Kimbilá
Q2888425;Q2888425
