entity;label
Q2066;Essen
Q9005;Brussels metropolitan area
Q13580;Metro Manila
Q29742;Mamminasata
Q37735;Gran Ciudad del Este
Q47005;Gran Asunción
Q94298;Malmö metropolitan area
Q94395;Gothenburg metropolitan area
Q123202;Lehigh Valley
Q169259;Baia Mare metropolitan area
Q170362;Greater Concepción
Q179295;Dallas–Fort Worth metroplex
Q199266;Bryan–College Station metropolitan area
Q213205;San Francisco Bay Area
Q221283;Cape Coast
Q249489;Barcelona metropolitan area
Q297853;Øresund Region
Q319233;Gush Dan
Q328121;Greater Tokyo Area
Q406358;Koforidua
Q427543;Stockholm metropolitan area
Q519554;Toledo metropolitan area
Q578452;Calgary Metropolitan Region
Q598561;Альфос-де-Леон
Q665894;Greater Mexico City
Q668850;National Capital Region
Q690149;Zurich metropolitan area
Q712937;Taipei–Keelung metropolitan area
Q726143;Tema
Q769573;Belfast metropolitan area
Q833754;Copenhagen metropolitan area
Q841680;Fukuoka–Kitakyushu
Q889862;Greater Dublin Area
Q919912;Turin metropolitan area
Q945451;Q945451
Q945854;Providence metropolitan area
Q959356;Madrid Metropolitan Area
Q966718;Elizabethtown metropolitan area
Q1015978;Jabodetabek
Q1024624;Greater Toronto Area
Q1028418;Amsterdam metropolitan area
Q1050826;Greater Los Angeles Area
Q1075343;Metro Cebu
Q1114947;Seattle metropolitan area
Q1133254;Edmonton Metropolitan Region
Q1146039;Milwaukee metropolitan area
Q1149484;Keihanshin
Q1165705;Târgu Mureș metropolitan area
Q1177775;Miskolc metropolitan area
Q1215731;Naples metropolitan area
Q1377209;Chūkyō metropolitan area
Q1594777;Little Rock–North Little Rock–Conway metropolitan area
Q1925718;Metro Detroit
Q1925880;Thessaloniki metropolitan area
Q1925894;Delaware Valley
Q1968039;Greater Orlando
Q2022168;Takoradi
Q2211154;Łódź metropolitan area
Q2357258;Guadalajara metropolitan area
Q2422792;London commuter belt
Q2624848;Las Vegas Valley
Q2652025;Fargo–Moorhead
Q2756234;Iași metropolitan area
Q2828298;Q2828298
Q2828372;Ho Chi Minh City metropolitan area
