entity;label
Q1085;Prague
Q14960;Brno
Q16506;České Budějovice
Q20492;Bechyně
Q29704;Hodkovice nad Mohelkou
Q63855;Roudnice nad Labem
Q104587;Kyjov
Q105198;Veselí nad Moravou
Q143664;Dvůr Králové nad Labem
Q146351;Liberec
Q146363;Most
Q147816;Harrachov
Q149097;Jirkov
Q149103;Rumburk
Q149105;Tanvald
Q149108;Jablunkov
Q149229;Mimoň
Q149320;Veverská Bítýška
Q149592;Desná
Q155975;Kutná Hora
Q158239;Kroměříž
Q158245;Písek
Q158247;Jablonné v Podještědí
Q158257;Hlučín
Q158263;Polná
Q158268;Klášterec nad Ohří
Q158272;Žamberk
Q158274;Kadaň
Q158275;Varnsdorf
Q158280;Dobřichovice
Q158420;Červený Kostelec
Q158423;Buštěhrad
Q158429;Velká Bíteš
Q158432;Stochov
Q158435;Vrbno pod Pradědem
Q158456;Libčice nad Vltavou
Q158584;Duchcov
Q161060;Přibyslav
Q161513;Tišnov
Q163881;Ivanovice na Hané
Q164527;Vysoké nad Jizerou
Q166255;Horšovský Týn
Q168234;Zbiroh
Q168900;Zbýšov
Q169133;Zdice
Q175197;Kunovice
Q176289;Klimkovice
Q183111;Jihlava
Q188062;Kynšperk nad Ohří
Q188082;Český Krumlov
Q191097;Tachov
Q193719;Cheb
Q193721;Tábor
Q193724;Slavkov u Brna
Q205616;Koryčany
Q207222;Zlaté Hory
Q207251;Zliv
Q214956;Znojmo
Q225572;Lučany nad Nisou
Q227189;Zruč nad Sázavou
Q227614;Zubří
Q239597;Neratovice
Q240986;Veltrusy
Q246634;Zábřeh
Q246837;Zákupy
Q247006;Zásmuky
Q264897;Hostouň
Q270704;Třebíč
Q280020;Černošín
Q280873;Teplice nad Metují
Q282028;Seč
Q291237;Klecany
Q303478;Kravaře
Q304189;Strážnice
Q319731;Abertamy
Q320939;Mělník
Q320950;Trutnov
Q321778;Hodonín
Q327749;Železná Ruda
Q327764;Prachatice
Q330055;Újezd u Brna
Q330259;Úpice
Q330302;Úsov
Q330409;Ústí nad Orlicí
Q330493;Úterý
Q330653;Úvaly
Q330717;Úštěk
Q331306;Šenov
Q338616;Čelákovice
Q339102;Černovice
Q339112;Černošice
Q339862;Červená Řečice
Q340680;Česká Kamenice
Q341053;Česká Skalice
Q341056;Česká Třebová
Q341197;České Velenice
Q341223;Český Brod
Q341243;Český Dub
Q341777;Čáslav
Q368796;Jilemnice
Q368888;Sedlec-Prčice
Q368929;Jindřichův Hradec
Q371321;Šlapanice
Q373804;Telč
Q373951;Třebenice
Q375651;Valašské Meziříčí
Q378120;Žižkov
Q383850;Litovel
Q384403;Litoměřice
Q386026;Orlová
Q386988;Říčany
Q387840;Chlumec
Q388235;Libáň
Q390177;Petřvald
Q392166;Šluknov
Q392285;Špindlerův Mlýn
Q392429;Šternberk
Q392466;Štramberk
Q392544;Štíty
Q392624;Štětí
Q392692;Šumperk
Q392779;Švihov
Q393326;Žacléř
Q393378;Žandov
Q393426;Žatec
Q393439;Ždánice
Q393457;Ždírec nad Doubravou
Q393474;Žebrák
Q393519;Železnice
Q393592;Železný Brod
Q393955;Židlochovice
Q394108;Žirovnice
Q394241;Žlutice
Q394278;Žulová
Q394453;Žďár nad Sázavou
Q430661;Chotěboř
Q430864;Nymburk
Q431111;Nejdek
Q431739;Přebuz
Q470369;Kolín
Q502993;Uherské Hradiště
Q508591;Police nad Metují
Q509207;Volary
Q512631;Bochov
Q513417;Vsetín
Q518360;Bílina
Q523469;Mariánské Lázně
Q523489;Terezín
Q528324;Krásné Údolí
Q528536;Andělská Hora
Q541071;Hulín
Q542224;Hejnice
Q546673;Osek
Q573642;Kelč
Q579957;Dubňany
Q580155;Strážov
Q583910;Aš
Q587388;Mohelnice
Q590362;Planá nad Lužnicí
Q591823;Náchod
Q593629;Krupka
Q597011;Slušovice
Q601254;Dubí
Q602976;Klatovy
Q612646;Veselí nad Lužnicí
Q615138;Soběslav
Q616317;Bezdružice
Q630358;Sedlčany
Q637024;Bystré
Q638306;Hranice
Q639814;Plánice
Q641158;Horažďovice
Q646294;Rožmberk nad Vltavou
Q646364;Rájec-Jestřebí
Q647921;Březová
Q648418;Březová nad Svitavou
Q652710;Letovice
Q654019;Příbor
Q656603;Jičín
Q662194;Velké Bílovice
Q663186;Stárkov
Q664895;Uherský Brod
Q668190;Hradec nad Moravicí
Q668247;Pyšely
Q668695;Frenštát pod Radhoštěm
Q677551;Svoboda nad Úpou
Q682361;Uničov
Q682544;Mikulov
Q683165;Poděbrady
Q691467;Hanušovice
Q703158;Velké Meziříčí
Q703182;Kašperské Hory
Q704033;Hrádek nad Nisou
Q722732;Litomyšl
Q727383;Sokolov
Q729166;Vysoké Veselí
Q740292;Horní Cerekev
Q740863;Česká Lípa
Q740915;Fulnek
Q742108;Sedlice
Q742932;Solnice
Q745031;Lom
Q746111;Pacov
Q748211;Old Town
Q750224;Strakonice
Q753289;Malá Strana
Q755698;Svitavy
Q756581;Františkovy Lázně
Q761439;Moravský Krumlov
Q763045;Miroslav
Q765670;Borohrádek
Q766465;Milovice
Q773312;Třeboň
Q775651;Plesná
Q775776;Bystřice
Q776426;Bučovice
Q781530;Votice
Q782147;Valtice
Q786762;Hroznětín
Q791533;Bavorov
Q804395;Blatná
Q804489;Bakov nad Jizerou
Q815541;Týn nad Vltavou
Q817141;Benešov nad Ploučnicí
Q818540;Benátky nad Jizerou
Q827041;Beroun
Q830418;Jáchymov
Q841296;Příbram
Q842929;Nepomuk
Q849439;Kopřivnice
Q850676;Blansko
Q851419;Turnov
Q854597;Bečov nad Teplou
Q855757;Bělčice
Q885482;Blovice
Q887281;Blšany
Q890949;Bohumín
Q891004;Bohušovice nad Ohří
Q891190;Bojkovice
Q893268;Bor
Q894102;Borovany
Q894440;Boskovice
Q896422;Boží Dar
Q898464;Brandýs nad Orlicí
Q898468;Brandýs nad Labem-Stará Boleslav
Q915051;Modřice
