entity;label
Q47954;Labrador Current
Q53842;Kuroshio Current
Q55828;Antarctic Circumpolar Current
Q58440;Oyashio Current
Q58708;Mozambique Current
Q58736;Madagascar Current
Q59676;Benguela Current
Q130905;Gulf Stream
Q142955;East Iceland Current
Q143019;Cape Horn Current
Q143183;Transpolar Drift Stream
Q143660;East Greenland Current
Q143663;North Pacific Current
Q143888;Humboldt Current
Q143917;East Australian Current
Q143920;Falkland Current
Q143926;Angola Current
Q211798;North Atlantic Current
Q213197;Canary Current
Q255833;Equatorial Stream
Q281655;California Current
Q377116;Loop Current
Q398548;Agulhas Current
Q495355;Tsushima Current
Q496182;Liman Current
Q577367;Antilles Current
Q600069;Indian Monsoon Current
Q623748;East Korea Warm Current
Q677292;Brazil Current
Q794045;Azores Current
Q867775;North Equatorial Current
Q924509;West Australian Current
Q936874;Irminger Current
Q1072306;South Equatorial Current
Q1072729;Kamchatka Current
Q1126449;Norwegian Current
Q1140784;Davidson Current
Q1190478;Cromwell current
Q1243936;Aleutian Current
Q1255913;Caribbean Current
Q1257715;Indonesian Throughflow
Q1257727;Guinea Current
Q1260903;West Greenland Current
Q1263083;Florida Current
Q1263337;Portugal Current
Q1267550;Somali Current
Q1278535;Baffin Island Current
Q1279906;East Madagascar Current
Q1288064;Leeuwin Current
Q1288085;South Atlantic Current
Q1566252;Tasman Outflow
Q1902975;Alaska Current
Q1962901;North Cape Current
Q2084008;Black Sea undersea river
Q2467321;Lomonosov Current
Q2576573;West Spitsbergen Current
Q3752376;Mindanao Current
Q4430623;Soya Warm Current
Q4652675;Atlantic meridional overturning circulation
Q6599399;Svalbard Current
Q6979551;North Brazil Current
Q11246467;North Korea Cold Current
Q11527439;East Sakhalen Current
Q11556417;Tsugaru Warm Current
Q11830474;Q11830474
Q19366479;Guiana current
Q19876639;Tasman Front
Q19949840;Q19949840
Q20057936;Panama Current
Q23578938;Agulhas Return Current
Q24638315;Rullard Röst
Q24638316;Rull Röst
Q30680870;North Madagascar Current
Q46486819;Q46486819
Q52739461;Atlantic South Equatorial Current
Q60260389;Atlantic North Equatorial Current
Q60698861;Indian South Equatorial Current
Q60699236;Pacific South Equatorial Current
Q60704612;Pacific North Equatorial Current
