entity;label
Q1042990;Taipinghu depot
Q2481934;Lelystad Opstelterrein
Q4632986;29th Street Yard
Q4642148;65th Street Yard
Q4712406;Albina Yard
Q4736953;Altoona Works
Q4792412;Arlington Yard
Q4793785;Armour Yard
Q4852359;Balmer Yard
Q4879587;Beech Grove Shops
Q4896203;Bescot Yard
Q4921265;Tianping rolling stock depot
Q4921733;Black Rock Rail Yard
Q5013705;CPR Aberdeen Yard
Q5013706;CPR Alyth Yard
Q5013708;CPR Buffalo Yard
Q5013709;CPR Kinnear Yard
Q5013711;CPR Montrose Yard
Q5013712;CPR Parkdale Yard
Q5013719;CPR West Toronto Yard
Q5016290;Cadder Yard
Q5166736;Conway Yard
Q5173512;Corwith Yard
Q5264060;Desert Yard
Q5379379;Enola Yard
Q5419057;Ewing Yard
Q5503007;Fresh Pond Junction
Q5508476;Fulton Yard
Q5514129;GO Transit Willowbrook Yard
Q5605073;Greenwood Yard
Q5763921;Hillside Facility
Q6123545;Coney Island Rapid Transit Car Overhaul Shop
Q6270027;Jolimont Yard
Q6552365;Linden Yard
Q6555184;Linwood Yard
Q6705663;Luther Yard
Q6759080;Margam Knuckle Yard
Q6913849;Morris Park Facility
Q6914148;Morrisville Yard
Q6953812;NFTA Rail Maintenance Yard
Q7054170;North Bergen Yard
Q7073606;Oak Island Yard
Q7073686;Oak Point Yard
Q7156044;Pavonia Yard
Q7199510;Pittston Yard
Q7235093;Potomac Yard
Q7383345;Rutherford Intermodal Yard
Q7448558;Selkirk Yard
Q7487223;Shalimar rail yard
Q7640905;Sunnyside Yard
Q7860500;Tyne Yard
Q7962556;Walkley Yard
Q7986532;West Side Yard
Q8022996;Wilson Bus Garage and Subway Yard
Q10864542;Q10864542
Q10865096;Wanliu depot
Q10882198;Wulu yard
Q10882276;Wuliqiao depot
Q10906971;Q10906971
Q10909401;Hakata Car Maintenance Center
Q10912065;Q10912065
Q10913188;Gucheng depot
Q10914553;Q10914553
Q10924075;Jiahe Depot
Q10925002;Sihui depot
Q10925580;Huilongguan depot
Q10927801;Tuqiao depot
Q10931878;Xianan Depot
Q10940603;Tiantongzhuang depot
Q10941368;Taipingzhuang depot
