entity;label
Q153816;Rotunda of Mosta
Q455168;St. Longin's Rotunda
Q1133543;Ducal Rotunda of the Virgin Mary and St Catherine
Q1472401;Round Church, Öskü
Q1548319;Große Neugierde
Q2598073;Saint George Rotunda Church, Sofia
Q3443004;Rotonde de la Vignotte
Q4398661;Rotunda of Peoples Friendship in Poltava
Q4398662;Shukhov Rotunda
Q4500794;Temple of Friendship (Pavlovsk)
Q5117708;Church of St Peter and St Paul, Budeč
Q5198997;Cyclorama of Jerusalem
Q7370710;Rotunda at Balmoral Beach, Sydney
Q11735222;Rotunda of the Finding of the Holy Cross
Q12030634;Q12030634
Q12030646;Q12030646
Q12049839;Rotunda of Saint Catherine in Česká Třebová
Q12049841;Q12049841
Q12049842;Rotunda of Saint Martin
Q12049843;Q12049843
Q12049844;Q12049844
Q12049848;Q12049848
Q12794154;Q12794154
Q12800453;Selo Rotunda
Q16839252;Glasgow Harbour Tunnel Rotundas
Q16885566;Q16885566
Q18146741;Beauvais Rotunda
Q18146743;Room 704
Q22998809;Q22998809
Q27554497;Q27554497
Q27652624;Q27652624
Q27824546;Q27824546
Q37281311;Rotunda of the Nativity of the Virgin Mary in Holubice
Q37427606;Q37427606
Q38231858;remains of rotunda in Brno
Q42289682;New York City Hall rotunda
Q47068432;Rotunda of Virgin Mary
Q55698518;Q55698518
Q56504397;Band Rotunda
Q61774557;Band Rotunda
Q63197010;Rotunda in Mykolaiv
Q68277535;Maitland Park Band Rotunda
Q68513691;Kurri Kurri Band Rotunda
Q76530647;Rotunda, Petrozavodsk
Q76851914;Rotunda
Q76891387;Band Rotunda
Q76891389;Band Rotunda
Q76891676;Band Rotunda
Q76925723;Band Rotunda
Q76925902;Band Rotunda
Q76925904;Band Rotunda
Q76925906;Band Rotunda
Q76925909;Band Rotunda
Q76925911;Band Rotunda
Q76925914;Band Rotunda
Q76925915;Band Rotunda
Q76925958;Band Rotunda and Domain Gates
Q77357618;Cleghorn Rotunda
Q79303089;Otaki Children's Health Camp Rotunda
Q79307666;Chapel of Saint Ulrich
Q79308876;World War One Memorial Band Rotunda
Q83257776;Q83257776
