entity;label
Q67189795;Elambulassery Nalussery Temple
Q197144;Zhang Fei Temple
Q223644;Solomon's Temple
Q583593;conjuratory
Q617891;Mission San Diego de Alcalá
Q659654;Goetheanum
Q684072;Garni Temple
Q804054;White Cloud Temple
Q807317;Barbar Temple
Q814721;Beijing Dongyue Temple
Q891076;Boise Idaho Temple
Q1003263;Q1003263
Q1187561;Kaliya jue Temple
Q1415267;Third Temple
Q1473969;Padmanabhaswamy Temple
Q1902120;Bell towers in Friesland
Q2163505;Pao Fa Temple
Q2426584;Laxminarayan Temple
Q2494864;Sin Sze Si Ya Temple
Q2562938;Pagoda of Cishou Temple
Q2607851;Nallur Kandaswamy temple
Q2650704;Q2650704
Q2659083;Boston Massachusetts Temple
Q2666459;Guruvayur Temple
Q2680900;Bendigo Joss House Temple
Q2681703;Chun Kwan Temple
Q2835179;Birmingham Alabama Temple
Q2877286;Recife Brazil Temple
Q3347158;Kantaji Temple
Q3517616;Templo de Salomão
Q3595345;Ambalappuzha Sri Krishna Temple
Q3690986;Amrutesvara Temple
Q3844779;Anchorage Alaska Temple
Q3844795;Columbia River Washington Temple
Q3844896;Spokane Washington Temple
Q3845286;Twin Falls Idaho Temple
Q3845311;Campinas Brazil Temple
Q4500904;Sri Sri Radha Krishna Temple
Q4501089;Eternal Spring Shrine
Q4501090;Choleeswaram temple
Q4770659;Anshe Chesed Fairmount Temple
Q4938449;Boise Hare Krishna Temple
Q5019635;Calgary Alberta Temple
Q5025793;Camden Masonic Temple
Q5062845;Centro Israelita do Paraná
Q5132078;Cleveland Buddhist Temple
Q5149839;Columbia South Carolina Temple
Q5339016;Edmonton Alberta Temple
Q5350528;Ekoji Buddhist Temple
Q5415703;Evangelical Lutheran Church of the Ascension
Q5503161;Fresno Buddhist Temple
Q5560680;Gila Valley Arizona Temple
Q5560766;Gilbert Arizona Temple
Q5656723;Hare Krishna Temple
Q6023869;Indianapolis Indiana Temple
Q6023898;Indianapolis Masonic Temple
Q6429126;Kong Hock Keong Temple
Q6435145;Koyasan Buddhist Temple
Q6550026;Lin Fa Temple
Q6663168;Lo Pan Temple
Q6689499;Louisville Kentucky Temple
Q6743404;Malibu Hindu Temple
Q6783718;Masonic Temple
Q6783722;Masonic Temple
Q6783738;Masonic Temple
Q6783741;Masonic Temple
Q6783742;Masonic Temple
Q6783750;Masonic Temple
Q6783759;Masonic Temple
Q6805321;Medford Oregon Temple
Q6943826;Muthappan Temple
Q7077371;Odd Fellows Temple
Q7128466;Palmyra New York Temple
Q7162225;Penang Masonic Temple
Q7162813;Penha Convent
Q7182764;Philadelphia Pennsylvania Temple
Q7286932;Raleigh North Carolina Temple
Q7308537;Regina Saskatchewan Temple
Q7319370;Rexburg Idaho Temple
Q7413889;San Fran Dhammaram Temple
Q7548627;Snowflake Arizona Temple
Q7586311;Sri Veeramakaliamman Temple
Q7610447;Stephen S. Wise Temple
Q7640959;Sunol Water Temple
Q7703350;Terre Haute Masonic Temple
Q7826464;Toronto Ontario Temple
Q7942572;Vraj Hindu Temple
Q8060548;Yuk Hui Temple
Q9085738;Halifax Nova Scotia Temple
Q10380046;Vancouver British Columbia Temple
Q16141771;Church and Convent of Saint Antony
Q17054133;Sri Lankaramaya Buddhist Temple
Q17334185;Radha Krishna Temple
Q17448376;Q17448376
Q17509063;Beit Yaacov/Rabi Meyr Synagogue
Q20739487;Neuapostolische Kirche
Q24949686;Belém Brazil Temple
Q26778380;Q26778380
Q39058433;Hillsong Church São Paulo
Q61774901;Pilgrimage church Maria Steinparz
