entity;label
Q1654371;Ramminger Sandgrube
Q23788238;Sandgrube Gertenstock
Q23822196;Čelákovická pískovna
Q28478281;Sandgrube bei Heinleinshof
Q54758909;Q54758909
Q55818613;Wolfsgrube bei Schwarzenbruck
Q56418406;Q56418406
Q56418414;Q56418414
Q56457348;Q56457348
Q57390852;Q57390852
Q57585450;Q57585450
Q58776572;Pískovna Veselá
Q59161018;Ehem. Sandgrube W von Sand bei Auerbach
Q59244757;Ehemalige Sandgrube Weißenbrunn
Q59244758;Sandgrube am Kühberg
Q59244759;Sandgrube NE von Hirschenberg
Q59244760;Sandgruben N von Süß
Q59244761;Sandgrube NNW von Atzmannsricht
Q59244762;Ehem. Sandgrube auf der Girnitz
Q59244763;Ehem. Sandgrube NW von Burghaig, Lindig
Q59244766;Sandgrube N von Immendorf
Q59244767;Sandabbau am Burgbichl bei Unterammergau
Q59244768;Ehemalige Sandgrube NE von Winden
Q59244769;Ehem. Sandgrube W von Kleinseebach
Q59244770;Ehemalige Sandgrube NE von Rühlingstetten
Q59244771;Ehem. Glassandgrube N von Atzmannsricht
Q59245103;Ehem. Sandgrube SE von Rohrenfels
Q59265972;Sandgrube N von Pirkerziegelhütte
Q59265974;Sandgrube NW von Mitterkreith
Q59265975;Sandgrube am Ochsenberg NW von Kiesried
Q59265977;Ehemalige Sandgrube E von Diebis
Q59265979;Ehemalige Sandgrube NW von Arzthofen
Q59265980;Ehemalige Sandgrube in der Oberen Haid E von Dennenlohe
Q59265981;Ehem. Sandgrube am Schwabenberg SE von Axtheid-Berg
Q59265984;Ehemalige Sandgrube im Reschwassertal NW von Mauth
Q59265985;Ehemalige Sandgrube an Waldhäuser Riegel
Q59265986;Ehem. Sandgrube NNW von Weißenstadt
Q59265988;Ehemalige Sandgrube Neuenreuth S von Kronach
Q59267438;Ehem. Sandgrube Mengele E von Reisensburg
Q59267440;Sandgrube beim Brennfilz SW von Haidmühle
Q59267443;Ehemalige Sand- und Kiesgrube Hilpoldsberg
Q59267445;Sandgrube S von Wollbach
Q59286876;Ehem. Sand- und Kiesgrube NE von Gablingen
Q59286877;Ehem. Sandgrube E von Stettenhof
Q59286878;Ehemalige Sandgrube Haderleinswustung
Q59286879;Ehem. Sandgrube W von Bergenstetten
Q59286880;Ehem. Sandgrube NNE von Kessel
Q59286882;Ehemalige Sandgrube W von Ensfeld
Q59286883;Sandgrube N von Ingstetten
Q59286884;Ehemalige Sandgrube SW von Wolfersthal
Q59286886;Ehem. Sandgrube N von Megesheim
Q59287622;Sandgrube Loderham
Q59287623;Ehemalige Sandgrube Goldbergalm
Q59287624;Ehem. Sandgrube N von Kirrberg
