entity;label
Q6807;Döhlen Basin
Q656985;Great Artesian Basin
Q758012;Q758012
Q813673;Q813673
Q1000302;Limburg Basin
Q1044729;Carpentaria Basin
Q1103385;Kalahari Basin
Q1660812;Ina Basin
Q1772013;Q1772013
Q1800666;Ljubljana Basin
Q2094387;Sofia Valley
Q2106899;Powder River basin
Q2198358;Centralian Superbasin
Q2212996;Lower Rhine graben
Q2444821;Baydar Valley
Q2511541;Q2511541
Q2887451;Algerian-Provençal Basin
Q2887490;Los Angeles Basin
Q2887494;San Juan Basin
Q3032249;Visok
Q3083451;Q3083451
Q3508624;Q3508624
Q4067938;Апаранская котловина
Q4207669;Kazanlak Valley
Q4342929;Памбакская котловина
Q4388618;Razlog Valley
Q4411879;Göyçə
Q4524214;Shirak Plain
Q4822612;Aurora Subglacial Basin
Q4906955;Bighorn Basin
Q5091713;Chepino Valley
Q5329638;East Warburton Basin
Q5385738;Erewhon Basin
Q5550950;Gerlovo
Q6792258;Maud Subglacial Basin
Q6813826;Melut Basin
Q7190604;Piceance Basin
Q7209052;Polar Subglacial Basin
Q7236057;Powell Basin
Q7713619;The Amphitheatre
Q7931627;Vincennes Subglacial Basin
Q8022146;Williston Basin
Q9267520;Gerlachovský kotol
Q9350921;Q9350921
Q10883263;Kyoto Basin
Q11177328;Q11177328
Q11493814;Ayashi basin
Q11654242;Nagano Basin
Q11744333;Q11744333
Q11744336;Чешская котловина
Q12101377;Dnieper-Donetsk Basin
Q12271268;Aytos Valley
Q12272986;Q12272986
Q12273168;Q12273168
Q12273355;Q12273355
Q12273829;Botevgrad Depression
Q12273933;Q12273933
Q12274037;Burel Valley
Q12275859;Q12275859
Q12275893;Q12275893
Q12277074;Q12277074
Q12277265;Q12277265
Q12277771;Debar Basin
Q12278966;Q12278966
Q12279054;Q12279054
Q12279224;Q12279224
Q12279706;Q12279706
Q12280529;Zlatitsa Valley
Q12281960;Q12281960
Q12282467;Kamartsi Valley
Q12282665;Karlovo Valley
Q12282670;Karnobat Valley
Q12284531;Q12284531
Q12290185;Q12290185
Q12292004;Q12292004
Q12292925;Самоковская котловина
Q12292956;Q12292956
Q12292980;Sarantsi Valley
Q12293792;Q12293792
Q12756292;Q12756292
Q12909863;Q12909863
Q13053645;Q13053645
Q13229816;Munster Basin
Q13416088;Q13416088
Q13421868;Q13421868
Q13437050;Basin of Heerlen
Q13437051;Basin of the Roode Beek
Q13445130;Broad Fourteens Basin
Q14126284;Q14126284
Q14184137;Q14184137
Q14541820;Q14541820
Q14705083;Dixie Valley
Q15074158;Q15074158
Q15119865;Q15119865
Q15135715;Q15135715
Q15229079;JOIDES Basin
Q15262460;Nordenskjold Basin
Q15783196;Amundsen-Ganswindt Basin
Q15873938;Q15873938
Q16370543;Q16370543
Q16396353;Q16396353
Q17107632;Michigan Basin
Q17138585;Q17138585
Q17151509;Q17151509
Q17151543;Q17151543
Q17277101;Q17277101
Q17395681;Q17395681
Q17541589;Q17541589
Q18113378;Q18113378
Q18193475;Q18193475
Q18193527;Q18193527
Q18193576;Q18193576
Q18193615;Q18193615
Q18249544;Q18249544
Q18249675;Q18249675
Q18326489;Q18326489
Q18534593;Q18534593
Q18534595;Q18534595
Q18564423;Q18564423
Q18564490;Q18564490
Q18564523;Q18564523
Q18564572;Q18564572
Q18564608;Q18564608
Q19932926;Q19932926
Q20497206;Q20497206
Q20497239;Q20497239
Q20497264;Q20497264
Q20497334;Q20497334
Q20497371;Sliven Valley
Q20497743;Q20497743
Q20498219;Q20498219
Q20498307;Q20498307
Q20498634;Tvarditsa Valley
Q20499063;Q20499063
Q20499546;Q20499546
Q20500037;Q20500037
Q20500190;Q20500190
Q20500249;Q20500249
Q20500438;Q20500438
Q20500548;Q20500548
Q20500557;Q20500557
Q20500805;Q20500805
Q20500968;Q20500968
Q20501027;Q20501027
Q20515207;Q20515207
Q20516310;Q20516310
Q20521066;Pivka Basin
Q21696766;Гомери дзор
Q21697178;Q21697178
Q24576759;Q24576759
Q25552299;Ohrid Basin
Q27062799;Q27062799
Q27193904;Mai
Q27733584;El Knébis
Q27865793;Big Muddy Bottom
Q27865941;Q27865941
Q28232148;Chester Basin
Q28492386;Kristianstad Basin
Q29020497;Vilyui river basin
Q29157473;Q29157473
Q29643917;Jarandol basin
Q31947866;Makoto
Q33001526;Q33001526
Q42731412;Goshen Hole
Q43304330;Q43304330
Q43360468;Tikveš Basin
Q43360802;Mariovo Basin
Q43376308;Q43376308
Q43376480;Demir Hisar Basin
Q43387629;Gevgelija-Valandovo Basin
Q43388298;Q43388298
Q43388680;Kriva Palanka Basin
Q43402093;Debar-Reka Basin
Q43402418;Ohrid-Struga Basin
Q43402644;Poreče Basin
Q49338139;Major Basin
Q50420087;Q50420087
Q50421793;Q50421793
Q50421808;Q50421808
Q50421852;Q50421852
Q50484898;Q50484898
Q50549485;Q50549485
Q50549824;Q50549824
Q50594316;Q50594316
Q50595058;Q50595058
Q50595100;Q50595100
Q50601670;Q50601670
Q50601733;Q50601733
Q50602250;Q50602250
Q50602360;Q50602360
Q50796527;Q50796527
Q50797331;Q50797331
Q50797408;Q50797408
Q50801928;Q50801928
Q50804789;Q50804789
Q50804805;Q50804805
Q50821227;Q50821227
Q50821253;Q50821253
Q50821270;Q50821270
Q50821442;Manětínská kotlina
Q50821496;Q50821496
Q50821506;Q50821506
Q50821511;Q50821511
Q50821814;Q50821814
Q50821823;Q50821823
Q51203441;Q51203441
Q54554802;Q54554802
Q54803520;Q54803520
Q54803584;Q54803584
Q54803586;Q54803586
Q54803587;Q54803587
Q54803589;Q54803589
Q54803591;Q54803591
Q54803618;Q54803618
Q54803661;Q54803661
Q54803729;Q54803729
Q54805247;Q54805247
Q54805255;Q54805255
Q54859779;Q54859779
Q54859974;Q54859974
Q54859979;Q54859979
Q54860572;Q54860572
Q54860616;Q54860616
Q54860630;Q54860630
Q54860631;Q54860631
Q54861850;Q54861850
Q54861862;Q54861862
Q54907797;Q54907797
Q54908446;Q54908446
Q54909247;Q54909247
Q54909295;Q54909295
Q54909299;Q54909299
Q54909346;Q54909346
Q54909392;Q54909392
Q54909973;Q54909973
Q54910666;Q54910666
Q54910709;Q54910709
Q54910711;Q54910711
Q54910713;Q54910713
Q54911510;Q54911510
Q54911763;Q54911763
Q54911765;Q54911765
Q54911911;Q54911911
Q54912713;Q54912713
Q54912727;Q54912727
Q54912767;Q54912767
Q54920368;Q54920368
Q54920369;Q54920369
Q54920380;Q54920380
Q54920394;Q54920394
Q54920403;Q54920403
Q54920409;Q54920409
Q54921489;Q54921489
Q54926907;Q54926907
Q54927308;Q54927308
Q54927310;Q54927310
Q54927765;Q54927765
Q54945010;Q54945010
Q54945421;Q54945421
