entity;label
Q1100682;Híjar River
Q1261052;Ward of Walbrook
Q1287599;Neglinnaya River
Q1422244;River Fleet
Q1574093;Hamza River
Q1682047;Reka River
Q2385642;Reprua River
Q2630564;Nyamiha River
Q2893684;River Effra
Q2910790;Tyburn Brook
Q3433942;Rivière souterraine de Labouiche
Q3565787;Тхыонг
Q3651584;Iupshara River
Q3918673;Переспа
Q14943321;Копанка (приток Золотухи)
Q14943366;Чернавка (приток Золотухи)
Q14943424;Черторый
Q14943538;Сивка
Q15290987;Q15290987
Q16717957;Черногрязка
Q16890794;Earl's Sluice
Q19618547;Кровянка
Q19916322;Сара
Q26702820;Pudding Mill River
Q26836199;Parr’s Ditch
Q27978686;Four Mile Run
Q49903231;Echo River
