entity;label
Q26144;Bełmeken
Q46499;Ruen
Q59836;Kutelo
Q128689;Q128689
Q134217;Shipka
Q151882;Q151882
Q195179;Makovytsa
Q196274;Mynydd Maendy
Q197674;Angelov peak
Q203531;The Mountain of Israeli-Palestinian Friendship
Q209341;Musala
Q210004;Malyovitsa
Q262301;Klek
Q263482;Pilis
Q275680;Damga
Q280831;Q280831
Q325569;Q325569
Q326168;Rilets
Q387514;Rongme Ngatra
Q517345;Pietrosu Peak
Q549540;Champlain Peak
Q576796;Q576796
Q577235;Polezhan
Q593456;Diamantiditurm
Q665899;Q665899
Q714048;Sashegy
Q846340;Kom Peak
Q849657;Cherni Vrah
Q854179;Bél-kő
Q860433;Arc Dome
Q873386;Q873386
Q874026;Csomafalvi-Dél-hegy
Q874546;Q874546
Q894703;Botev Peak
Q901980;Q901980
Q921917;Broad Peak Central
Q962856;Midžor
Q1000223;Glessener Höhe
Q1003063;Q1003063
Q1031435;Q1031435
Q1057036;Q1057036
Q1102197;Q1102197
Q1118658;Kopasz Hill, Tokaj
Q1140684;Vihren
Q1236018;Q1236018
Q1236922;Malak Rezen
Q1288074;Kaimaktsalan
Q1301520;Szársomlyó
Q1314809;Sár Hill
Q1388913;Karlstein
Q1400803;Q1400803
Q1400913;Vaiuga
Q1426184;Panská skála
Q1524307;Vaganski Vrh
Q1548833;Golyam Perelik
Q1721555;Q1721555
Q1723729;Kangchenjunga Central
Q1723730;Kangchenjunga South
Q1723731;Kanchenjunga West
Q1789966;Kronplatz
Q1818626;Trollryggen
Q1895254;Margherita Peak
Q2024489;Pic d'Arlas
Q2092337;Q2092337
Q2096764;Pirin peak
Q2119473;Q2119473
Q2355929;Q2355929
Q2400457;Yuxu summit
Q2458111;Tumba Peak
Q2880642;Bald Knob
Q3186725;Joug de l'Aigle
Q3284744;Q3284744
Q3321997;Q3321997
Q3382316;Q3382316
Q3382339;Yuhua summit
Q3382341;Yujing summit
Q3382396;Q3382396
Q3382426;Q3382426
Q3396191;Vrashka Chuka
Q3502491;Obzova
Q3514086;Taivaskero
Q3540821;Pic Toussidé
Q3625479;Botev Peak, Livingston Island
Q3656009;Golyam Rezen
Q3906021;Pizzo Tre Vescovi
Q4415188;Pico dos Três Estados
Q4499665;Krstovar
Q4671082;Academia Peak
Q4696391;Ahtopol Peak
Q4746080;Ami Boué Peak
Q4777173;Antonov Peak
Q4804161;Asen Peak
Q4850327;Bald Knob, Franklin County, VA
Q4854040;Banc Bugeilyn
Q4857146;Banski Suhodol
Q4903670;Bickle Knob
Q4980831;Bryn Arw
Q4998294;Burdick South Peak
Q5057248;Cefn Bryn
Q5072914;Chapanov Peak
Q5092090;Chernopeev Peak
Q5102003;Chirpan Peak
Q5115289;Chubra Peak
Q5288214;Dog Peak, Prokletije
Q5305747;Dramadol
Q5315367;Dunkery Beacon
Q5446224;Fforest
Q5493860;Outtakka
Q5515303;Gabbro Crest
Q5529121;Gazey
Q5576429;Q5576429
Q6074974;Caldoveiro Peak
Q6076838;Şeytan Sofrası
Q6428353;Kominite
Q6535848;Levski Peak
Q6544382;Negovan Crag
Q6737299;Maja Bogiçaj
Q7050619;Nordenskjöld Outcrops
Q7114831;Owl's Head
Q7281542;Radomir
Q7281683;Radoy Ralin Peak
Q7312830;Rendezvous Peak
Q7460109;Shabla Knoll
Q7494901;Sheridan Peak
Q7504978;Shumen Peak
Q7587339;St. Boris Peak
Q7650249;Sutton Crag
Q7652727;Svishtiplaz
Q7812850;Todorka
Q7924249;Vezhen
Q8002496;Wilkie Sugar Loaf
Q8035254;World's View
Q8050409;Yavorov Peak
Q8364919;Q8364919
Q8519896;The Cheviot
Q8540156;Pico do Sol
Q8545671;Monte Cavallo
Q9140653;Q9140653
Q9143559;Q9143559
Q9145122;Q9145122
Q9163667;Q9163667
Q9163714;Q9163714
Q9163728;Q9163728
Q9163765;Q9163765
Q9163768;Q9163768
Q9164498;Q9164498
Q9164926;Q9164926
Q9164928;Bania Szklarska
