entity;label
Q66487173;San Francisco
Q66487205;Diagon Alley
Q66487311;World Expo
Q66487378;Woody Woodpecker’s KidZone
Q66564544;Hogsmeade
Q66677601;Port of Entry
Q67099916;Toon Lagoon
Q67099942;Skull Island: Reign of Kong
Q67099964;Jurassic Park
Q67099998;The Lost Continent
Q67100021;Seuss Landing
Q67466517;Sunset Boulevard
Q67576865;Q67576865
Q73192712;World Showcase
Q73451455;Rafiki's Planet Watch
Q76409168;Town Center
Q85455912;Africa
Q85457558;Future World
Q85588404;Echo Lake
Q85592149;Animation Courtyard
Q85793841;Commissary Lane
Q674795;American Waterfront
Q732575;Frontierland
Q935409;Mermaid Lagoon
Q1837160;Millennium Village
Q1905378;Q1905378
Q1949099;Norway Pavilion
Q2034850;Q2034850
Q2074173;Adventure Isle
Q2082163;The Land
Q2084927;France Pavilion
Q2125310;Q2125310
Q2129498;Germany Pavilion
Q2162898;Japan Pavilion
Q2192459;Wonders of Life
Q2214975;Berlin
Q2229100;Toon Studio
Q2285806;Imagination!
Q2441096;Fantasyland
Q2542286;Q2542286
Q2542612;Mainstreet
Q2604149;Italy Pavilion
Q2623650;Hollywood
Q2681898;China Pavilion
Q2776572;Morocco Pavilion
Q2778074;Liberty Square
Q2802808;Q2802808
Q2904061;United Kingdom Pavilion
Q2905034;Canada Pavilion
Q2908501;The Seas with Nemo & Friends
Q2916471;Critter Country
Q2916668;Mickey's Toontown
Q2917588;New Orleans Square
Q3030238;Discoveryland at Disneyland Paris
Q3038333;Marketplace
Q3238401;Q3238401
Q3260371;Mystic Point
Q3926510;The Old West
Q4576184;Cardamom Town
Q4686490;Adventure Alley
Q4806332;Asia
Q4827807;Pandora
Q4985468;Buena Vista Street
Q5281863;Discovery Arcade
Q5281930;Discovery Island
Q5505796;Front Lot
Q5609808;Grizzly Peak Airfield
Q5882608;Hollywood Boulevard
Q6807052;Mediterranean Harbor
Q7134336;Pixar Pier
Q7247804;Production Courtyard
Q7775396;The Wizarding World of Harry Potter
Q7830061;Town of Gold Rush
Q11339450;Port Discovery
Q14685824;Antarctica: Empire of the Penguin
Q16932605;Springfield
Q17099251;Treasure Cove
Q17183965;The Wizarding World of Harry Potter
Q19376927;Kaptein Sabeltanns verden
Q20552984;Q20552984
Q22986011;Q22986011
Q25389543;Gardens of Imagination
Q28104177;Super Nintendo World
Q28584542;Q28584542
Q28584637;Q28584637
Q33198014;Marvel Super Hero Island
Q48734193;Springfield
Q49967255;Fantasyland
Q49969740;Fantasyland
Q49970784;Fantasyland
Q49970948;Fantasyland
Q49971339;Fantasyland
Q49971570;Fantasyland at Shanghai Disneyland
Q49981281;Main Street, USA
Q49982017;Q49982017
Q49982322;Q49982322
Q49982473;Q49982473
Q49982910;Mickey Avenue
Q49986414;Tomorrowland
Q50179619;Frontierland at Disneyland
Q50179725;Q50179725
Q50179770;Westernland at Tokyo Disneyland
Q50179900;Frontierland at Disneyland Paris
Q50180004;Q50180004
Q50180234;Q50180234
Q50180515;Q50180515
Q50180603;Q50180603
Q50180702;Q50180702
Q50180852;Q50180852
Q52157518;Q52157518
Q52157533;Q52157533
Q52157554;Q52157554
Q52157569;Q52157569
Q52157580;Q52157580
Q52157587;Gaul, Parc Astérix
Q52157602;Egypt, Parc Astérix
Q56404669;Q56404669
Q64865826;DC Super Hero Adventures
Q66006669;Backlot
Q66486732;New York
Q66487103;Production Central
