entity;label
Q10836;Muslim Tower of Silla
Q22567;Old Gate
Q23096;optical telegraph tower Vedat de Torrent
Q34411;Gilet tower
Q49597;Ellinger Tor
Q52521;Q52521
Q58307;Gremyachaya Tower, Pskov
Q82424;Bell Tower of Berlin Olympic Stadium
Q91348;Fort San Lucian
Q165767;Torre de guaita de Tous
Q168611;Ehndorf transmitter
Q176278;Montevideo
Q186097;Powder Tower, Riga
Q186968;Q186968
Q195496;Q195496
Q218118;Hıdırlık Tower
Q218501;Cabot Tower
Q218788;Q218788
Q221565;Q221565
Q231887;Zwehrenturm
Q244829;Q244829
Q245224;Zwölferturm
Q246105;Zytglogge
Q247867;Turm Jerusalem
Q248223;Q248223
Q248661;Q248661
Q253615;Wawel John III Tower
Q260953;Lascaris towers
Q293949;Ödenturm
Q298326;Q298326
Q299284;Torre de la Vall
Q299336;Q299336
Q315240;Mannheim Observatory
Q315590;Joseph Cross
Q315745;Mannesmann Tower
Q317922;Aussichtsturm Schlossberg
Q321789;Einstein Tower
Q323257;Tower of Penegate
Q328485;Hakenberg Victory Column
Q333551;Eilvese transmitter
Q335290;Azerbaijan Tower
Q336246;Torre Glòries
Q348113;Q348113
Q353239;Uhrturm, Graz
Q357019;Sather Tower
Q358498;Орлиная башня (Дортмунд)
Q372717;Tower of the Winds
Q378221;Swisscom-Sendeturm St. Chrischona
Q381079;Torre de telegrafía óptica de Godelleta
Q381478;Torre de Godelleta
Q381836;Aeschenschwibbogen
Q381839;Gate of Ashes
Q386393;Sint-Pieters-Leeuw Tower
Q386509;Torre di San Pancrazio
Q391173;Endem TV Tower
Q392077;Gate of Saint Alban
Q400432;Q400432
Q432902;Alt Eberstein
Q436381;Alte Wasserkunst
Q436483;Q436483
Q436938;Q436938
Q445256;Watts Towers
Q445619;Q445619
Q445762;Old Town Bridge Tower
Q446327;Altvaterturm
Q451592;Telemax
Q458420;Perlachturm
Q460155;Transmitter Heilsberg
Q474885;Torre de la Casa Palacio de los Boíl
Q474985;Q474985
Q480230;Q480230
Q489051;FM- and TV-mast Zygry
Q489418;Solec Kujawski radio transmitter
Q489426;Raszyn radio transmitter
Q520281;Bierpinsel
Q521497;Mouse Tower
Q526622;El Faro Towers
Q535993;Aliabad Tower
Q557202;Kotwiczników Tower
Q559220;Torre de Paraires
Q569440;Gauss Tower
Q571937;Q571937
Q586664;Torre del Trovador
Q587831;Chuderhüsi Tower
Q600946;Q600946
Q605721;Torre dei Conti
Q606763;Gonbad-e Qabus
Q607743;Aon Center
Q610402;Schreierstoren
Q614684;Cairo Tower
Q625836;Wongaksa Pagoda
Q626486;Vesteda Tower
Q638477;Scheibleinsturm (Weißenburg in Bayern)
Q638586;Emley Moor transmitting station
Q958792;Znojmo Town Hall Tower
Q959459;Monar Jonban
Q972079;Ligny Tower
Q976390;Q976390
Q979793;Lister Turm (Hannover)
Q985116;Q985116
Q985129;Nassauer Haus
Q992754;Q992754
Q996622;Q996622
Q996924;Q996924
Q996949;Brühlsbacher Warte
Q997089;White Tower
Q997878;Schwarzer Turm in Wölfersheim
Q997990;Q997990
Q999915;Bucksturm
Q1000781;Buddenturm
Q1011269;Q1011269
Q1013048;Q1013048
Q1013581;Ranis
Q1014142;Burg Stolpe
Q1014811;Q1014811
Q1014813;Q1014813
Q1016108;Q1016108
Q1017529;Business-Tower (Nuremberg)
Q1018727;Byward Tower
Q1020727;Q1020727
Q1021500;Bürgerturm
Q1021501;Q1021501
Q1026013;Q1026013
Q1042589;Q1042589
Q1048680;Q1048680
Q1068291;Q1068291
Q1084386;Christoffelturm
Q1088273;Torre dei Gualandi
Q1090058;Chutzenturm
Q1090690;Torre dei Gianfigliazzi
Q1092486;Torre dei Mannelli
Q1098123;Ishiyama Hongan-ji
Q1101483;Q1101483
Q1110367;Q1110367
Q1111258;Q1111258
Q1112422;Q1112422
Q1116955;Q1116955
Q1117058;Q1117058
Q1118086;Q1118086
Q1121720;Warsaw radio mast
Q1134533;Turtle Tower
Q1138448;Cradle Tower
Q1140023;Giotto's Campanile
Q1140026;Azadi Tower
Q1145196;Q1145196
Q1146569;Q1146569
Q1146660;Q1146660
Q1147465;Abernethy Round Tower
Q1151039;Q1151039
Q1166340;Q1166340
Q1195796;Yueyang Tower
Q1209962;Dicker Turm
Q1220107;Q1220107
Q1227434;Q1227434
Q1228215;Q1228215
Q1228635;Dysert Aenghusa
Q1228994;Fausttürmchen
Q1232101;Q1232101
Q1235432;Dolder
Q1236331;Q1236331
Q1237896;Gliesmaroder Turm
Q1238813;Q1238813
Q1242241;Kékestető TV Tower
Q1242460;Old Scatness
Q1242862;Pécs TV Tower
Q1243984;Reisenbach Telecommunication Tower
Q1244225;Q1244225
Q1247599;Q1247599
Q1252385;Q1252385
Q1254235;Q1254235
Q1254569;Q1254569
Q1255341;Tower of Unity
Q1258119;Q1258119
Q1259721;Q1259721
Q1260185;Dronketurm
Q1261414;Q1261414
Q1264595;Q1264595
Q1264640;Inveraray, The Duke's Tower
Q1265032;Reichenturm
Q1265207;Q1265207
Q1267074;Q1267074
Q1267555;Prince Rupert's Tower
Q1269818;Q1269818
Q1270186;Q1270186
Q1271030;Döhrener Turm (Hannover)
Q1271322;Ferberturm
Q1278133;Lorenkenturm
Q1280583;Q1280583
Q1283406;Limeux transmitting station
Q1287367;Reception Tower Utlandshörn
Q1287683;Q1287683
Q1288508;Hausmannsturm, Dresden
Q1289152;Q1289152
Q1290334;Q1290334
Q1290603;Q1290603
Q1291753;Falterturm (Kitzingen)
Q1292677;Q1292677
Q1294226;Wrangel Tower, Kaliningrad
Q1295324;Q1295324
Q1296351;Q1296351
Q1296528;Q1296528
Q1300671;Q1300671
Q1301274;Eichberg Tower
Q1301444;Q1301444
Q1301816;Q1301816
Q1306561;VW tower Hannover
Q1310007;Water supply in Rhenish Hesse
Q1312333;Q1312333
Q1316697;Ta' Ġawhar Tower
Q1321121;Q1321121
Q1323699;Q1323699
Q1325999;Wawel Kurza Stopa Tower
Q1326631;Kharraqan towers
Q1327894;Coburg-Eckardtsberg transmitter
Q1327923;Q1327923
Q1329979;Q1329979
Q1330999;Ħamrija Tower
Q1331006;Għajn Ħadid Tower
Q1331011;Madliena Tower
Q1331021;Wardija Tower
Q1333263;Rottenbuch Radio Tower
Q1335811;Q1335811
Q1337030;Munich Fair Tower
Q1344685;St. Paul's Bay Tower
Q1345155;St. Mary's Tower
Q1345948;Q1345948
Q1346711;Hof 1
Q1347144;Q1347144
Q1348121;Transmitter Riegelsberg
Q1348286;Q1348286
Q1349422;Mutterturm
Q1356988;Q1356988
Q1357397;Pulverturm, Andernach
Q1364368;Hoyerberg transmitter
Q1365402;Q1365402
Q1366918;Monsanto Tower
Q1366998;Eschenberg tower
Q1367475;Eselsburgturm
Q1368151;Roter Turm
Q1369943;Q1369943
Q1372560;Q1372560
Q1373813;Q1373813
Q1373817;Q1373817
Q1373821;Q1373821
Q1374494;Q1374494
Q1377430;Heribertturm
Q1377729;Hörturm
Q1378711;Schlayerturm (Nürnberg)
Q1379694;Q1379694
Q1382745;Q1382745
Q1383885;Q1383885
Q1385130;Hasenbergturm Stuttgart
Q1386223;Q1386223
Q1386497;Q1386497
Q1386621;Nordkirchen transmitter
Q1386986;Q1386986
Q1389596;Pferdeturm
Q1390954;Wilhelmskirche
Q1392738;Q1392738
Q1393075;Q1393075
Q1393754;Q1393754
Q1394759;Fallturm Bremen
Q1395591;Q1395591
Q1395593;Fangelturm (Friedland)
Q1395594;Q1395594
Q1395596;Fangelturm Stralendorf
Q1398596;Q1398596
Q1400064;Seigerturm
Q1402626;Pulverturm, Leutkirch im Allgäu
Q1403897;Q1403897
Q1403975;Q1403975
Q1404069;Q1404069
Q1405699;Stuttgart-Degerloch water tower
Q1406236;Fernmeldeturm Trier-Petrisberg
