entity;label
Q13972;Tartu
Q44840;Viljandi
Q45100;Põlva
Q45114;Paide
Q86206;Saue
Q102158;Narva
Q102365;Pärnu
Q117513;Jõgeva
Q141796;Türi
Q154994;Antsla
Q155066;Kärdla
Q171333;Võhma
Q172263;Püssi
Q188179;Kuressaare
Q191106;Haapsalu
Q191889;Rakvere
Q193905;Valga
Q201391;Kohtla-Järve
Q204091;Paldiski
Q205271;Võru
Q206555;Maardu
Q207275;Keila
Q207748;Sillamäe
Q211059;Jõhvi
Q213071;Elva
Q213178;Kunda
Q213740;Loksa
Q215971;Rapla
Q216119;Kiviõli
Q217682;Tamsalu
Q321784;Abja-Paluoja
Q339347;Otepää
Q370242;Suure-Jaani
Q375497;Lihula
Q613714;Kallaste
Q642660;Põltsamaa
Q650577;Tapa
Q723372;Narva-Jõesuu
Q730707;Sindi
Q819395;Mõisaküla
Q819514;Tõrva
Q842021;Mustvee
Q985464;Kehra
Q1023750;Karksi-Nuia
Q1146736;Kilingi-Nõmme
Q1483558;Räpina
