entity;label
Q4063204;Altsak
Q4093479;Borgoy, Republic of Buryatia
Q4094791;Bortoy
Q4099436;Burguy
Q4108652;Verkhny Burgaltay
Q4153203;Gegetuy
Q4154135;Dalakhai
Q4164142;Dodo-Ichyotuy
Q4171225;Dutulur
Q4172042;Dede-Ichyotuy
Q4175571;Yengorboy
Q4177590;Ekhe-Tsakir
Q4201052;Inzagatuy
Q4309355;Myla
Q4319091;Nizhny Burgaltay
Q4328167;Nurta
Q4328475;Nyuguy
Q4337024;Orongoy (ulus)
Q4340409;Okhor-Shibir
Q4407387;Sanaga (Buryatia)
Q4452302;Tasarkhay
Q4470919;Ulbugay
Q4470936;Ulekchin
Q4470945;Ulentui
Q4478366;Ust-Burgaltay
Q4478778;Utata
Q4502230;Khuzhir, Zakamensky District, Republic of Buryatia
Q4502401;Khuray-Khobok
Q4502435;Khurtaga
Q4502998;Tsagan-Morin
Q4503018;Tsagatui
Q4520384;Shara-Azarga
Q16016683;Dunda-Kiret
Q16707121;Tokhoy
Q16713444;Khargana
Q17462371;Yekhe-Tsagan
Q18398818;Ranzhurovo
Q18399170;Kodunsky Stanok
Q18400154;Barun-Orongoy
Q18401061;Bolshoy Lug
Q18401103;Sorok
Q18401357;Bulak
Q18401419;Burgastay
Q18404918;Mogoy-Gorkhon
Q18405251;Khargana
Q18405278;Kharyasta
Q18405399;Mengey
Q18405484;Khoshun-Uzur
Q18405581;Khuramsha
Q18405616;Tsaydam
Q18406421;Nur-Tukhum
Q18406438;Nur-Seleniye
Q18407151;Dulan
Q18407209;Deben
Q18407211;Dede-Sutoy
Q18407349;Shana
Q18407351;shanai
Q18407455;Yenhor
Q18407610;Zhargalanta
Q18407859;Shuluta
Q18408244;Zun-Orongoy
Q18409410;Tashir
Q18409661;Tukhum
Q19614481;Gilbira
Q19615714;Zalan
Q19615948;Zurgan-Debe
Q19691547;Ulyunkhan
Q19691652;Tarbagatay
Q19691743;Khandala
Q19691783;Khoytobeye
Q19691784;Ulan-Ivolginsky
Q19691842;Narsata
Q19691843;Kharyastka
Q19691846;Tsolga
Q19691890;Khuzhiry
Q19691892;Ust-Altasha
Q19691900;Ust-Urma
Q19691917;Udunga
Q19822438;Subuktuy
Q20035974;Balta
Q20046429;Tabalangut
Q20243700;Dalakhay
Q20243844;Yengorga
Q20245109;Nugan
Q20246147;Ulan-Gorkhon
Q20246279;Khoyto-Gol
Q20470226;Khongodory
Q20635801;Subarya
Q20635969;Khurga
Q20640025;Alag-Shulun
Q20640310;Tegda
Q20642104;Balakta
Q20642838;Khara-Khuzhir
Q20642839;Sharza
Q20642840;Shasnur
Q20672296;Bayangol
Q20672622;Soyol
Q20672656;Urzhil
Q20672669;Khara-Usun
Q20743836;Tokhoryukta
Q20743842;Zun-Kholba
Q20743866;Alla
Q20743871;Argada
Q21103510;Altachey
Q21103511;Amagalantuy
Q21103612;Gutay
Q21103614;Dabatuy
Q21103727;Kusoty
Q21103783;Murochi
Q21103919;Sredny Kharlun
Q21103928;Sudutuy
Q21103964;Ust-Dunguy
Q21103992;Khayan
Q21103998;Khonkholoy
Q21104006;Tsagan-Chelutay
Q21104043;Shanaga
Q21104050;Shibertuy
Q21123593;Naryn
Q21123610;Shene-Busa
Q21334574;Dede-Tala
Q21334736;Khara-Shibir
Q21635909;Bakhlayta
Q21636539;Bulak
Q21640896;Kulkison
Q21640909;Kuorka
Q21643639;Orot
Q21644785;Ulzyte
Q21644884;Ust-Orot
Q21644890;Ust-Egita
Q21644925;Ushkhayta
Q21645636;Chesan
Q21645788;Edermeg
Q21806348;Amgalanta
Q21806350;Aninsk
Q21806352;Ashanga
Q21806353;Barun-Khasurta
Q21806355;Bayan-Gol
Q21806359;Bulum
Q21806361;Dodo-Gol
Q21806364;Kulsky Stanok
Q21813268;Borogol
Q21813453;Khilgana
Q21815122;Khangir
Q21857555;Angir
Q21857726;Ulyukchikan
Q21857727;Ulyun (rural locality)
Q21857759;Yarikta
Q21965857;Shuluta
Q21965862;Onokhoy-Shibir
Q22114528;Arbun
Q22114529;Bom
Q22114530;Nama
Q22114531;Taza (ulus)
Q23957653;Dabata
Q23957811;Naryn-Shibir
Q24068857;Burduny
Q24068869;Khilgantuy
Q24068898;Enkhe-Tala
Q24068949;Galtay
Q24068950;Shinestuy
Q24068953;Zandin
Q24068962;Dobo-Yonkhor
Q24068978;Darkhhita
Q24069294;Kholoy
Q24069314;Darkhintuy
Q24069319;Bulag
Q24069322;Kharamodun
Q24069324;Arzgun
Q24069326;Garga
Q24069345;Tungen
Q24069356;Ugnasay
Q24069375;Galgatay
Q24069383;Khonkhino
Q24069385;Murgun
Q24069386;Tomokto
Q24069388;Unegetey
Q24069390;Kucheger
Q24069392;Yagdyg
Q24069393;Elesun
Q27888407;Khotogor
Q27888411;Baragkhan
