entity;label
Q2472;Hamburg Stadtpark
Q8387;Grand parc de Miribel-Jonage
Q9504;Parc des Hauteurs
Q13689;The Battery
Q49132;Boston Common
Q59032;Kungsparken
Q73397;Grand Park of Tirana
Q114918;Daan Forest Park
Q130559;Parker's Piece
Q133650;Beihai Park
Q133963;Parco Sempione
Q151984;Замарстыновский парк
Q153507;Strukovsky Garden
Q159085;Grant Park
Q166880;City Park
Q169090;Giardini Pubblici Indro Montanelli
Q202426;Franciszek Kachel Park in Bytom
Q205036;Mount Royal Park
Q209626;Bois de Boulogne
Q220207;Hong Kong Zoological and Botanical Gardens
Q246448;parc de la Villette
Q259291;Pasinger Stadtpark
Q261850;Hirschgarten
Q281849;Jardin des doms
Q284426;Sea Garden
Q285616;West Potomac Park
Q288624;square Louis-XIII
Q301135;Parc de la Ciutadella
Q309458;Jardin du Luxembourg
Q427016;City Park
Q427551;square Léon-Frapié
Q429540;Victoria Park
Q465535;American Legion Memorial Park
Q483014;Seoul Forest
Q488815;MFO-Park
Q490572;Taejongdae
Q530553;square Édouard-Vaillant
Q532113;parc des Buttes-Chaumont
Q545316;square de la place de la Réunion
Q546771;Parco dei Fontanili
Q577871;Jardin d'agronomie tropicale (Paris)
Q594411;Forest Park
Q604550;jardin des serres d'Auteuil
Q617444;Parco della Resistenza in Forlì
Q623260;square des Batignolles
Q630135;Gardens by the Bay
Q636136;jardin Villemin
Q647766;Jijamata Udyaan
Q677543;jardins des Champs-Élysées
Q677976;square Sarah-Bernhardt
Q691692;Almedalen
Q724170;Giardini della Biennale
Q726700;Donaupark
Q730948;Jardin des plantes
Q734499;Jingshan Park
Q742690;Willy Brandts Park
Q745296;Flushing Meadows–Corona Park
Q753064;Mill Ends Park
Q814727;Beijing World Park
Q818517;Tuileries Garden
Q835886;Taoranting Gongyuan
Q841670;Zhongshan Park
Q843869;High Line
Q856742;Bicentennial Mall State Park
Q863317;Morse Park
Q865971;Ralph Bunche Park
Q872549;Hisaya Ōdori Park
Q875751;Volksgarten
Q893826;Borisova gradina
Q895455;Bowling Green
Q902461;Sheep Meadow
Q909592;Washington Square Park
Q912817;Olympic Green
Q916958;President's Park
Q917681;City Botanic Gardens
Q918738;Lincoln Park
Q926316;Kungsträdgården
Q931042;Louis Armstrong Park
Q932606;Pedion tou Areos
Q942434;parc du Thabor
Q945251;parc de Bercy
Q947877;jardin Tino-Rossi
Q950446;parc de Belleville
Q956421;City Park in Zemun
Q966676;Sofia Zoo
Q970561;Zhongshan Park
Q995174;Bryant Park
Q1019599;Böckler Park
Q1036640;Carl von Weinberg Park
Q1049632;Prospect Park
Q1055404;Royal garden of medical plants
Q1057710;Lu Xun Park
Q1058156;Bronx Park
Q1062603;Beijing Chaoyang Park
Q1062693;Burnham Park
Q1083364;Jardin Anglais
Q1083713;Île Rousseau
Q1088040;Huangpu Park
Q1095122;Clara-Zetkin-Park
Q1108695;Maruyama Park
Q1112807;Parco del Portello
Q1115491;Nam Cheong Park
Q1123461;Q1123461
Q1126258;Stanley Park
Q1130516;Millennium Park
Q1142220;Lu Xun Park
Q1144587;John Lennon Park
Q1190346;Fort Tryon Park
Q1193746;Q1193746
Q1194741;Kaliningrad Central Park
Q1213078;The bells, Sofia
Q1221287;People's Park
Q1228821;Flora Park
Q1230048;Parco Virgiliano
Q1253709;Tallinn Song Festival Grounds
Q1257186;Q1257186
Q1257952;Dreilindenpark
Q1263082;jardin Atlantique
Q1266597;Dupont Circle
Q1278015;Vraca Memorial Park
Q1369936;Q1369936
Q1370513;Euxinograd
Q1414059;parc Monceau
Q1415098;Villa Comunale
Q1419018;Queen's Park
Q1424710;Georges-Brassens Park
Q1432605;Saint Stephen's Green
Q1435468;Parc del Laberint d'Horta
Q1453189;Finsbury Park
Q1471647;Q1471647
Q1479020;Queen Elizabeth Park
Q1538929;parc Montsouris
Q1554373;Tennisanlage Geiselweid
Q1555480;Gustav-Ammann-Park
Q1566554;Haarlemmerhout
Q1572695;Soviet Military Cemetery
Q1576596;Parchi di Nervi
Q1585658;Marcus Garvey Park
Q1617812;High Park
Q1637097;Humlegården
Q1653804;Jardin des plantes de Coutances
Q1683459;jardins du Trocadéro
Q1683522;Yarkon Park
Q1698824;Stureparken
Q1726347;Parc floral de Paris
Q1755360;Presidio of San Francisco
Q1778094;Kocherpark
Q1785711;Vasaparken
Q1785894;East Potomac Park
Q1824686;Lighthouse Park
Q1859090;Victoria Park
Q1882561;Washington Circle
Q1897080;Mariatorget
Q1898947;Rosenborg Castle Gardens
Q1935331;Mill Ruins Park
Q1950368;Q1950368
Q1953789;Doctors' Garden
Q2008494;Prinsenpark, Apeldoorn
Q2021084;Olmsted Park
Q2051953;Parc André Citroën
Q2054046;Parque dos Poetas
Q2060889;Coulée verte René-Dumont
Q2081327;Heaton Park
Q2087155;Kromhoutpark
Q2098914;Platzspitz park
Q2146799;Revere Beach
Q2172035;Rock Creek Park
Q2177257;Het Park
Q2266325;Mathildenhöhe
Q2327753;Q2327753
Q2364204;square Henri-Karcher
Q2367357;New Holland Island
Q2369398;Parque del Oeste
Q2373087;jardin des Rosiers – Joseph-Migneret
Q2381381;square du Petit Bois
Q2390825;jardins de l'avenue Foch
Q2392186;square Jacques-Audiberti
Q2399655;Museumpark
Q2410305;Bois-de-Coulonge Park
Q2428528;Tivoli City Park
Q2437289;Q2437289
Q2492100;Hollandsche hoeve
Q2700609;Tower Grove Park
Q2726825;Plains of Abraham
Q2739335;Fairmount Park
Q2739499;Parc Clichy-Batignolles
Q2753804;Ward Circle
Q2791105;Sir Charles Hardy Group National Park
Q2838945;allée des Cygnes
Q2881586;square Belleville - Télégraphe
Q2886537;square Honoré-Champion
Q2889744;Sir James Mitchell National Park
Q2900726;Victoria Peak Garden
Q2909300;Bold Park
Q2918611;Hong Kong Park
Q2918614;Kowloon Park
Q2975448;Clapham Common
Q3058441;esplanade Pierre-Vidal-Naquet
Q3070506;Eläintarha
Q3077165;Forest Park
Q3077682;Forodhani Gardens
Q3080046;The Forks, Winnipeg
Q3114560;Grand Rond
Q3134741;Ujazdów Park
Q3143165;Humber Bay Park
Q3150092;Indian Mounds Park
Q3154556;Iroquois Park
Q3162279;Albert I Garden
Q3162280;Square Albert-Schweitzer
Q3162285;jardin Anne-Frank
Q3162286;Q3162286
Q3162288;jardin Bargue-Platon
Q3162290;jardin Baudricourt
Q3162293;jardin Biopark
Q3162295;jardin Brassaï
Q3162296;jardin Burq
Q3162297;Jardin Yves Klein
Q3162298;jardin Carré
Q3162300;jardin Casque d'Or
Q3162301;jardin Carré-de-Baudouin
Q3162304;jardin Catherine-Labouré
Q3162306;jardin Choisy-Caillaux (Îlot B10)
Q3162308;jardin Claire-Motte
Q3162310;jardin Compans
Q3162311;Q3162311
Q3162312;jardin Damia
Q3162314;jardin Debergue Rendez-vous
Q3162315;jardin Emmi-Pickler
Q3162316;jardin Georges-Duhamel
Q3162317;jardin Frot-Phalsbourg
Q3162319;Q3162319
Q3162320;Q3162320
Q3162323;jardin Ilan-Halimi
Q3162324;jardin James-Joyce
Q3162327;jardin Jean-Claude-Nicolas-Forestier
Q3162328;Joan of Arc Garden
Q3162330;jardin Juan-Miro
Q3162331;jardin Jules-Verne
Q3162332;Jardin Lalanne
Q3162333;jardin Lily-Laskine
Q3162334;jardin Maronites-Pressoir
Q3162336;jardin Michelet
Q3162340;jardin Nicole-de-Hauteclocque
Q3162341;jardin Notre-Dame-de-Fatima
Q3162342;jardin Oudiné - Dessous-des-Berges
Q3162343;jardin Paturle
Q3162345;jardin Paul-Nizan
Q3162346;jardin Pierre-Adrien-Dalpayrat
Q3162347;jardin Pierre-Seghers
Q3162348;jardin Pierre-Joseph Redouté
Q3162349;jardin Pihet-Bellay
Q3162350;jardin Pixérécourt
Q3162351;jardin Raymond VI
Q3162352;jardin René-Binet
Q3162353;jardin Riquet
Q3162354;jardin Roger-Priou-Valjean
Q3162355;jardin Rosny Aîné
Q3162356;jardin Royal
Q3162359;jardin Rébeval
Q3162360;jardin Simplon
Q3162362;Jardin Serge-Gainsbourg
