prop_name;prop_count;prop_count_value;prop_counter
географические координаты;6460;6666;99.84544049459042
государство;6443;6464;99.58268933539414
административно-территориальная единица;5190;5320;80.21638330757341
высота над уровнем моря;843;843;13.02936630602782
находится на берегу водоёма;66;210;1.020092735703246
впадает в;42;139;0.6491499227202473
проходит над/под;39;66;0.6027820710973725
приток;36;101;0.5564142194744977
находится в пределах природно-географического объекта;23;23;0.3554868624420402
местонахождение;22;49;0.3400309119010819
часть света;22;22;0.3400309119010819
названо в честь;20;25;0.3091190108191654
длина;14;14;0.21638330757341576
находится в охранной зоне;9;9;0.1391035548686244
место смерти;8;10;0.12364760432766615
водосборный бассейн;7;7;0.10819165378670788
карта местонахождения;6;6;0.09273570324574963
общая тема категории;6;6;0.09273570324574963
основная категория по теме;6;6;0.09273570324574963
соединяется с;5;8;0.07727975270479134
бассейн объекта в странах;5;5;0.07727975270479134
состоит из;4;4;0.061823802163833076
описывается в источниках;3;7;0.046367851622874816
вытекающие из озера реки;3;4;0.046367851622874816
впадающие в озеро реки;3;3;0.046367851622874816
исток водотока;3;3;0.046367851622874816
написание каной;3;3;0.046367851622874816
вертикальная глубина;2;2;0.030911901081916538
дата основания/создания/возникновения;2;2;0.030911901081916538
имеет границей;2;2;0.030911901081916538
название на языке оригинала;2;2;0.030911901081916538
часовой пояс;2;2;0.030911901081916538
ширина;2;2;0.030911901081916538
административно делится на;1;1;0.015455950540958269
владельцем является;1;1;0.015455950540958269
водоём на реке;1;1;0.015455950540958269
имеет границы с;1;1;0.015455950540958269
используется как/для/в;1;1;0.015455950540958269
категория бассейна;1;1;0.015455950540958269
ключевое событие;1;1;0.015455950540958269
конечная;1;1;0.015455950540958269
личное имя;1;1;0.015455950540958269
максимальная температура;1;1;0.015455950540958269
официальный сайт;1;1;0.015455950540958269
площадь бассейна;1;1;0.015455950540958269
произношение (звуковой файл);1;1;0.015455950540958269
файл KML;1;1;0.015455950540958269
