prop_name;prop_count;prop_count_value;prop_counter
водосборный бассейн;600;61639;86.08321377331421
государство;582;759;83.50071736011479
названо в честь;449;451;64.41893830703013
находится на берегу водоёма;379;483;54.375896700143464
часть света;294;295;42.18077474892396
основная категория по теме;277;277;39.74175035868007
общая тема категории;272;276;39.02439024390244
административно-территориальная единица;270;436;38.7374461979914
состоит из;239;430;34.28981348637016
площадь бассейна;111;114;15.925394548063126
карта местонахождения;101;101;14.49067431850789
географические координаты;72;80;10.329985652797703
площадь;48;52;6.886657101865136
имеет границы с;47;131;6.743185078909613
находится в пределах природно-географического объекта;43;489;6.169296987087518
приток;33;259;4.734576757532281
впадает в;30;96;4.304160688665712
тематически относится к;28;28;4.017216642754662
бассейн объекта в странах;20;44;2.8694404591104736
местонахождение;16;27;2.295552367288378
описан на сайте;13;13;1.8651362984218083
длина;10;10;1.4347202295552368
вытекающие из озера реки;8;11;1.1477761836441895
впадающие в озеро реки;6;9;0.860832137733142
категория бассейна;6;7;0.860832137733142
область деятельности;6;7;0.860832137733142
оператор;6;7;0.860832137733142
наивысшая точка;6;6;0.860832137733142
написание каной;6;6;0.860832137733142
исток водотока;5;5;0.7173601147776184
пример использования свойства;5;5;0.7173601147776184
расход воды;5;5;0.7173601147776184
содержит;4;19;0.5738880918220948
место смерти;4;10;0.5738880918220948
подробная карта;4;4;0.5738880918220948
описывается в источниках;3;8;0.430416068866571
высота над уровнем моря;3;3;0.430416068866571
рельефная позиционная карта;3;3;0.430416068866571
состоит из представителей класса;2;54;0.2869440459110474
проходит над/под;2;10;0.2869440459110474
глубочайшая точка;2;3;0.2869440459110474
название на языке оригинала;2;3;0.2869440459110474
частично совпадает с;2;3;0.2869440459110474
горный хребет;2;2;0.2869440459110474
зона обслуживания;2;2;0.2869440459110474
карта этой дороги;2;2;0.2869440459110474
находится в охранной зоне;2;2;0.2869440459110474
территория перекрывается с;1;10;0.1434720229555237
в этом списке перечисляются;1;5;0.1434720229555237
место изготовления;1;5;0.1434720229555237
сделано из;1;3;0.1434720229555237
вертикальная глубина;1;1;0.1434720229555237
водоём на реке;1;1;0.1434720229555237
издатель;1;1;0.1434720229555237
категория для людей, умерших здесь;1;1;0.1434720229555237
место рождения;1;1;0.1434720229555237
официальное название;1;1;0.1434720229555237
подкласс от;1;1;0.1434720229555237
позиционная карта;1;1;0.1434720229555237
предмет изучения;1;1;0.1434720229555237
произношение (звуковой файл);1;1;0.1434720229555237
рабочий список проекта Викимедиа;1;1;0.1434720229555237
уровень осадков;1;1;0.1434720229555237
юрисдикция распространяется на;1;1;0.1434720229555237
