prop_name;prop_count;prop_count_value;prop_counter
географические координаты;26490;27129;99.41081547641386
государство;25238;25401;94.7123503583893
административно-территориальная единица;24728;32326;92.79843884865087
высота над уровнем моря;3454;3456;12.962059518895185
часть света;1416;1416;5.313919015273765
находится на берегу водоёма;510;595;1.913911509738432
находится в пределах природно-географического объекта;466;2546;1.7487897324276651
названо в честь;230;295;0.8631365632153714
местонахождение;169;732;0.6342177355799903
общая тема категории;155;155;0.5816789882538372
основная категория по теме;153;153;0.5741734529215297
место рождения;108;546;0.4052989079446091
площадь;103;117;0.3865350696138402
карта местонахождения;85;87;0.318985251623072
место смерти;78;436;0.2927158779599955
находится в охранной зоне;71;74;0.26644650429691896
описывается в источниках;66;151;0.24768266596615005
состоит из;48;58;0.18013284797538184
на территорию претендует;45;48;0.16887454497692048
часовой пояс;40;58;0.15011070664615153
численность населения;31;119;0.11633579765076744
галерея на Викискладе;27;27;0.10132472698615227
официальное название;24;30;0.09006642398769092
место жительства;22;68;0.08256088865538334
дата основания/создания/возникновения;22;22;0.08256088865538334
история происходит в месте;20;60;0.07505535332307578
расположение штаб-квартиры;20;28;0.07505535332307578
наивысшая точка;20;20;0.07505535332307578
длина;17;17;0.0637970503246144
имеет границы с;16;22;0.060044282658460624
официальный сайт;16;17;0.060044282658460624
ширина;15;15;0.05629151499230683
название на языке оригинала;14;15;0.05253874732615305
конечная;13;14;0.04878597965999925
место создания;13;14;0.04878597965999925
место обнаружения;12;15;0.04503321199384546
место съёмок;11;18;0.04128044432769167
категория для людей, связанных с местностью;11;11;0.04128044432769167
является эндемиком в;10;182;0.03752767666153788
место активности;10;13;0.03752767666153788
горный хребет;10;10;0.03752767666153788
категория для людей, умерших здесь;10;10;0.03752767666153788
место погребения;9;45;0.033774908995384094
происходит из;9;10;0.033774908995384094
категория для людей, родившихся здесь;9;9;0.033774908995384094
этнохороним;8;19;0.030022141329230312
зона обслуживания;8;18;0.030022141329230312
страна происхождения;8;14;0.030022141329230312
административно делится на;8;11;0.030022141329230312
географический код Великобритании;8;8;0.030022141329230312
место изготовления;7;13;0.02626937366307653
предположительно одно и то же с;7;7;0.02626937366307653
рабочий список проекта Викимедиа;7;7;0.02626937366307653
тематически относится к;7;7;0.02626937366307653
написание каной;6;7;0.02251660599692273
подробная карта;6;7;0.02251660599692273
категория защищённых зон МСОП;6;6;0.02251660599692273
произношение (звуковой файл);6;6;0.02251660599692273
столица;6;6;0.02251660599692273
включает населённый пункт;5;17;0.01876383833076894
юрисдикция распространяется на;5;12;0.01876383833076894
город-побратим;5;6;0.01876383833076894
описан на сайте;5;6;0.01876383833076894
расположение конечной точки;5;6;0.01876383833076894
типовая местность (геология);5;6;0.01876383833076894
первооткрыватель или изобретатель;5;5;0.01876383833076894
эра;5;5;0.01876383833076894
область деятельности;4;5;0.015011070664615152
карта ареала вида;4;4;0.015011070664615152
обслуживаемый город;4;4;0.015011070664615152
оператор;4;4;0.015011070664615152
позиционная карта;4;4;0.015011070664615152
соединяется с;4;4;0.015011070664615152
энтохороним от;4;4;0.015011070664615152
является столицей;4;4;0.015011070664615152
гражданство;3;12;0.011258302998461363
основной порт;3;8;0.011258302998461363
место публикации;3;4;0.011258302998461363
владельцем является;3;3;0.011258302998461363
дата открытия;3;3;0.011258302998461363
значимое место;3;3;0.011258302998461363
изображение флага;3;3;0.011258302998461363
кем названо;3;3;0.011258302998461363
ключевое событие;3;3;0.011258302998461363
основная тема портала Викимедиа;3;3;0.011258302998461363
портал Викимедиа;3;3;0.011258302998461363
самая северная точка;3;3;0.011258302998461363
женское население;2;6;0.007505535332307576
мужское население;2;6;0.007505535332307576
URL-ссылка на источник;2;2;0.007505535332307576
заменён на;2;2;0.007505535332307576
изображение герба;2;2;0.007505535332307576
используемый язык;2;2;0.007505535332307576
используется как/для/в;2;2;0.007505535332307576
исток водотока;2;2;0.007505535332307576
категория для людей, похороненных здесь;2;2;0.007505535332307576
категория фильмов, снятых в этом месте;2;2;0.007505535332307576
открывает вид на;2;2;0.007505535332307576
официальная религия;2;2;0.007505535332307576
предмет изучения;2;2;0.007505535332307576
рельефная позиционная карта;2;2;0.007505535332307576
самая восточная точка;2;2;0.007505535332307576
самая западная точка;2;2;0.007505535332307576
самая южная точка;2;2;0.007505535332307576
следующее по порядку;2;2;0.007505535332307576
список памятников;2;2;0.007505535332307576
элемент для смысла;2;2;0.007505535332307576
область интересов;1;3;0.003752767666153789
глава правительства;1;2;0.003752767666153789
официальный блог;1;2;0.003752767666153789
автор;1;1;0.003752767666153789
вид спорта;1;1;0.003752767666153789
владеет;1;1;0.003752767666153789
география темы;1;1;0.003752767666153789
геоданные;1;1;0.003752767666153789
должность главы правительства;1;1;0.003752767666153789
дословный перевод;1;1;0.003752767666153789
жанр;1;1;0.003752767666153789
законодательный орган;1;1;0.003752767666153789
занимает ту же территорию с;1;1;0.003752767666153789
изучается в;1;1;0.003752767666153789
имя;1;1;0.003752767666153789
исполнительная власть;1;1;0.003752767666153789
история темы;1;1;0.003752767666153789
карта этой дороги;1;1;0.003752767666153789
место содержания под стражей;1;1;0.003752767666153789
направление относительно места;1;1;0.003752767666153789
описание герба;1;1;0.003752767666153789
относительная высота;1;1;0.003752767666153789
постоянный дубликат;1;1;0.003752767666153789
пример использования свойства;1;1;0.003752767666153789
производящая компания;1;1;0.003752767666153789
проходит над/под;1;1;0.003752767666153789
пункт назначения;1;1;0.003752767666153789
сделано из;1;1;0.003752767666153789
состоит из представителей класса;1;1;0.003752767666153789
среда обитания;1;1;0.003752767666153789
транскрипция в МФА;1;1;0.003752767666153789
туристический центр;1;1;0.003752767666153789
участник организации или клуба;1;1;0.003752767666153789
учебное заведение;1;1;0.003752767666153789
фамилия;1;1;0.003752767666153789
хранится в коллекции;1;1;0.003752767666153789
эксклав от;1;1;0.003752767666153789
