prop_name;prop_count;prop_count_value;prop_counter
государство;396810;398702;99.75113122171946
географические координаты;361652;394054;90.91302161890395
административно-территориальная единица;303203;308287;76.21995977878329
высота над уровнем моря;132411;132659;33.28582202111614
впадает в;78617;133531;19.762946204122677
приток;66098;67928;16.615887380593268
длина;55138;55241;13.860734037204626
водосборный бассейн;50997;51243;12.81975867269985
площадь бассейна;20918;20956;5.258421317244847
находится на берегу водоёма;4670;16493;1.1739567621920564
исток водотока;4346;4875;1.0925087983911512
вытекающие из озера реки;3813;5478;0.9585218702865762
впадающие в озеро реки;3332;4688;0.8376068376068376
названо в честь;3214;6894;0.8079436902966315
расход воды;3058;3090;0.7687280040221216
описывается в источниках;2908;5039;0.7310206133735546
проходит над/под;2872;8877;0.7219708396178984
часть света;2638;2642;0.6631473102061337
категория бассейна;2410;2410;0.6058320764203118
находится в пределах природно-географического объекта;2047;3835;0.5145801910507792
бассейн объекта в странах;1779;1895;0.4472096530920061
водоём на реке;1479;1880;0.3717948717948718
общая тема категории;1240;1250;0.3117144293614882
карта этой дороги;1109;1109;0.2787833081950729
основная категория по теме;1093;1093;0.27476118652589243
карта местонахождения;1091;1101;0.2742584213172449
часовой пояс;955;1247;0.2400703871292107
местонахождение;578;863;0.1452991452991453
название на языке оригинала;347;405;0.08722976370035193
сторона притока;340;340;0.08547008547008547
галерея на Викискладе;329;329;0.08270487682252388
место смерти;281;377;0.0706385118149824
место рождения;241;310;0.06058320764203118
находится в охранной зоне;210;231;0.05279034690799397
состоит из;188;236;0.04725992961287079
произношение (звуковой файл);179;186;0.04499748617395676
написание каной;154;155;0.03871292106586224
официальное название;105;117;0.026395173453996983
предположительно одно и то же с;105;111;0.026395173453996983
уклон;91;92;0.02287581699346405
плотина;75;129;0.01885369532428356
используется как/для/в;75;90;0.01885369532428356
глубочайшая точка;67;84;0.016842634489693312
состоит из представителей класса;54;54;0.013574660633484163
имеет границы с;54;99;0.013574660633484163
рабочий список проекта Викимедиа;49;49;0.012317747611865259
несёт на себе;42;50;0.010558069381598792
площадь;41;58;0.010306686777275012
тематически относится к;38;40;0.009552538964303671
горный хребет;38;51;0.009552538964303671
конечная;37;52;0.009301156359979891
область святого или божества;34;35;0.008547008547008548
пример использования свойства;33;37;0.008295625942684766
Речной рукав;31;37;0.007792860734037205
романизация Маккьюна — Райшауэра;30;30;0.007541478129713423
Новая романизация корейского языка;30;30;0.007541478129713423
история происходит в месте;29;40;0.007290095525389644
подробная карта;28;30;0.007038712921065862
открывает вид на;26;32;0.006535947712418303
значимое место;26;26;0.006535947712418303
место обнаружения;24;28;0.006033182503770739
постоянный дубликат;24;26;0.006033182503770739
ширина;22;22;0.005530417295123178
карта ареала вида;20;20;0.0050276520864756145
оператор;19;21;0.0047762694821518355
элемент для смысла;19;20;0.0047762694821518355
официальный сайт;18;18;0.004524886877828054
расположение штаб-квартиры;17;23;0.004273504273504274
полученные награды;17;38;0.004273504273504274
дата основания/создания/возникновения;17;17;0.004273504273504274
ключевое событие;17;19;0.004273504273504274
соединяется с;16;24;0.004022121669180493
изображение дорожного знака с названием населённого пункта;16;16;0.004022121669180493
файл KML;14;14;0.003519356460532931
код для сущности Wolfram Language;14;14;0.003519356460532931
основной шаблон по теме;14;14;0.003519356460532931
основная тема шаблона;14;14;0.003519356460532931
частично совпадает с;13;15;0.0032679738562091513
категория защищённых зон МСОП;12;12;0.0030165912518853697
место съёмок;12;12;0.0030165912518853697
описан на сайте;11;13;0.002765208647561589
фамилия;11;13;0.002765208647561589
место погребения;10;14;0.0025138260432378077
место активности;10;13;0.0025138260432378077
является столицей;10;10;0.0025138260432378077
видеофайл;9;13;0.002262443438914027
содержит;9;12;0.002262443438914027
позиционная карта;9;10;0.002262443438914027
самая северная точка;9;9;0.002262443438914027
род занятий;8;9;0.0020110608345902466
столица;8;8;0.0020110608345902466
место жительства;8;9;0.0020110608345902466
имя;8;11;0.0020110608345902466
административно делится на;8;10;0.0020110608345902466
геоданные;8;8;0.0020110608345902466
является эндемиком в;8;8;0.0020110608345902466
место создания;7;7;0.0017596782302664656
ответственность несёт;7;7;0.0017596782302664656
самая южная точка;7;7;0.0017596782302664656
связанная категория;7;14;0.0017596782302664656
личное имя;6;6;0.0015082956259426848
транскрипция в МФА;6;6;0.0015082956259426848
типовая местность (геология);6;8;0.0015082956259426848
область деятельности;6;6;0.0015082956259426848
зона обслуживания;6;7;0.0015082956259426848
в этом списке перечисляются;6;6;0.0015082956259426848
категория для людей, умерших здесь;6;6;0.0015082956259426848
самая западная точка;6;6;0.0015082956259426848
подкласс от;6;6;0.0015082956259426848
самая восточная точка;5;5;0.0012569130216189036
модельный элемент;5;5;0.0012569130216189036
в ролях;5;6;0.0012569130216189036
название;4;5;0.0010055304172951233
водохранилище;4;4;0.0010055304172951233
имеет границей;4;6;0.0010055304172951233
место изготовления;4;5;0.0010055304172951233
эра;4;5;0.0010055304172951233
историческое графство;4;4;0.0010055304172951233
категория для людей, родившихся здесь;4;4;0.0010055304172951233
категория для людей, связанных с местностью;4;4;0.0010055304172951233
число Стралера;4;4;0.0010055304172951233
расположено на линии;4;63;0.0010055304172951233
зимнее изображение;4;4;0.0010055304172951233
посвящено;3;3;0.0007541478129713424
пункт назначения;3;3;0.0007541478129713424
маршрутная карта;3;3;0.0007541478129713424
первое письменное упоминание;3;3;0.0007541478129713424
расположен на улице;3;9;0.0007541478129713424
соответствующий список;3;3;0.0007541478129713424
средний уклон;3;3;0.0007541478129713424
язык произведения или названия;3;3;0.0007541478129713424
жанр;3;7;0.0007541478129713424
аудиозапись прочитанного текста;3;3;0.0007541478129713424
гражданство;3;3;0.0007541478129713424
изображение герба;3;3;0.0007541478129713424
в память о;2;2;0.0005027652086475616
панорамное сферическое изображение;2;3;0.0005027652086475616
отец;2;2;0.0005027652086475616
основной порт;2;3;0.0005027652086475616
высота/рост;2;3;0.0005027652086475616
дети;2;4;0.0005027652086475616
объём;2;2;0.0005027652086475616
издатель;2;2;0.0005027652086475616
пол или гендер;2;2;0.0005027652086475616
обслуживаемый город;2;2;0.0005027652086475616
географический код Великобритании;2;2;0.0005027652086475616
член спортивной команды;2;2;0.0005027652086475616
число домов;2;2;0.0005027652086475616
тема утверждения;2;2;0.0005027652086475616
супруг(а);2;2;0.0005027652086475616
рельефная позиционная карта;2;2;0.0005027652086475616
использует;2;2;0.0005027652086475616
пропускная способность;2;2;0.0005027652086475616
используемый язык;2;2;0.0005027652086475616
AtlasFor ID;2;2;0.0005027652086475616
создано на основе;1;1;0.0002513826043237808
сожитель;1;1;0.0002513826043237808
содержащиеся виды;1;5;0.0002513826043237808
следующее по порядку;1;1;0.0002513826043237808
сделано из;1;1;0.0002513826043237808
является частью цикла;1;1;0.0002513826043237808
язык оригинала фильма или телешоу;1;1;0.0002513826043237808
расстояние от устья реки;1;1;0.0002513826043237808
расположено в религиозной территориальной единице;1;1;0.0002513826043237808
этническая группа;1;1;0.0002513826043237808
численность населения;1;1;0.0002513826043237808
через;1;1;0.0002513826043237808
член политической партии;1;1;0.0002513826043237808
центральный процессор;1;1;0.0002513826043237808
хранится в коллекции;1;1;0.0002513826043237808
участник организации или клуба;1;1;0.0002513826043237808
утверждается в;1;1;0.0002513826043237808
территория перекрывается с;1;1;0.0002513826043237808
сценарист;1;3;0.0002513826043237808
страна происхождения;1;1;0.0002513826043237808
ранг Alexa;1;1;0.0002513826043237808
использует объект;1;1;0.0002513826043237808
географический центр;1;1;0.0002513826043237808
номинирован на;1;31;0.0002513826043237808
город-побратим;1;1;0.0002513826043237808
география темы;1;1;0.0002513826043237808
оборудован;1;1;0.0002513826043237808
культура;1;2;0.0002513826043237808
выдающееся произведение;1;1;0.0002513826043237808
опубликовано в;1;1;0.0002513826043237808
основатель;1;1;0.0002513826043237808
вторая фамилия в испанском имени;1;1;0.0002513826043237808
дата открытия;1;1;0.0002513826043237808
дата рождения;1;1;0.0002513826043237808
URL-ссылка на источник;1;1;0.0002513826043237808
место астрономического открытия;1;1;0.0002513826043237808
изображение флага;1;1;0.0002513826043237808
изображение памятной доски;1;1;0.0002513826043237808
источник дополнительных внешних данных;1;1;0.0002513826043237808
изображается на;1;2;0.0002513826043237808
мать;1;2;0.0002513826043237808
занимаемая должность;1;1;0.0002513826043237808
наивысшая точка;1;1;0.0002513826043237808
кем названо;1;1;0.0002513826043237808
находится в пользовании у;1;3;0.0002513826043237808
война/сражение;1;1;0.0002513826043237808
основная тема портала Викимедиа;1;1;0.0002513826043237808
владельцем является;1;1;0.0002513826043237808
представлено в работе;1;1;0.0002513826043237808
портал Викимедиа;1;1;0.0002513826043237808
предки из;1;1;0.0002513826043237808
предыдущее по порядку;1;1;0.0002513826043237808
производящая компания;1;1;0.0002513826043237808
происходит из;1;1;0.0002513826043237808
romanization of Belarusian (2007 system);1;1;0.0002513826043237808
winterthur-glossar URL;1;1;0.0002513826043237808
архитектор;1;1;0.0002513826043237808
первооткрыватель или изобретатель;1;1;0.0002513826043237808
первоначальная телесеть;1;1;0.0002513826043237808
панорамный вид;1;1;0.0002513826043237808
вертикальная глубина;1;1;0.0002513826043237808
относится к вики-проекту;1;1;0.0002513826043237808
вид в ночное время;1;1;0.0002513826043237808
включает населённый пункт;1;1;0.0002513826043237808
владеет;1;1;0.0002513826043237808
