prop_name;prop_count;prop_count_value;prop_counter
государство;95096;95144;99.16783114689136
географические координаты;94519;94770;98.56612509646068
административно-территориальная единица;67362;67917;70.24631363797525
высота над уровнем моря;6602;6608;6.884685173212088
горный хребет;787;791;0.8206978538803262
находится на берегу водоёма;591;597;0.6163055039939934
находится в пределах природно-географического объекта;320;646;0.3337017957327883
часть света;318;318;0.3316161595094584
общая тема категории;312;316;0.3253592508394686
часовой пояс;310;321;0.3232736146161386
основная категория по теме;295;295;0.3076313429411642
названо в честь;278;327;0.2899034350428599
местонахождение;251;398;0.26174734602790584
численность населения;212;553;0.22107743967297225
находится в охранной зоне;200;230;0.20856362233299267
женское население;199;401;0.2075208042213277
мужское население;199;401;0.2075208042213277
число домохозяйств;195;390;0.20334953177466786
место рождения;176;297;0.1835359876530336
длина;138;138;0.14390889940976495
место смерти;116;170;0.12096690095313575
описывается в источниках;115;173;0.1199240828414708
галерея на Викискладе;79;79;0.0823826308215321
карта местонахождения;66;68;0.06882599536988758
состоит из;65;113;0.06778317725822262
площадь;63;72;0.06569754103489267
официальный сайт;54;56;0.056312178029908025
на астрономическом теле;46;46;0.04796963313658832
произношение (звуковой файл);43;46;0.04484117880159343
имеет границы с;41;78;0.0427555425782635
проходит над/под;29;35;0.03024172523828394
впадает в;25;37;0.026070452791624083
место жительства;23;47;0.02398481656829416
дата основания/создания/возникновения;23;23;0.02398481656829416
типовая местность (геология);18;27;0.018770726009969343
этнохороним;17;41;0.01772790789830438
категория защищённых зон МСОП;17;17;0.01772790789830438
водосборный бассейн;16;16;0.016685089786639414
история происходит в месте;15;16;0.01564227167497445
приток;14;16;0.014599453563309488
расположение штаб-квартиры;13;15;0.013556635451644523
значимое место;11;11;0.011470999228314595
место активности;11;11;0.011470999228314595
полученные награды;11;11;0.011470999228314595
место обнаружения;9;11;0.009385363004984671
официальное название;9;11;0.009385363004984671
исток водотока;9;9;0.009385363004984671
предположительно одно и то же с;9;9;0.009385363004984671
место погребения;8;33;0.008342544893319707
изображение герба;8;8;0.008342544893319707
обслуживаемый город;8;8;0.008342544893319707
столица;8;8;0.008342544893319707
является столицей;8;8;0.008342544893319707
конечная;7;9;0.007299726781654744
название на языке оригинала;7;7;0.007299726781654744
место создания;6;11;0.006256908669989781
юрисдикция распространяется на;6;7;0.006256908669989781
категория для людей, связанных с местностью;6;6;0.006256908669989781
число домов;6;6;0.006256908669989781
место съёмок;5;5;0.005214090558324817
административно делится на;4;34;0.004171272446659853
открывает вид на;4;8;0.004171272446659853
официальный язык;4;8;0.004171272446659853
написание каной;4;5;0.004171272446659853
ширина;4;5;0.004171272446659853
AtlasFor ID;4;4;0.004171272446659853
geomorphological unit;4;4;0.004171272446659853
глава правительства;4;4;0.004171272446659853
должность главы правительства;4;4;0.004171272446659853
наивысшая точка;4;4;0.004171272446659853
несёт на себе;4;4;0.004171272446659853
панорамный вид;4;4;0.004171272446659853
владельцем является;3;8;0.0031284543349948905
соединяется с;3;7;0.0031284543349948905
сделано из;3;6;0.0031284543349948905
ключевое событие;3;5;0.0031284543349948905
частично совпадает с;3;5;0.0031284543349948905
место изготовления;3;4;0.0031284543349948905
описан на сайте;3;4;0.0031284543349948905
пример использования свойства;3;4;0.0031284543349948905
вертикальная глубина;3;3;0.0031284543349948905
город-побратим;3;3;0.0031284543349948905
категория для людей, родившихся здесь;3;3;0.0031284543349948905
категория для людей, умерших здесь;3;3;0.0031284543349948905
оператор;3;3;0.0031284543349948905
подкласс от;3;3;0.0031284543349948905
происходит из;3;3;0.0031284543349948905
участник организации или клуба;3;3;0.0031284543349948905
содержит;2;5;0.0020856362233299267
вытекающие из озера реки;2;4;0.0020856362233299267
имеет границей;2;3;0.0020856362233299267
расположен на улице;2;3;0.0020856362233299267
аудиозапись прочитанного текста;2;2;0.0020856362233299267
владеет;2;2;0.0020856362233299267
война/сражение;2;2;0.0020856362233299267
географический код Великобритании;2;2;0.0020856362233299267
зона обслуживания;2;2;0.0020856362233299267
изображение флага;2;2;0.0020856362233299267
пункт назначения;2;2;0.0020856362233299267
страна происхождения;2;2;0.0020856362233299267
впадающие в озеро реки;1;3;0.0010428181116649633
расположение конечной точки;1;2;0.0010428181116649633
landscape architect;1;1;0.0010428181116649633
Новая романизация корейского языка;1;1;0.0010428181116649633
видеофайл;1;1;0.0010428181116649633
вулканическая обсерватория;1;1;0.0010428181116649633
глубочайшая точка;1;1;0.0010428181116649633
записано на;1;1;0.0010428181116649633
зимнее изображение;1;1;0.0010428181116649633
изображение памятной доски;1;1;0.0010428181116649633
используется как/для/в;1;1;0.0010428181116649633
источник материала;1;1;0.0010428181116649633
карта этой дороги;1;1;0.0010428181116649633
категория для людей, похороненных здесь;1;1;0.0010428181116649633
классификация климата Кёппена;1;1;0.0010428181116649633
лицензия на вещание в;1;1;0.0010428181116649633
место публикации;1;1;0.0010428181116649633
на территорию претендует;1;1;0.0010428181116649633
основная тема портала Викимедиа;1;1;0.0010428181116649633
основная тема шаблона;1;1;0.0010428181116649633
