prop_name;prop_count;prop_count_value;prop_counter
географические координаты;38;41;100.0
общая тема категории;38;40;100.0
находится в пределах природно-географического объекта;37;2199;97.36842105263158
основная категория по теме;37;37;97.36842105263158
административно-территориальная единица;36;10318;94.73684210526315
находится на берегу водоёма;36;36;94.73684210526315
государство;35;73;92.10526315789473
площадь;33;37;86.8421052631579
часовой пояс;27;29;71.05263157894737
состоит из;26;150;68.42105263157895
местонахождение;25;106;65.78947368421053
карта местонахождения;23;28;60.526315789473685
высота над уровнем моря;22;22;57.89473684210528
место смерти;20;67;52.631578947368425
названо в честь;19;39;50.0
описывается в источниках;18;50;47.368421052631575
наивысшая точка;17;17;44.73684210526316
место рождения;14;136;36.84210526315789
численность населения;14;37;36.84210526315789
административно делится на;13;35;34.21052631578947
юрисдикция распространяется на;12;27;31.578947368421048
название на языке оригинала;12;14;31.578947368421048
официальный сайт;12;13;31.578947368421048
галерея на Викискладе;11;11;28.94736842105264
история происходит в месте;10;24;26.315789473684212
тематически относится к;10;13;26.315789473684212
является эндемиком в;8;109;21.052631578947366
место жительства;8;72;21.052631578947366
столица;8;8;21.052631578947366
изображение флага;7;8;18.421052631578945
география темы;7;7;18.421052631578945
геоданные;6;6;15.789473684210524
является столицей;6;6;15.789473684210524
зона обслуживания;5;11;13.157894736842106
страна происхождения;5;9;13.157894736842106
официальный язык;5;8;13.157894736842106
место активности;5;7;13.157894736842106
расположение штаб-квартиры;5;7;13.157894736842106
часть света;5;5;13.157894736842106
используемый язык;4;78;10.526315789473683
ключевое событие;4;10;10.526315789473683
обслуживаемый город;4;7;10.526315789473683
категория для людей, родившихся здесь;4;4;10.526315789473683
категория для людей, связанных с местностью;4;4;10.526315789473683
категория для людей, умерших здесь;4;4;10.526315789473683
описание флага;4;4;10.526315789473683
произношение (звуковой файл);4;4;10.526315789473683
происходит из;3;77;7.894736842105262
место создания;3;4;7.894736842105262
дата основания/создания/возникновения;3;3;7.894736842105262
законодательный орган;3;3;7.894736842105262
имеет границы с;3;3;7.894736842105262
история темы;3;3;7.894736842105262
место съёмок;3;3;7.894736842105262
периметр;3;3;7.894736842105262
представляет страну в спорте;2;8;5.263157894736842
место изготовления;2;7;5.263157894736842
глава правительства;2;4;5.263157894736842
гражданство;2;3;5.263157894736842
денежная единица;2;3;5.263157894736842
официальное название;2;3;5.263157894736842
первооткрыватель или изобретатель;2;3;5.263157894736842
этнохороним;2;3;5.263157894736842
maritime identification digits;2;2;5.263157894736842
владеет;2;2;5.263157894736842
длина;2;2;5.263157894736842
изображение герба;2;2;5.263157894736842
интернет-домен верхнего уровня;2;2;5.263157894736842
категория фильмов, снятых в этом месте;2;2;5.263157894736842
короткое название;2;2;5.263157894736842
обзорная статья Викимедиа;2;2;5.263157894736842
основная тема портала Викимедиа;2;2;5.263157894736842
подробная карта;2;2;5.263157894736842
портал Викимедиа;2;2;5.263157894736842
пункт назначения;2;2;5.263157894736842
участник организации или клуба;2;2;5.263157894736842
ширина;2;2;5.263157894736842
суммарный коэффициент рождаемости;1;32;2.631578947368421
ожидаемая продолжительность жизни;1;18;2.631578947368421
на территорию претендует;1;4;2.631578947368421
место астрономического открытия;1;2;2.631578947368421
предположительно одно и то же с;1;2;2.631578947368421
аналог в реальном мире;1;1;2.631578947368421
в память о;1;1;2.631578947368421
в ролях;1;1;2.631578947368421
владельцем является;1;1;2.631578947368421
гимн;1;1;2.631578947368421
дата открытия;1;1;2.631578947368421
должность главы правительства;1;1;2.631578947368421
значимое место;1;1;2.631578947368421
изображение печати/эмблемы;1;1;2.631578947368421
источник дополнительных внешних данных;1;1;2.631578947368421
категория защищённых зон МСОП;1;1;2.631578947368421
код для сущности Wolfram Language;1;1;2.631578947368421
конечная;1;1;2.631578947368421
культура;1;1;2.631578947368421
место обнаружения;1;1;2.631578947368421
место содержания под стражей;1;1;2.631578947368421
модельный элемент;1;1;2.631578947368421
область интересов;1;1;2.631578947368421
организатор;1;1;2.631578947368421
основная тема шаблона;1;1;2.631578947368421
основной шаблон по теме;1;1;2.631578947368421
относительная высота;1;1;2.631578947368421
подкласс от;1;1;2.631578947368421
предки из;1;1;2.631578947368421
пример использования свойства;1;1;2.631578947368421
рабочий список проекта Викимедиа;1;1;2.631578947368421
расположение конечной точки;1;1;2.631578947368421
рельефная позиционная карта;1;1;2.631578947368421
сторона автомобильного движения;1;1;2.631578947368421
типовая местность (геология);1;1;2.631578947368421
участвовал в;1;1;2.631578947368421
участник(и);1;1;2.631578947368421
форма правления;1;1;2.631578947368421
