prop_name;prop_count;prop_count_value;prop_counter
географические координаты;100;114;100.0
государство;95;121;95.0
находится на берегу водоёма;86;1727;86.0
впадает в;83;881;83.0
приток;81;754;81.0
общая тема категории;64;65;64.0
основная категория по теме;62;62;62.0
административно-территориальная единица;52;79;52.0
вертикальная глубина;44;45;44.0
местонахождение;36;100;36.0
описывается в источниках;36;69;36.0
место смерти;33;106;33.0
названо в честь;33;48;33.0
находится в пределах природно-географического объекта;32;92;32.0
состоит из;30;66;30.0
проходит над/под;20;42;20.0
площадь;14;15;14.000000000000002
бассейн объекта в странах;11;18;11.0
название на языке оригинала;10;13;10.0
карта местонахождения;10;11;10.0
категория бассейна;10;10;10.0
место рождения;8;22;8.0
имеет границы с;7;17;7.000000000000001
галерея на Викискладе;6;6;6.0
часть света;6;6;6.0
история происходит в месте;5;9;5.0
впадающие в озеро реки;5;8;5.0
длина;5;5;5.0
соединяется с;4;5;4.0
место жительства;3;13;3.0
вытекающие из озера реки;3;5;3.0
глубочайшая точка;3;5;3.0
категория для людей, умерших здесь;3;3;3.0
открывает вид на;3;3;3.0
тематически относится к;3;3;3.0
ширина;3;3;3.0
водосборный бассейн;2;2;2.0
высота над уровнем моря;2;2;2.0
место погребения;2;2;2.0
место съёмок;2;2;2.0
написание каной;2;2;2.0
обслуживаемый город;2;2;2.0
официальный сайт;2;2;2.0
предположительно одно и то же с;2;2;2.0
произношение (звуковой файл);2;2;2.0
пункт назначения;2;2;2.0
рабочий список проекта Викимедиа;2;2;2.0
место публикации;1;8;1.0
ключевое событие;1;7;1.0
официальное название;1;2;1.0
расположение штаб-квартиры;1;2;1.0
география темы;1;1;1.0
дата открытия;1;1;1.0
зона обслуживания;1;1;1.0
исток водотока;1;1;1.0
история темы;1;1;1.0
категория защищённых зон МСОП;1;1;1.0
конечная;1;1;1.0
место активности;1;1;1.0
место изготовления;1;1;1.0
место обнаружения;1;1;1.0
место создания;1;1;1.0
на территорию претендует;1;1;1.0
находится в охранной зоне;1;1;1.0
оператор;1;1;1.0
панорамный вид;1;1;1.0
первооткрыватель или изобретатель;1;1;1.0
периметр;1;1;1.0
повреждено;1;1;1.0
подробная карта;1;1;1.0
следующая переправа ниже по течению;1;1;1.0
солёность;1;1;1.0
через;1;1;1.0
юрисдикция распространяется на;1;1;1.0
