prop_name;prop_count;prop_count_value;prop_counter
географические координаты;100;106;100.0
государство;100;102;100.0
административно-территориальная единица;89;119;89.0
высота над уровнем моря;52;52;52.0
находится в охранной зоне;39;49;39.0
находится на берегу водоёма;38;41;38.0
местонахождение;30;69;30.0
горный хребет;30;30;30.0
находится в пределах природно-географического объекта;29;43;29.0
названо в честь;17;25;17.0
общая тема категории;11;11;11.0
основная категория по теме;11;11;11.0
водосборный бассейн;10;10;10.0
часть света;10;10;10.0
название на языке оригинала;9;9;9.0
открывает вид на;6;47;6.0
галерея на Викискладе;6;6;6.0
длина;6;6;6.0
вертикальная глубина;5;6;5.0
категория защищённых зон МСОП;5;5;5.0
площадь;4;5;4.0
состоит из;4;5;4.0
официальный сайт;4;4;4.0
описывается в источниках;3;12;3.0
место съёмок;3;3;3.0
сделано из;3;3;3.0
впадает в;2;3;2.0
конечная;2;3;2.0
дата основания/создания/возникновения;2;2;2.0
расположение конечной точки;2;2;2.0
участник организации или клуба;2;2;2.0
часовой пояс;2;2;2.0
через;2;2;2.0
место рождения;1;4;1.0
место жительства;1;3;1.0
место смерти;1;2;1.0
типовая местность (геология);1;2;1.0
ширина;1;2;1.0
вулканическая обсерватория;1;1;1.0
дата открытия;1;1;1.0
значимое место;1;1;1.0
изображение дорожного знака с названием населённого пункта;1;1;1.0
изображение флага;1;1;1.0
имеет границы с;1;1;1.0
исток водотока;1;1;1.0
ключевое событие;1;1;1.0
код для сущности Wolfram Language;1;1;1.0
наивысшая точка;1;1;1.0
область святого или божества;1;1;1.0
обслуживаемый город;1;1;1.0
оператор;1;1;1.0
описан на сайте;1;1;1.0
первооткрыватель или изобретатель;1;1;1.0
площадь бассейна;1;1;1.0
полученные награды;1;1;1.0
приток;1;1;1.0
туристический центр;1;1;1.0
число посетителей в год;1;1;1.0
