prop_name;prop_count;prop_count_value;prop_counter
государство;11;596880;100.0
гражданство;11;420198;100.0
страна происхождения;11;69339;100.0
представляет страну в спорте;11;32020;100.0
место рождения;11;4003;100.0
принадлежность;11;3183;100.0
административно-территориальная единица;11;2837;100.0
история происходит в месте;11;2426;100.0
юрисдикция распространяется на;11;1814;100.0
тематически относится к;11;1548;100.0
место смерти;11;1423;100.0
дипломатические отношения;11;1109;100.0
участник(и);11;988;100.0
оператор;11;952;100.0
место активности;11;935;100.0
бассейн объекта в странах;11;903;100.0
расположение штаб-квартиры;11;671;100.0
численность населения;11;659;100.0
место жительства;11;637;100.0
местонахождение;11;606;100.0
номинальный ВВП на душу населения;11;552;100.0
номинальный ВВП;11;545;100.0
суммарные запасы;11;539;100.0
используемый язык;11;514;100.0
место съёмок;11;426;100.0
участник организации или клуба;11;417;100.0
индекс человеческого развития;11;401;100.0
место погребения;11;372;100.0
уровень инфляции;11;362;100.0
ППС ВВП на душу населения;11;326;100.0
ВВП (ППС);11;309;100.0
владельцем является;11;274;100.0
место создания;11;260;100.0
ожидаемая продолжительность жизни;11;193;100.0
зона обслуживания;11;189;100.0
суммарный коэффициент рождаемости;11;176;100.0
глава правительства;11;172;100.0
имеет границы с;11;141;100.0
подписавшийся;11;125;100.0
состоит из;11;116;100.0
официальный праздник;11;104;100.0
часовой пояс;11;88;100.0
описывается в источниках;11;66;100.0
глава государства;11;64;100.0
официальный язык;11;58;100.0
происходит из;11;47;100.0
административно делится на;11;40;100.0
номер телефона экстренной службы;11;33;100.0
транскрипция в МФА;11;33;100.0
столица;11;32;100.0
короткое название;11;30;100.0
интернет-домен верхнего уровня;11;26;100.0
форма правления;11;26;100.0
maritime identification digits;11;23;100.0
является столицей;11;23;100.0
тип электрического разъёма;11;22;100.0
высший судебный орган;11;21;100.0
постоянный дубликат;11;21;100.0
темп роста реального ВВП;11;21;100.0
денежная единица;11;20;100.0
часть света;11;20;100.0
законодательный орган;11;17;100.0
гимн;11;15;100.0
самая западная точка;11;15;100.0
исполнительная власть;11;14;100.0
самая восточная точка;11;14;100.0
самая северная точка;11;14;100.0
самая южная точка;11;14;100.0
должность главы государства;11;13;100.0
категория для людей, связанных с местностью;11;13;100.0
описание герба;11;13;100.0
площадь;11;13;100.0
сетевое напряжение;11;13;100.0
должность главы правительства;11;12;100.0
наивысшая точка;11;12;100.0
описание флага;11;12;100.0
символ Юникода;11;12;100.0
галерея на Викискладе;11;11;100.0
географические координаты;11;11;100.0
география темы;11;11;100.0
глубочайшая точка;11;11;100.0
история темы;11;11;100.0
категория для людей, похороненных здесь;11;11;100.0
категория для людей, родившихся здесь;11;11;100.0
категория для людей, умерших здесь;11;11;100.0
категория фильмов, снятых в этом месте;11;11;100.0
обзорная статья Викимедиа;11;11;100.0
общая тема категории;11;11;100.0
основная категория по теме;11;11;100.0
основная тема портала Викимедиа;11;11;100.0
портал Викимедиа;11;11;100.0
сторона автомобильного движения;11;11;100.0
место публикации;10;971;90.9090909090909
названо в честь;10;84;90.9090909090909
основатель;10;43;90.9090909090909
заменён на;10;17;90.9090909090909
рабочий список проекта Викимедиа;10;13;90.9090909090909
культура;10;11;90.9090909090909
сторона железнодорожного движения;10;11;90.9090909090909
уровень безработицы;10;11;90.9090909090909
обладает свойством;10;10;90.9090909090909
признаётся террористической организацией по версии;9;116;81.81818181818183
этническая группа;9;36;81.81818181818183
работодатель;9;29;81.81818181818183
дата основания/создания/возникновения;9;19;81.81818181818183
находится в пределах природно-географического объекта;9;14;81.81818181818183
возраст совершеннолетия;9;11;81.81818181818183
следующее по порядку;9;11;81.81818181818183
ставка НДС;9;10;81.81818181818183
медианный доход;9;9;81.81818181818183
является эндемиком в;8;577;72.72727272727273
число детей, не учащихся в школе;8;123;72.72727272727273
место изготовления;8;44;72.72727272727273
участвовал в;8;41;72.72727272727273
находится на берегу водоёма;8;31;72.72727272727273
обязательное образование (минимальный возраст);8;23;72.72727272727273
возраст вступления в брак;8;19;72.72727272727273
название на языке оригинала;8;9;72.72727272727273
официальное название;8;9;72.72727272727273
относится к вики-проекту;8;8;72.72727272727273
на территорию претендует;7;97;63.63636363636363
ключевое событие;7;89;63.63636363636363
организатор;7;13;63.63636363636363
команда-участница;7;9;63.63636363636363
центральный банк;7;9;63.63636363636363
место обнаружения;6;20;54.54545454545454
переход на грегорианский календарь;6;10;54.54545454545454
эксклав от;6;10;54.54545454545454
область деятельности;6;9;54.54545454545454
обязательное образование (максимальный возраст);6;6;54.54545454545454
пенсионный возраст;6;6;54.54545454545454
территория перекрывается с;6;6;54.54545454545454
коэффициент Джини;5;13;45.45454545454545
материнская компания (организация, учреждение);5;13;45.45454545454545
опубликовано в;5;11;45.45454545454545
лицензия на вещание в;5;7;45.45454545454545
область святого или божества;5;7;45.45454545454545
анклав в;5;6;45.45454545454545
предыдущее по порядку;5;6;45.45454545454545
пункт назначения;5;6;45.45454545454545
диаспора;5;5;45.45454545454545
изучается в;5;5;45.45454545454545
максимальная температура;5;5;45.45454545454545
предки из;4;33;36.36363636363637
владеет;4;26;36.36363636363637
ограничение скорости;4;15;36.36363636363637
победитель;4;14;36.36363636363637
уровень самоубийств;4;12;36.36363636363637
постоянный резидент;4;8;36.36363636363637
компания-распространитель;4;7;36.36363636363637
отделилось от;4;7;36.36363636363637
награда от;4;6;36.36363636363637
описание девиза;4;6;36.36363636363637
место содержания под стражей;4;5;36.36363636363637
предмет изучения;4;5;36.36363636363637
производитель;4;5;36.36363636363637
город-побратим;4;4;36.36363636363637
минимум температуры;4;4;36.36363636363637
описание печати/эмблемы;4;4;36.36363636363637
спонсор;4;4;36.36363636363637
Минимальная заработная плата;3;57;27.27272727272727
главный регулирующий текст;3;9;27.27272727272727
святой покровитель;3;7;27.27272727272727
исток водотока;3;6;27.27272727272727
находится в пользовании у;3;5;27.27272727272727
язык произведения или названия;3;5;27.27272727272727
лейбл звукозаписи;3;4;27.27272727272727
языки, на которых говорит или пишет персона;3;4;27.27272727272727
возраст согласия;3;3;27.27272727272727
занимает ту же территорию с;3;3;27.27272727272727
испытал влияние от;3;3;27.27272727272727
категория содержит;3;3;27.27272727272727
основная тема шаблона;3;3;27.27272727272727
основной шаблон по теме;3;3;27.27272727272727
получил одобрение от;3;3;27.27272727272727
уровень грамотности;3;3;27.27272727272727
издатель;2;26;18.181818181818183
ежегодное количество свадеб;2;22;18.181818181818183
представитель;2;6;18.181818181818183
расположение конечной точки;2;4;18.181818181818183
родной язык;2;4;18.181818181818183
географический центр;2;3;18.181818181818183
заказчик произведения;2;3;18.181818181818183
используется как/для/в;2;3;18.181818181818183
место астрономического открытия;2;3;18.181818181818183
официальная религия;2;3;18.181818181818183
полученные награды;2;3;18.181818181818183
принадлежит к;2;3;18.181818181818183
аналог в реальном мире;2;2;18.181818181818183
вдохновлено;2;2;18.181818181818183
жанр;2;2;18.181818181818183
источник материала;2;2;18.181818181818183
основополагающий текст;2;2;18.181818181818183
официальный символ;2;2;18.181818181818183
процент водной поверхности;2;2;18.181818181818183
род занятий;2;2;18.181818181818183
текст девиза;2;2;18.181818181818183
типовая местность (геология);2;2;18.181818181818183
хештег;2;2;18.181818181818183
язык оригинала фильма или телешоу;2;2;18.181818181818183
статистика производства;1;10;9.090909090909092
прямые иностранные инвестиции, чистые поступления;1;8;9.090909090909092
прямые иностранные инвестиции, чистый отток;1;8;9.090909090909092
официальная резиденция;1;5;9.090909090909092
первоначальная телесеть;1;4;9.090909090909092
состоит из представителей класса;1;4;9.090909090909092
вид или род войск;1;2;9.090909090909092
написание каной;1;2;9.090909090909092
этнохороним;1;2;9.090909090909092
автомобилей на 1000 человек;1;1;9.090909090909092
архивы хранятся в;1;1;9.090909090909092
водосборный бассейн;1;1;9.090909090909092
дети;1;1;9.090909090909092
дочерние компании (организации, учреждения);1;1;9.090909090909092
издание(я) или перевод(ы);1;1;9.090909090909092
инвазионный вид для;1;1;9.090909090909092
истинно для места;1;1;9.090909090909092
кем назначен;1;1;9.090909090909092
место первого исполнения;1;1;9.090909090909092
минимальный возраст кандидата;1;1;9.090909090909092
модельный элемент;1;1;9.090909090909092
область интересов;1;1;9.090909090909092
оборудован;1;1;9.090909090909092
общий объём экспорта;1;1;9.090909090909092
отец;1;1;9.090909090909092
относится к;1;1;9.090909090909092
подкласс от;1;1;9.090909090909092
представлено в работе;1;1;9.090909090909092
собрание работ;1;1;9.090909090909092
список памятников;1;1;9.090909090909092
хранитель;1;1;9.090909090909092
цель;1;1;9.090909090909092
член спортивной команды;1;1;9.090909090909092
электрическое напряжение;1;1;9.090909090909092
язык письменных произведений;1;1;9.090909090909092
