prop_name;prop_count;prop_count_value;prop_counter
географические координаты;72;76;97.2972972972973
государство;59;59;79.72972972972974
административно-территориальная единица;57;60;77.02702702702703
высота над уровнем моря;50;51;67.56756756756756
на астрономическом теле;15;15;20.27027027027027
диаметр;14;14;18.918918918918926
местонахождение;11;16;14.864864864864865
названо в честь;11;11;14.864864864864865
длина;4;4;5.405405405405406
вертикальная глубина;3;4;4.0540540540540535
значительное влияние на окружающую среду;2;6;2.7027027027027017
площадь;2;4;2.7027027027027017
бассейн объекта в странах;2;2;2.7027027027027017
водоём на реке;2;2;2.7027027027027017
вытекающие из озера реки;2;2;2.7027027027027017
горный хребет;2;2;2.7027027027027017
находится в охранной зоне;2;2;2.7027027027027017
объём;2;2;2.7027027027027017
периметр;2;2;2.7027027027027017
площадь бассейна;2;2;2.7027027027027017
химический статус по WFD;2;2;2.7027027027027017
экологический статус о WFD;2;2;2.7027027027027017
находится в пределах природно-географического объекта;1;3;1.3513513513513509
находится на берегу водоёма;1;2;1.3513513513513509
в ролях;1;1;1.3513513513513509
впадающие в озеро реки;1;1;1.3513513513513509
место рождения;1;1;1.3513513513513509
название на языке оригинала;1;1;1.3513513513513509
общая тема категории;1;1;1.3513513513513509
основная категория по теме;1;1;1.3513513513513509
официальный сайт;1;1;1.3513513513513509
первооткрыватель или изобретатель;1;1;1.3513513513513509
приток;1;1;1.3513513513513509
состоит из;1;1;1.3513513513513509
часть света;1;1;1.3513513513513509
