prop_name;prop_count;prop_count_value;prop_counter
государство;62;63;98.4126984126984
географические координаты;61;65;96.82539682539681
административно-территориальная единица;49;64;77.7777777777778
высота над уровнем моря;32;33;50.79365079365079
бассейн объекта в странах;31;31;49.2063492063492
находится в охранной зоне;27;37;42.857142857142854
состоит из;21;106;33.33333333333333
площадь;16;16;25.396825396825395
название на языке оригинала;14;14;22.222222222222207
горный хребет;13;13;20.63492063492064
названо в честь;12;16;19.047619047619047
общая тема категории;12;12;19.047619047619047
вытекающие из озера реки;11;11;17.460317460317462
основная категория по теме;11;11;17.460317460317462
часть света;11;11;17.460317460317462
водосборный бассейн;10;35;15.873015873015873
длина;9;9;14.285714285714285
ширина;9;9;14.285714285714285
впадающие в озеро реки;8;8;12.698412698412698
площадь бассейна;8;8;12.698412698412698
находится на берегу водоёма;6;8;9.523809523809524
находится в пределах природно-географического объекта;4;84;6.349206349206349
впадает в;4;9;6.349206349206349
вертикальная глубина;4;4;6.349206349206349
водоём на реке;4;4;6.349206349206349
объём;4;4;6.349206349206349
периметр;4;4;6.349206349206349
приток;3;7;4.761904761904762
дата основания/создания/возникновения;3;3;4.761904761904762
исток водотока;3;3;4.761904761904762
карта местонахождения;2;3;3.1746031746031744
галерея на Викискладе;2;2;3.1746031746031744
категория защищённых зон МСОП;2;2;3.1746031746031744
место жительства;2;2;3.1746031746031744
основная тема шаблона;2;2;3.1746031746031744
основной шаблон по теме;2;2;3.1746031746031744
плотина;1;3;1.5873015873015872
местонахождение;1;2;1.5873015873015872
полученные награды;1;2;1.5873015873015872
водохранилище;1;1;1.5873015873015872
вулканическая обсерватория;1;1;1.5873015873015872
место рождения;1;1;1.5873015873015872
место смерти;1;1;1.5873015873015872
написание каной;1;1;1.5873015873015872
описывается в источниках;1;1;1.5873015873015872
официальный сайт;1;1;1.5873015873015872
производная работа;1;1;1.5873015873015872
создано на основе;1;1;1.5873015873015872
туристический центр;1;1;1.5873015873015872
ёмкость батареи;1;1;1.5873015873015872
