prop_name;prop_count;prop_count_value;prop_counter
государство;100;150;100.0
административно-территориальная единица;99;264;99.0
географические координаты;99;110;99.0
дата основания/создания/возникновения;68;69;68.0
описан на сайте;60;65;60.0
отношение к религии;35;40;35.0
архитектурный стиль;34;43;34.0
местонахождение;31;78;31.0
епархия;29;29;29.0
официальный сайт;26;26;26.0
состоит из;25;86;25.0
состоит из представителей класса;22;69;22.0
площадь;19;25;19.0
количество этажей;18;18;18.0
названо в честь;16;19;16.0
общая тема категории;16;16;16.0
основная категория по теме;16;16;16.0
ключевое событие;15;31;15.0
сделано из;14;26;14.000000000000002
владельцем является;14;14;14.000000000000002
хранится в коллекции;11;31;11.0
используется как/для/в;11;25;11.0
посвящено;10;10;10.0
архитектор;9;10;9.0
расположен на улице;9;10;9.0
название на языке оригинала;9;9;9.0
место погребения;8;19;8.0
находится в пределах природно-географического объекта;8;9;8.0
основатель;8;9;8.0
адрес (УСТАРЕЛО);7;7;7.000000000000001
высота над уровнем моря;7;7;7.000000000000001
дата официального открытия;7;7;7.000000000000001
страница учреждения на Викискладе;7;7;7.000000000000001
место смерти;6;33;6.0
расположение штаб-квартиры;6;12;6.0
описывается в источниках;6;11;6.0
официальное название;6;7;6.0
галерея на Викискладе;6;6;6.0
электронная почта;5;6;5.0
высота/рост;5;5;5.0
место рождения;4;47;4.0
оператор;4;13;4.0
место жительства;4;10;4.0
часовой пояс;4;6;4.0
заказчик произведения;4;5;4.0
создатель;4;5;4.0
владеет;4;4;4.0
короткое название;4;4;4.0
обитатель;4;4;4.0
численность населения;3;86;3.0
участник организации или клуба;3;4;3.0
карта местонахождения;3;3;3.0
категория для людей, умерших здесь;3;3;3.0
находится на берегу водоёма;3;3;3.0
ответственность несёт;3;3;3.0
собор;3;3;3.0
ширина;3;3;3.0
конечная;2;7;2.0
административно делится на;2;6;2.0
находится в охранной зоне;2;5;2.0
выдающееся произведение;2;3;2.0
работодатель;2;3;2.0
дата начала;2;2;2.0
категория для людей, родившихся здесь;2;2;2.0
категория для людей, связанных с местностью;2;2;2.0
культура;2;2;2.0
логотип;2;2;2.0
менеджер/директор;2;2;2.0
место публикации;2;2;2.0
план помещения;2;2;2.0
полученные награды;2;2;2.0
столица;2;2;2.0
место изготовления;1;7;1.0
пункт назначения;1;6;1.0
число домохозяйств;1;6;1.0
имеет границы с;1;5;1.0
учебное заведение;1;5;1.0
юрисдикция распространяется на;1;4;1.0
место создания;1;2;1.0
метод изготовления;1;2;1.0
Новая романизация корейского языка;1;1;1.0
в память о;1;1;1.0
война/сражение;1;1;1.0
входит в состав списка памятников культурного наследия;1;1;1.0
глава правительства;1;1;1.0
горизонтальная глубина;1;1;1.0
горный хребет;1;1;1.0
дата открытия;1;1;1.0
дата прекращения существования;1;1;1.0
дата принятия в эксплуатацию;1;1;1.0
длина;1;1;1.0
должность главы правительства;1;1;1.0
доступность для  кресел-каталок;1;1;1.0
дочерние компании (организации, учреждения);1;1;1.0
жанр;1;1;1.0
записано на;1;1;1.0
изображение герба;1;1;1.0
изображение памятной доски;1;1;1.0
изображение флага;1;1;1.0
инженер-строитель;1;1;1.0
категория для выпускников образовательного учреждения;1;1;1.0
категория для людей, похороненных здесь;1;1;1.0
категория для сотрудников организации;1;1;1.0
категория членов;1;1;1.0
код лейбла Discogs;1;1;1.0
коллаж;1;1;1.0
масса;1;1;1.0
материнская компания (организация, учреждение);1;1;1.0
место активности;1;1;1.0
место обнаружения;1;1;1.0
место съёмок;1;1;1.0
монашеский орден;1;1;1.0
описание герба;1;1;1.0
основная строительная организация;1;1;1.0
официальная резиденция;1;1;1.0
охранный статус;1;1;1.0
первое письменное упоминание;1;1;1.0
периметр;1;1;1.0
подробная карта;1;1;1.0
построено на месте;1;1;1.0
пример использования свойства;1;1;1.0
рабочий список проекта Викимедиа;1;1;1.0
святой покровитель;1;1;1.0
следующее по порядку;1;1;1.0
собрание работ;1;1;1.0
соответствующее свойство;1;1;1.0
соответствующий элемент для свойства;1;1;1.0
тематически относится к;1;1;1.0
часть света;1;1;1.0
число лифтов;1;1;1.0
число подземных этажей;1;1;1.0
эра;1;1;1.0
этнохороним;1;1;1.0
является столицей;1;1;1.0
