prop_name;prop_count;prop_count_value;prop_counter
государство;100;101;100.0
официальный сайт;93;109;93.0
административно-территориальная единица;91;98;91.0
местонахождение;90;71695;90.0
географические координаты;84;86;84.0
дата основания/создания/возникновения;79;81;79.0
хранится в коллекции;73;51190;73.0
страница учреждения на Викискладе;70;70;70.0
собрание работ;45;11273;45.0
работодатель;35;720;35.0
владельцем является;33;4129;33.0
состоит из;33;74;33.0
общая тема категории;30;31;30.0
основная категория по теме;30;30;30.0
расположение штаб-квартиры;28;30;28.000000000000004
архивы хранятся в;27;3733;27.0
дата официального открытия;27;27;27.0
число посетителей в год;21;61;21.0
описывается в источниках;21;22;21.0
материнская компания (организация, учреждение);18;62;18.0
галерея на Викискладе;18;18;18.0
обитатель;16;29;16.0
расположен на улице;16;23;16.0
менеджер/директор;15;39;15.0
электронная почта;15;19;15.0
архитектор;14;17;14.000000000000002
описан на сайте;14;14;14.000000000000002
ответственность несёт;13;17514;13.0
владеет;13;26;13.0
издатель;13;26;13.0
названо в честь;13;22;13.0
выдающееся произведение;13;16;13.0
название на языке оригинала;13;16;13.0
логотип;13;13;13.0
допустимые виды оплаты;12;14;12.0
участник организации или клуба;11;800;11.0
основатель;11;12;11.0
история выставок;10;23;10.0
архитектурный стиль;10;10;10.0
организационно-правовая форма;10;10;10.0
автор;9;124;9.0
соответствующее свойство;9;11;9.0
оператор;9;9;9.0
место первого исполнения;8;21;8.0
место погребения;8;21;8.0
организатор;8;10;8.0
соответствующий элемент для свойства;8;10;8.0
код в Europeana;7;7;7.000000000000001
дочерние компании (организации, учреждения);6;48;6.0
пример использования свойства;6;11;6.0
полученные награды;6;8;6.0
размер коллекции;6;8;6.0
рабочий список проекта Викимедиа;6;6;6.0
принадлежит к;5;10;5.0
заказчик произведения;5;6;5.0
заменён на;5;6;5.0
адрес (УСТАРЕЛО);5;5;5.0
учебное заведение;4;3178;4.0
место смерти;4;913;4.0
область деятельности;4;7;4.0
ключевое событие;4;4;4.0
место рождения;3;10;3.0
производящая компания;3;10;3.0
место активности;3;6;3.0
награда от;3;6;3.0
используется как/для/в;3;5;3.0
вид в ночное время;3;3;3.0
следующее по порядку;3;3;3.0
место содержания под стражей;2;2145;2.0
официальное название;2;10;2.0
место жительства;2;7;2.0
площадь;2;4;2.0
в память о;2;3;2.0
находится в пользовании у;2;3;2.0
продюсер;2;3;2.0
аудиозапись прочитанного текста;2;2;2.0
видеофайл;2;2;2.0
категория для выпускников образовательного учреждения;2;2;2.0
категория для людей, умерших здесь;2;2;2.0
код для сущности Wolfram Language;2;2;2.0
место съёмок;2;2;2.0
находится на берегу водоёма;2;2;2.0
плата;2;2;2.0
подробная карта;2;2;2.0
предыдущее по порядку;2;2;2.0
редактор;2;2;2.0
соавтор, сделавший вклад в субъект;2;2;2.0
спонсор;2;2;2.0
тематически относится к;2;2;2.0
история происходит в месте;1;7;1.0
дни работы;1;6;1.0
создатель;1;4;1.0
использует;1;2;1.0
командовал;1;2;1.0
отрасль;1;2;1.0
пункт назначения;1;2;1.0
высота над уровнем моря;1;1;1.0
дата прекращения существования;1;1;1.0
защитник авторских прав;1;1;1.0
зимнее изображение;1;1;1.0
использует объект;1;1;1.0
источник дохода;1;1;1.0
карта местонахождения;1;1;1.0
категория для людей, похороненных здесь;1;1;1.0
категория для людей, связанных с местностью;1;1;1.0
категория для сотрудников организации;1;1;1.0
категория членов;1;1;1.0
количество заключённых;1;1;1.0
кто представляет;1;1;1.0
находится в пределах природно-географического объекта;1;1;1.0
общая выручка;1;1;1.0
основная тема шаблона;1;1;1.0
основной шаблон по теме;1;1;1.0
официальная резиденция;1;1;1.0
официальный блог;1;1;1.0
панорамный вид;1;1;1.0
правила поведения в этом месте;1;1;1.0
предмет изучения;1;1;1.0
присутствовало;1;1;1.0
произношение (звуковой файл);1;1;1.0
регулятор языка;1;1;1.0
руководитель;1;1;1.0
соответствующий список;1;1;1.0
состоит из представителей класса;1;1;1.0
состояние использования;1;1;1.0
текст девиза;1;1;1.0
учёная степень;1;1;1.0
хештег;1;1;1.0
художественное направление;1;1;1.0
число сотрудников;1;1;1.0
юрисдикция распространяется на;1;1;1.0
