prop_name;prop_count;prop_count_value;prop_counter
государство;27;30;100.0
географические координаты;20;21;74.07407407407408
административно-территориальная единица;16;19;59.25925925925925
дата открытия;16;17;59.25925925925925
оператор;16;16;59.25925925925925
часть света;15;15;55.55555555555557
название на языке оригинала;13;20;48.148148148148145
находится в пределах природно-географического объекта;11;13;40.74074074074074
описывается в источниках;10;42;37.03703703703704
дата основания/создания/возникновения;9;9;33.33333333333333
находится на берегу водоёма;9;9;33.33333333333333
названо в честь;8;8;29.629629629629626
первооткрыватель или изобретатель;8;8;29.629629629629626
объём;7;8;25.92592592592593
карта местонахождения;6;6;22.222222222222214
состоит из;6;6;22.222222222222214
является частью цикла;5;5;18.51851851851852
метод изготовления;4;4;14.814814814814813
длина;3;3;11.111111111111107
площадь;3;3;11.111111111111107
описан на сайте;2;5;7.4074074074074066
тематически относится к;2;4;7.4074074074074066
продукция;2;3;7.4074074074074066
высота над уровнем моря;2;2;7.4074074074074066
имеет границы с;2;2;7.4074074074074066
обладает свойством;2;2;7.4074074074074066
ширина;2;2;7.4074074074074066
местонахождение;1;3;3.7037037037037033
сделано из;1;2;3.7037037037037033
содержит;1;2;3.7037037037037033
численность населения;1;2;3.7037037037037033
вертикальная глубина;1;1;3.7037037037037033
висячий бок;1;1;3.7037037037037033
включает населённый пункт;1;1;3.7037037037037033
географический код Великобритании;1;1;3.7037037037037033
дата официального закрытия;1;1;3.7037037037037033
дата прекращения существования;1;1;3.7037037037037033
используется как/для/в;1;1;3.7037037037037033
историческое графство;1;1;3.7037037037037033
код для сущности Wolfram Language;1;1;3.7037037037037033
короткое название;1;1;3.7037037037037033
лежачий бок;1;1;3.7037037037037033
место рождения;1;1;3.7037037037037033
место создания;1;1;3.7037037037037033
обслуживаемый город;1;1;3.7037037037037033
общая тема категории;1;1;3.7037037037037033
основная категория по теме;1;1;3.7037037037037033
отрасль;1;1;3.7037037037037033
перемежается с;1;1;3.7037037037037033
пример использования свойства;1;1;3.7037037037037033
пункт назначения;1;1;3.7037037037037033
расположение штаб-квартиры;1;1;3.7037037037037033
столица;1;1;3.7037037037037033
часовой пояс;1;1;3.7037037037037033
через;1;1;3.7037037037037033
является столицей;1;1;3.7037037037037033
