prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;100;105;100.0
географические координаты;100;104;100.0
государство;100;101;100.0
официальный сайт;24;24;24.0
полученные награды;23;24;23.0
высота над уровнем моря;21;22;21.0
горный хребет;10;10;10.0
площадь;7;7;7.000000000000001
находится в охранной зоне;6;9;6.0
ширина;6;7;6.0
входит в состав списка памятников культурного наследия;6;6;6.0
находится на берегу водоёма;6;6;6.0
длина;5;5;5.0
дата основания/создания/возникновения;4;4;4.0
находится в пределах природно-географического объекта;4;4;4.0
численность населения;3;3;3.0
высота/рост;2;3;2.0
карта местонахождения;2;2;2.0
местонахождение;2;2;2.0
названо в честь;2;2;2.0
общая тема категории;2;2;2.0
категория защищённых зон МСОП;1;2;1.0
официальное название;1;2;1.0
толщина;1;2;1.0
водосборный бассейн;1;1;1.0
галерея на Викискладе;1;1;1.0
грозящая опасность;1;1;1.0
дата окончания;1;1;1.0
действие происходит в эпоху;1;1;1.0
епархия;1;1;1.0
заменён на;1;1;1.0
значимое место;1;1;1.0
используется как/для/в;1;1;1.0
место смерти;1;1;1.0
название на языке оригинала;1;1;1.0
оператор;1;1;1.0
основная категория по теме;1;1;1.0
отношение к религии;1;1;1.0
порядок группы;1;1;1.0
предположительно одно и то же с;1;1;1.0
состоит из;1;1;1.0
топографическая изоляция;1;1;1.0
часть света;1;1;1.0
